band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,415452845636473.25,365847881904956.8,471430770054859.4,5.112801228279109,3.05373357668981,7.061544779399809,1440.0,0.009150385184545,0.2,14.0,100000.0,0.0,415452845636473.25,0.0356711674760886,0.009150385184545,0.2,14.0,100000.0,0.0,22162,1000000.0,0.426781,1.3834299999999998e-238,1000000.0,0.396172,2.5741899999999995e-204,1000000.0,0.3731,1.888789999999999e-180,0.99967157
5,862179519428312.5,760513408804632.8,971803771116074.8,20.500200363193187,17.32015292649033,23.95019282017365,14400.0,0.0136281143308489,0.1,3.6,0.0015249908186853,250.0,438140236047573.1,0.0113058468964689,0.012962232365384,0.1,3.4,0.0023139306495014,225.0,10800,1000000.0,0.409316,0.0,1000000.0,0.373323,0.0,1000000.0,0.349811,0.0,0.015692673
8,182713902419671.25,157261002050610.9,211279447014202.62,30.703490034619136,21.98627191254659,41.28115965325148,27360.0,0.0103519101279827,0.1,4.8,4.733502341325044e-05,350.0,89494971285825.11,0.0082044517593134,0.0101777229531792,0.1,5.1,2.975206834147614e-05,375.0,17313,1000000.0,0.348205,0.0,1000000.0,0.303629,0.0,1000000.0,0.279583,0.0,0.0068606646
11,14087296424581.094,11416118887494.633,18738675828069.727,100.01514928764745,12.641095914543827,277.97704436792554,56160.0,0.0035676248664882,0.2,8.2,29841.361436108546,200.0,9781905905754.592,0.0057278566449346,0.0035676248664882,0.2,8.2,29841.361436108546,200.0,142155,1000000.0,0.222196,0.0,1000000.0,0.178031,0.0,1000000.0,0.152968,0.0,0.47116884
14,558267416823889.4,520333466423117.3,599059946528205.6,5.478355480886451,3.992516257264258,7.629582185834294,112320.0,0.0104589482321249,0.1,4.0,0.0010156484389965,0.0,558267416823889.4,0.004050824017412,0.0104589482321249,0.1,4.0,0.0010156484389965,0.0,17769,1000000.0,0.405432,0.0,1000000.0,0.37066,0.0,1000000.0,0.347568,0.0,4.2239987e-11
17,453577136740590.3,430561966947043.0,477835092480346.4,2.1230256237113663,1.4424235467662416,3.710035440752285,901440.0,0.0032541013426131,0.1,14.0,4.263327242076823e-08,0.0,445803491635042.5,0.0014302327594031,0.0030141845463069,0.11,14.0,1.0051264291547929e-05,25.0,213915,1000000.0,0.434158,0.0,1000000.0,0.403309,0.0,1000000.0,0.380821,0.0,1.5364636e-07
20,19462611099887.18,18253249360452.12,21070922087164.56,5.475329990904754,2.1131862618007924,22.8875720191145,1802880.0,0.0013778534592052,0.1,14.0,1.7755540044918992e-09,25.0,18890191996929.82,0.0010113656230693,0.0013778534592052,0.1,14.0,1.7755540044918992e-09,25.0,1014120,1000000.0,0.270508,0.0,1000000.0,0.22392,0.0,1000000.0,0.199549,0.0,0.0021265906
23,6019358550205.939,5549966860331.055,6907293673810.026,14.917655179173073,3.1682716224784264,84.35063584515335,14423040.0,0.0011307358238776,0.1,11.0,4.271293331214386e-09,50.0,5651820692938.956,0.0003575928886806,0.0011307358238776,0.1,11.0,4.271293331214386e-09,50.0,1521180,1000000.0,0.149211,0.0,1000000.0,0.110244,0.0,1000000.0,0.0838499,0.0,1.9197783e-16
26,296620965747.4332,278300736469.5174,316785954495.47107,4.359801563108811,2.814097275222319,8.911263091450374,7211520.0,0.0006037031230781,0.2,3.3,25151.01120501233,0.0,296620965747.4332,0.000505705940851,0.0002321433018328,0.21,3.1,83488.27827249358,0.0,34654381,447974.0,0.0230243,0.0,393829.0,0.00758672,0.0,315895.0,0.0108654,0.0,0.83177186
30,37811097901.09289,34771144846.43509,41332956161.79984,9.15005583421852,5.675509922644325,21.72967635691994,14423040.0,0.0022050816913797,0.1,3.7,1.155472601833071e-07,0.0,37811097901.09289,0.0003575928886806,0.0022050816913797,0.1,3.7,1.155472601833071e-07,0.0,380295,133590.0,0.0371727,0.0,116971.0,0.010694,0.0,95488.7,0.00906715,0.0,2.4317554999999998e-61
