band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,308225785648045.3,273451269409525.1,347820981532046.25,4.784382638255528,2.018529729837866,7.721871104639754,1536.0
5,484316818740255.0,410235321204630.75,566896468236655.0,37.90288435205701,29.592020991664747,46.42565716134908,15360.0
8,76435849490845.98,60965070714267.48,96743159090190.88,80.3752563423678,30.18469502751134,126.67164405877448,29184.0
11,10854331289466.342,8407657738665.422,15444419629568.498,157.20682323770805,12.19886354378273,419.0053736057685,59904.0
14,382915240706646.3,352768936697353.06,415357537085272.6,8.047653118950777,5.900834296721935,12.014708554923393,119808.0
17,450160785858562.6,427161082889382.3,474276286496363.1,2.131661072750499,1.5351432445244844,3.103238530001706,961536.0
20,18704269974191.605,17660752003878.617,19841965899994.24,3.042926222930509,1.8575849697926607,6.365304891908117,1923072.0
23,5021861024525.2705,4709823684292.783,5396335284780.166,4.895317231881658,2.3901571740681877,16.139183109636352,15384576.0
26,476954530885.45874,433430104699.3883,561846252435.1871,23.06920809734614,4.074611337131075,120.73766858609177,7692288.0
30,47146310400.07792,43629608461.00259,51067218444.81527,7.353610760649991,4.932850172607694,15.094830950930934,15384576.0
