band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,311819400135176.0,273046188221855.4,357211285121216.6,5.975195955432248,2.76652705318447,8.893579190666351,1440.0
5,432932043963185.44,362064354199565.94,511923378033923.6,42.768834877374736,33.95647506917922,51.177347634892996,14400.0
8,77213880976986.83,62287195241421.43,95008217911322.23,65.46409317910624,38.59679771399236,93.13464980437566,27360.0
11,8120653989088.0,7490292522216.485,9043866810934.07,11.668610601679287,1.7411065179873735,33.42356466322084,56160.0
14,312669073137424.0,284683071418899.25,342761152414766.6,11.022579197991465,8.566642177700116,14.327205117036506,112320.0
17,473175899196439.1,448198644956019.6,499560483003129.5,2.462100752618733,1.727687886214518,4.171244356033446,901440.0
20,25750779389574.668,24126702026454.934,27681551473250.25,4.972327401045688,2.5610002563263667,15.145797190296971,1802880.0
23,6401043083768.898,5975741087868.582,6938110477428.741,6.045285984394347,2.7430978256095107,21.492481611807023,14423040.0
26,703356865310.842,647104989090.7524,794053439637.0548,13.19045676696934,3.658628975231931,62.33771768287912,7211520.0
30,66880672935.38578,61846220762.49517,72584858985.67558,7.622966984188057,4.84175990013812,17.46915329217725,14423040.0
