band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,227143845455815.72,202785173839593.5,256047077985932.56,3.96527376776866,1.2317271989499703,7.3279360924996855,1440.0
5,320243564988359.4,275093881439731.4,370844466533634.25,31.325668515140705,22.37214046490481,39.61361071196832,14400.0
8,59707696378885.38,50110221875768.19,73092476692237.08,52.52734031600722,16.251142890093156,111.35571926802963,27360.0
11,7168031769071.915,6801108552660.666,7564388087877.249,2.2252185000387437,1.1792328807600603,3.8761131376050653,56160.0
14,91314334616205.48,77366544759730.84,107372977499108.0,38.347096636782425,27.329721660251465,56.43798622265722,112320.0
17,454890187316740.44,428870685359299.9,482678584082943.0,3.298423486611102,2.267161111739567,6.351302694866449,901440.0
20,30974890307465.727,29071491552765.133,33093742156186.297,4.2751737800201735,2.5334132329934747,8.97891932396198,1802880.0
23,5116659213028.553,4807442446371.827,5484488615317.15,4.30005417315553,2.149968125133445,14.019447919362339,14423040.0
26,676759847268.3569,621238423493.9674,767305700812.7635,14.187112849904455,3.894301808211088,66.86788734201481,7211520.0
30,55637160689.12362,51115025362.59529,60951842233.89223,9.523878442054375,5.739445167646694,23.51622570871224,14423040.0
