band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,390799019528792.25,390799019528792.25,271753322002735.5,230265406378941.4,204494446983566.84,184380838969695.4,153935590330997.22,130945082918104.88,112670192609231.77,97712157835428.2,84772401410176.45,56075311989529.79,0.0106266589787932,0.012729418456141,0.0231760248680433,0.0340918427848498,0.0433732124015745,0.0614100810533863,0.0792158463597973,0.0951669506118663,0.1095424050464346,0.1235366768955625,0.1628233149290816,0.055180344720224817,0.04431683801400743,0.03171365212371077,0.014749159120535718,0.010626658978793224,,,,,
5,861986803825730.0,861986803825730.0,755648882603672.9,685834379188139.2,630550270263691.6,584772716939306.9,513159497690273.4,460465764833971.1,416996472014624.8,380717466531031.3,350432310552130.7,282451967511300.56,0.0275699186464399,0.0238272117339359,0.0228156778146153,0.0209166704066842,0.018884853030652,0.0164561955935693,0.0139033001660756,0.0136047436253533,0.015521077831751,0.0172390280386484,0.0216725693440759,0.01717783712886271,0.016356610758307192,0.015491770916924885,0.014579292795002226,0.013577298444717067,437943669809263.7,0.012793224336543507,0.013561449940040049,0.014395494420264776,0.015825201518904097
8,182634081170201.7,182634081170201.7,162193351531910.03,149897070508887.0,140367233000507.44,132796620058036.8,121420904642361.77,112331134342708.95,104561584839244.64,97840107402216.12,92056014372940.56,78553977626152.19,0.0207178994067742,0.0207178994067742,0.0207178994067742,0.0207178994067742,0.0195136086909024,0.0175484011221029,0.0156545969834095,0.0138540220934637,0.0120619021868496,0.0105428668341445,0.0122262552329112,0.011355187041993453,0.010980175351496979,0.010566123820825446,0.010236330470492994,0.010542866834144515,89450259371203.64,0.011509536142372642,0.012045799299946425,0.012722849316765983,0.013564950145990073
11,14086785757125.39,14086785757125.39,11685792423963.5,10998232211195.32,10673187468761.342,10426834180905.729,10054446118252.287,9782001354544.96,9555763563827.283,9353081550515.516,9172216461895.389,8739536837395.832,0.0074729817300716,0.0074729817300716,0.0074729817300716,0.0071970563072349,0.0060248440981253,0.0046999542391893,0.0034742652294614,0.0037782607585083,0.0042014923255597,0.0047467866449638,0.0057989651436202,0.0049041603659183974,0.003977812723576475,0.0037833037789553312,0.003627824535830368,0.0034742652294614818,,0.0035863317107923645,0.0035863317107923645,0.0035863317107923645,0.0035863317107923645
14,558264202028808.8,558264202028808.8,542816908887080.4,533160538177639.25,525278452123946.3,518295131061491.1,506326555053370.3,495950308283549.44,486654129475083.3,478130126064804.94,470209965801045.5,449092017841994.6,0.0104068274738113,0.0111212911288566,0.0116855425367917,0.0118730749502566,0.0121499260477255,0.0129168532615647,0.0135629875224912,0.0141674749900952,0.0147353572835551,0.0152796573340104,0.0167980257669135,0.012105780308687475,0.011733717879306618,0.011292443232685564,0.010940535658328754,0.010406827473811345,,,,,
17,453577175222963.6,453577175222963.6,445803504917390.9,440778495345723.4,436514577776063.0,432725670293528.0,426045145551760.06,420156016109347.1,414782634595678.3,409794418531960.94,405135456763343.7,392579069789993.1,0.0032515634868743,0.0050119639710234,0.0061673819807853,0.0071595254702791,0.008056081096829,0.009653429378063,0.0110793826017259,0.0115180020438039,0.0105198935603334,0.009621432222278,0.0093689697766653,0.00453510545157762,0.003776577462058908,0.004029287650602065,0.0030133813946717353,0.0032515634868743593,445803504917390.9,,,,
20,19462578406633.1,19462578406633.1,18890162555605.53,18620240961347.18,18398733227378.965,18204317753619.035,17867268004661.258,17575303866264.814,17313202657691.611,17072605224803.344,16849411906999.412,16259183731030.74,0.0016042477708139,0.0013784296956784,0.0016042477708139,0.0016163786986251,0.0018920063339783,0.0025850216764936,0.0034386003763596,0.0042590590116095,0.0050384142259604,0.005784830649022,0.0078988261705615,0.0023977478617722425,0.0018756887386610632,0.001572980186577774,0.0013807501170087777,0.0013784296956784736,,0.003465276992035138,,,
23,6019357932344.343,6019357932344.343,5756523547244.186,5651820804185.668,5567830245882.587,5495557258644.616,5372454222364.293,5267699302107.088,5175258212469.677,5091746743904.815,5015201739756.424,4815555769856.933,0.0032330413421789,0.002689747395754,0.0011305535393471,0.0017559260861471,0.0019715162175902,0.0025774530698629,0.003282085434386,0.004108243116489,0.0049256754529172,0.0057053821386922,0.0078811987528732,0.002707037195275614,0.002363816104285942,0.002040420784181188,0.0019949123020722714,0.0011305535393471428,,0.0026897473957540052,0.004147413080785478,,
26,296621041648.2369,296621041648.2369,289088891166.8862,284573620741.23346,280821694063.3819,277527619651.63293,271805544383.1016,266852934034.65585,262418895059.803,258370070369.72888,254626692605.0364,244717020829.5005,0.0006046959409144,0.0013396333251841,0.0020254704512046,0.0025922426911427,0.0031163427326638,0.0040745847938428,0.0049435465121098,0.0057580740641301,0.006534238207918,0.0072798234321216,0.0093745088590736,0.0033890096080570337,0.0025756686625449457,0.001890613690359741,0.0011731507395393165,0.00023309607831412116,296621041648.2369,,,,
30,37811094129.99235,37811094129.99235,36412763810.98069,35616714531.136635,34962617566.47255,34390837760.9364,33405724561.57069,32559587599.047188,31809866851.88746,31131030020.14685,30507849629.13997,28884924133.26634,0.0022044691022536,0.0023113860342529,0.003007304441597,0.003730169562119,0.0043227215303234,0.0051646786317188,0.00613770659735,0.0070353906696487,0.0076952587935232,0.0084955084978345,0.0106046196351631,0.004983135108026948,0.004399094165085979,0.003959392969637973,0.0033017316874926414,0.0022044691022536506,,,,,
