band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,389517891155892.06,353543374468301.1,428516839369321.8,6.065884978954301,4.575659220556285,7.442332281656939,2880.0,0.007548268668562175,0.1,14.0,2.8991516719752294e-08,25.0,308441937408173.25,0.0252480482623505
5,861986481086384.6,759912310262163.9,970962647411865.8,20.51360718626416,17.316919949014757,23.937601050014088,28800.0,0.013611634797223245,0.1,3.6,0.0015241509433400325,500.0,416992223746146.9,0.007996861998123854
8,182632787687400.03,157015016300927.06,211432986735065.44,30.731636366335277,21.943707894684906,41.1261197324755,54720.0,0.013073857265470612,0.1,4.1,0.00015586192195615669,500.0,101248726674586.03,0.005802694229214813
11,14222317086115.65,11411688175783.762,19177019632614.26,111.77310669548508,12.832134947933104,292.3697572784561,112320.0,0.003506783512720768,0.2,8.3,28406.12965583648,200.0,9781997301769.094,0.004050824017412075
14,558353335719810.3,520083816151751.5,598804829065622.8,5.490969387910713,3.982385252802251,7.679731125524156,224640.0,0.010400280342467691,0.1,4.0,0.0010158047500938689,0.0,558353335719810.3,0.002864673548188499
17,453584603547408.0,430578654779778.4,477998275634833.94,2.1238061903408374,1.437132848998991,3.702872130252768,1802880.0,0.0032524849948333823,0.1,14.0,4.263397425157801e-08,0.0,453584603547408.0,0.0010113656230693639
20,19463465608806.19,18249753952680.16,21080792575952.887,5.481469442110344,2.1118218026226394,22.954482303905472,3605760.0,0.001375235758519333,0.1,14.0,1.7755592745840909e-09,25.0,18890248065657.15,0.0007151626533607517
23,6019378664556.186,5553377604376.232,6899694080992.995,14.91811732538672,3.1736618641290213,84.20055169225384,28846080.0,0.001130758301599033,0.1,11.0,4.271295265007168e-09,50.0,5651823251754.1,0.00025285875048633026
26,296621788875.905,278297530022.9102,316694381999.5064,4.360060660271154,2.814651658343848,8.908172265414843,14423040.0,0.0006058789042300283,0.2,3.3,25151.080999517133,0.0,296621788875.905,0.0003575928886806848
30,37811225746.34492,34725432757.978645,41351066565.32634,9.150587632410955,5.670266579087721,21.555946360668248,28846080.0,0.002204442315335488,0.1,3.7,1.155476508667154e-07,0.0,37811225746.34492,0.00025285875048633026
