band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,390799019528792.25,341302624862315.06,446194557489849.6,5.981111531435575,3.9423978106048,7.893831589215476,1440.0,0.0106266589787932,0.1,8.3,3.0649341178174834e-06,0.0,390799019528792.25,0.03567116747608868,0.0106266589787932,0.1,8.3,3.0649341178174834e-06,0.0,16402
5,861986803825730.0,760268953910075.6,971634360059938.6,20.51336935919681,17.321753511336283,23.97724399368029,14400.0,0.0136047436253533,0.1,3.5,0.0018289997654559,250.0,437943669809263.7,0.011305846896468966,0.012793224336543507,0.1,3.4,0.0023128925329212865,225.0,10800
8,182634081170201.7,157179737646795.34,211208888920732.3,30.720030953221475,22.0072870639813,41.297986914304566,27360.0,0.0105428668341445,0.1,4.8,4.730996872616677e-05,350.0,89450259371203.64,0.008204451759313478,0.010236330470492994,0.1,5.1,2.9737204132678893e-05,375.0,17313
11,14086785757125.39,11415189660060.377,18736610267476.09,99.98921771744511,12.641331023164204,277.8667443256281,56160.0,0.0034742652294614,0.2,8.3,28406.141424770085,200.0,9782001354544.96,0.005727856644934677,0.0034742652294614,0.2,8.3,28406.141424770085,200.0,159924
14,558264202028808.8,520328652281943.5,599064505632241.4,5.479143028786496,3.9929369561884513,7.632194592173268,112320.0,0.0104068274738113,0.1,4.0,0.0010156425903628,0.0,558264202028808.8,0.004050824017412075,0.0104068274738113,0.1,4.0,0.0010156425903628,0.0,17769
17,453577175222963.6,430562355245697.6,477835408821463.3,2.123033921309811,1.4424157285927826,3.7100790438153184,901440.0,0.0032515634868743,0.1,14.0,4.2633276037858644e-08,0.0,445803504917390.9,0.0014302327594031751,0.0030133813946717353,0.11,14.0,1.005126459101708e-05,25.0,213915
20,19462578406633.1,18253244199031.527,21070874140505.723,5.475203415063895,2.113097224918582,22.886759208724385,1802880.0,0.0013784296956784,0.1,14.0,1.7755512372007442e-09,25.0,18890162555605.53,0.0010113656230693639,0.0013784296956784,0.1,14.0,1.7755512372007442e-09,25.0,1014120
23,6019357932344.343,5549967771142.477,6907291778195.086,14.917566379862617,3.168253594307137,84.34998164808785,14423040.0,0.0011305535393471,0.1,11.0,4.271293415287708e-09,50.0,5651820804185.668,0.0003575928886806848,0.0011305535393471,0.1,11.0,4.271293415287708e-09,50.0,1521180
26,296621041648.2369,278300492645.79706,316785977588.0884,4.359838640919024,2.814088267695285,8.911490724086423,7211520.0,0.0006046959409144,0.2,3.3,25151.01764077441,0.0,296621041648.2369,0.0005057059408510994,0.00023309607831412116,0.21,3.1,83488.29963587699,0.0,34654381
30,37811094129.99235,34771170807.91097,41332934725.56669,9.150008835298616,5.675529547548577,21.72915966393607,14423040.0,0.0022044691022536,0.1,3.7,1.1554724865916845e-07,0.0,37811094129.99235,0.0003575928886806848,0.0022044691022536,0.1,3.7,1.1554724865916845e-07,0.0,380295
