band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,2880.0,0.1,14.0,0.0075482686685621,25.0,0.11,14.0,6.954255607366665e-06,0.006732454140511157,25.0,41517
5,28800.0,0.1,3.6,0.0136116347972232,500.0,0.1,3.4,0.002312877711792091,0.012784865051959216,450.0,10800
8,54720.0,0.1,4.1,0.0130738572654706,500.0,0.11,4.0,0.016880569674436616,0.011512245466872073,600.0,13680
11,112320.0,0.2,8.3,0.0035067835127207,200.0,0.2,8.3,28406.12965583648,0.0035067835127207,200.0,151801
14,224640.0,0.1,4.0,0.0104002803424676,0.0,0.1,4.0,0.0010158047500938,0.0104002803424676,0.0,17769
17,1802880.0,0.1,14.0,0.0032524849948333,0.0,0.11,14.0,1.0051325389451505e-05,0.003012179135421067,25.0,213915
20,3605760.0,0.1,14.0,0.0013752357585193,25.0,0.1,14.0,1.7755592745840907e-09,0.0013752357585193,25.0,1014120
23,28846080.0,0.1,11.0,0.001130758301599,50.0,0.1,11.0,4.271295265007168e-09,0.001130758301599,50.0,1521180
26,14423040.0,0.2,3.3,0.00060587890423,0.0,0.21,3.1,83488.50995395526,0.0002344446927864674,0.0,32451840
30,28846080.0,0.1,3.7,0.0022044423153354,0.0,0.1,3.7,1.155476508667154e-07,0.0022044423153354,0.0,380295
