band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,272718321741779.6,272718321741779.6,198246524391783.56,175557702658664.5,159305092636284.03,146858317296937.1,127091828051044.8,111019326737394.84,97421476421746.48,85820199489524.89,75914015845756.33,52583319652925.88,0.0083922875830537,0.0141787537022091,0.0273512381443018,0.0376684877050034,0.0460619276672465,0.0603187537881242,0.0748192254910877,0.0886758725545241,0.1019938697092793,0.1160158747695425,0.1570168406851544,0.04911932276143871,0.041138302657519873,0.03145822748110072,0.020093320405921822,0.00839228758305377,,,,,
5,484289236419816.94,484289236419816.94,393283629868809.44,340534130690794.5,302401291803353.8,275633965481150.8,237229768936895.7,211627258079866.62,193157968177983.12,178873681310939.28,167712459103168.12,145822541897189.78,0.0162725212608649,0.0162725212608649,0.0162725212608649,0.0162725212608649,0.0142878776320386,0.0097479511315693,0.0088269788298753,0.0098411936115439,0.0112148904487144,0.013263900551871,0.0190898645125942,0.011136588727454655,0.01034046339948722,0.009846922203821551,0.009379718207244703,0.00882697882987538,0.008237716535247408,223336338361720.1,0.010159414810962386,0.01222545961258234,0.013776625125476838
8,76427683845810.97,76427683845810.97,59440021383464.64,53273960280486.87,50492446745507.88,48541218446341.16,45687866817633.375,43618363774555.14,42054935783635.52,40747072594153.31,39639067035645.67,37044886595901.8,0.0053340131373377,0.0053340131373377,0.0053340131373377,0.0053340131373377,0.0053340131373377,0.0053340131373377,0.0053690505871405,0.0058621681090301,0.0066679168169026,0.0071409129128348,0.0096591783547595,0.005334013137337723,0.005334013137337723,0.005334013137337723,0.005334013137337723,0.005334013137337723,,,,,
11,10853474062800.152,10853474062800.152,8553915259542.995,8045044140205.0205,7793534973002.134,7617766954846.658,7372317147078.851,7188046550490.245,7038130099658.855,6911344696029.782,6804012963084.836,6548294212340.222,0.010442233011321,0.010294520216982,0.0076212574366412,0.0060173772900213,0.0049887888603011,0.0032917174106664,0.0030813120170265,0.0032690779053647,0.0035300021854396,0.0040282948185556,0.0083710601347365,0.003511237492179472,0.003386828383729467,0.0032634069490280223,0.0031433019905187597,0.003007043399548549,0.002904133996677327,7275206897726.588,0.0030245656262216647,0.003956411166773921,0.004786049542638393
14,382913648502468.9,382913648502468.9,370421844163472.25,363066885452650.3,356979242783600.4,351603456836485.2,342048825292423.6,333641839870035.06,326020021261667.06,319002383750098.75,312497131510966.0,295192843386308.8,0.0239763872471437,0.0258277736528941,0.0251819214602798,0.0261605655728995,0.0265568309070507,0.0269928095453589,0.0270748332037735,0.0282599811760975,0.028150308271865,0.0293171280000661,0.0301213869183257,0.025885703105073904,0.02501774458209044,0.024959451351177053,0.024887876077748672,0.023976387247143793,,,,,
17,450160764211054.9,450160764211054.9,442692155462659.1,437657428079151.1,433351602430714.5,429527925874814.4,422759988649204.9,416783149787433.6,411355859752543.6,406322040882432.06,401615100052745.75,388956049152876.7,0.0035486561140799,0.0038220706976671,0.0048870932926865,0.0058112665111277,0.0066435668515755,0.0081304955167994,0.0095443600876089,0.01085899824134,0.0120906955791779,0.0127455750174705,0.0104755109031714,0.00473258159464994,0.005184974722777569,0.004301895286420013,0.0042823111699170635,0.0035486561140799094,,,,,
20,18704265910357.684,18704265910357.684,18287631984211.387,18046816957039.44,17847077935646.58,17671057356113.49,17363136502131.824,17093321198098.52,16849920601771.535,16626748823120.004,16419519284364.72,15868121437712.402,0.0013773015098166,0.0014097503608275,0.0011171918671651,0.0014584184616251,0.001937329101207,0.0028905724908783,0.0037637226185838,0.0045790408836611,0.0053546261951454,0.0060939544586664,0.0081421349057045,0.0031752125545372323,0.002441418162591358,0.0019373291012070304,0.0014584184616251925,0.00105601306521458,0.0007251308689568692,18287631984211.387,0.0016454226616235967,,
23,5021861492196.736,5021861492196.736,4878625964403.387,4803077845350.483,4741569440966.659,4688039036525.85,4595845012316.58,4516493001495.772,4445831987148.97,4381565431046.629,4322273481979.69,4166176457113.2417,0.0023275391023963,0.0010402441295477,0.0010596865005704,0.0013998572497943,0.001752344922638,0.0026424791275434,0.003552117551008,0.0043921829966093,0.0051856721971923,0.0059429718156979,0.0080669075049885,0.002363187843695276,0.0019334525049166697,0.0015969501941271117,0.0015698802734664952,0.0010402441295477294,0.003878748503908902,,,,
26,476954532643.6961,476954532643.6961,448698369214.161,439307012695.7152,432097571613.3756,425987294906.53125,415662473680.46497,406909454063.60834,399177329433.2461,392193848938.5637,385790850155.5115,369080990187.8413,0.0013665676163167,0.0007314393920244,0.0015482369018986,0.0022202100849018,0.0028487341708657,0.0039063764700803,0.0048431783086348,0.0057021885223476,0.0065006558430375,0.0072798462286127,0.0094415500436981,0.0036604312590335086,0.0029132946811612354,0.0022202100849018983,0.0015482369018986405,0.0007314393920244688,0.0020116533273979442,,,,
30,47146307968.7482,47146307968.7482,45645707187.012505,44749389121.55827,44003102745.79256,43344846627.51979,42199851627.56825,41207879538.87742,40322370858.46419,39516580429.15842,38774503529.06447,36828394488.75269,0.001890250982896,0.0027009911881685,0.003356030310046,0.0038995427330713,0.0043893588837777,0.0054268648244124,0.0062056655451213,0.0070668959446063,0.0078536711390319,0.0085383840685538,0.0106236272402304,0.004389358883777797,0.003765314118708618,0.0033560303100460265,0.0026995799635044504,0.0018570724823045448,,47146307968.7482,,,
