band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,3072.0,0.2,20.0,0.0076448805107854,25.0,0.21,20.0,52198.82521250362,0.007284009704429439,25.0,34992
5,30720.0,0.1,7.4,0.0081845779267758,350.0,0.1,7.4,4.394333624007371e-06,0.0081845779267758,350.0,27678
8,58368.0,0.2,8.8,0.0053094651306609,0.0,0.2,8.8,100000.0,0.0053094651306609,0.0,65664
11,119808.0,0.2,13.0,0.0029823415229487,150.0,0.22,13.0,34822.71095314873,0.0028788374558036795,175.0,227448
14,239616.0,0.1,1.3,0.0240228770223551,0.0,0.11,1.0,41.982432906568384,0.024004584537508575,0.0,3159
17,1923072.0,0.1,13.0,0.0035532682115876,0.0,0.1,13.0,8.08652811418253e-08,0.0035532682115876,0.0,152118
20,3846144.0,0.2,7.1,0.0011159595117861,50.0,0.19,7.2,26205.485490835264,0.0007241591415694248,25.0,3650832
23,30769152.0,0.1,13.0,0.001039717016201,25.0,0.1,13.0,8.76370229870734e-10,0.001039717016201,25.0,1622592
26,15384576.0,0.2,2.7,0.0007330329560227,25.0,0.2,2.7,70377.59171285573,0.0007330329560227,25.0,3465436
30,30769152.0,0.2,1.2,0.0018874934586347,0.0,0.18,1.5,3843.64486074491,0.0018551669996812459,0.0,540864
