band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,281028872131271.8,281028872131271.8,194606384393352.62,170442527819163.9,152774970555600.94,138821352153248.05,117630302998879.7,101130635501842.23,88340976969659.33,77389000899237.67,67817966656789.11,45420093554639.56,0.0114843496330226,0.0137648314415529,0.0251498430661817,0.0376699251712303,0.0486031621709768,0.0673108735111618,0.0839665302181555,0.0983563408802486,0.1118257012295078,0.1245169477973838,0.16296222322785,0.05988170850687302,0.04967863344970466,0.0378962896750728,0.023526304980225787,0.006096333644746266,281028872131271.8,,,,
5,432801610204231.1,432801610204231.1,341489103871955.0,290501997686204.4,255729694444725.56,230121357454096.62,191937973495359.44,167931320046990.84,151377992803408.22,139339984995315.1,130292830845031.5,113326908582133.28,0.0199214947031551,0.0199214947031551,0.0199214947031551,0.0194136778046611,0.0162140069073157,0.0103709351780472,0.0092758576802282,0.0104768138621185,0.0117378375800782,0.0144890694343473,0.0188923475493544,0.011578322325198691,0.01082676150585915,0.010343291500561338,0.009868729799286546,0.009275857680228271,178814644478597.0,0.0085798553625132,0.01012773969801073,0.011867446517479431,0.011867446517479431
8,77149671053070.02,77149671053070.02,61962258947437.36,54227820318836.59,49384756426968.6,46122428270722.14,41879143860610.52,39109612852448.2,37175655091087.14,35717935380120.32,34582949402552.547,32253880044320.863,0.0056138485439529,0.0056138485439529,0.0056138485439529,0.0056138485439529,0.0056138485439529,0.0056138485439529,0.0052584281094773,0.0057882764477372,0.006495556963006,0.0073762340725963,0.0101101883040084,0.012447078736721129,0.010687792572992239,0.008741438765722642,0.006565560341905141,0.005258428109477381,,0.005613848543952971,0.005613848543952971,0.005613848543952971,0.005613848543952971
11,8120511753051.349,8120511753051.349,7677011061881.469,7547536400989.574,7451004109094.081,7370404884987.837,7237691059190.856,7126591175784.212,7029211834402.715,6942652949682.481,6864402075914.8125,6662197827883.7295,0.0068728000012758,0.0038788722278234,0.0028731114980924,0.0020989974224723,0.0017568515744019,0.0025123314232867,0.0042823454233055,0.0058563057678568,0.0072740731257321,0.0085708861268369,0.011990195690117,0.003219294698170172,0.0024837178911537626,0.0022526380901663062,0.0019991050579888795,0.0017568515744019741,,0.0020913681531241624,0.0028447630562991044,0.0038217005512848345,0.007225828135474899
14,312668850164710.2,312668850164710.2,301246802499522.75,293441383649960.94,287089629373822.94,281542163087878.1,271906489223702.25,263477633336181.0,255909769953221.88,249059693492739.28,242833399169448.62,226769765547834.0,0.0246024505856976,0.0238750880076768,0.0251991274924598,0.0260737521240358,0.0250004149411603,0.0267683286732266,0.026492306493844,0.0277572728448348,0.0282154024550224,0.0285090490982589,0.0302453300754989,0.024506984455190284,0.025000414941160315,0.02526992244597527,0.024169723389035086,0.022839856973087047,301246802499522.75,0.023732049060179186,,,
17,473176159120663.5,473176159120663.5,464710861394907.4,459159292980038.3,454414743251074.4,450216306013861.25,442831475710055.6,436297797811050.1,430389443779096.6,424937978983671.0,419835648380704.6,406104779203377.6,0.0053789825336743,0.0065803682389489,0.0064487865998638,0.0072859363093109,0.0068569494961186,0.0075804366686135,0.0085373869808013,0.009779456248735,0.0109381132094674,0.0120348037584755,0.0150740911413878,0.007688680967023798,0.006935662331684453,0.006464281736785371,0.007089868189492643,0.005378982533674304,,,,,
20,25750805375879.76,25750805375879.76,25007104560789.18,24613485491341.047,24292683684336.41,24012105254080.703,23528952268696.19,23114475232306.48,22744183959096.723,22407293908172.547,22096606213730.625,21278236985914.688,0.0024958292475613,0.0014016315670255,0.0016014440999747,0.0017331901950592,0.0021033809896424,0.0030265537783739,0.0039103273697941,0.0046019072979037,0.0052959891345518,0.0060062997228629,0.0081137129200705,0.002534128744679936,0.0021612789981267054,0.001810479525872679,0.0016014440999747026,0.001401631567025552,,0.002299835071599532,,,
23,6401039872472.909,6401039872472.909,6197166392444.869,6093491021348.952,6009257521057.094,5936277965944.481,5811207736247.506,5704136502866.189,5609208693144.415,5523208747612.642,5444150191397.598,5237307353834.579,0.0031496664255946,0.0018475147747634,0.0017065817779191,0.0014876849999245,0.0018130917038026,0.0024751776673271,0.0031715477442557,0.0039467017539701,0.0047483720281038,0.0055218117198183,0.0076756362003998,0.002964218652331249,0.0026462793352855056,0.002348655310937588,0.0020770651662976626,0.0014876849999245385,,0.0017065817779191583,0.0033712610638082507,0.006643259822851522,
26,703356930400.7069,703356930400.7069,670219572978.2485,656878238958.229,646546704577.9766,637772435607.0576,623002952674.3108,610508128538.4175,599461748139.315,589477332210.7831,580310730258.3788,556272428132.914,0.0012166742842771,0.0008777530282856,0.0014055335103362,0.0020661354527058,0.0026473345074281,0.0036700986214803,0.0045839613539758,0.0054407466735286,0.0062472864308977,0.0070140470694309,0.009170979312424,0.003512269206377455,0.002717641210057742,0.0020661354527058626,0.0014055335103362009,0.0006393874661146798,670219572978.2485,0.0017900900799608932,,,
30,66880686608.03705,66880686608.03705,64649753790.35716,63369628569.14368,62313517787.665054,61388748498.85303,59786626376.75194,58401195936.79052,57165353580.198524,56041434939.097206,55004946115.43716,52287133704.86923,0.0018367380923758,0.0027864614980723,0.0034732521495314,0.0040396180883978,0.0045427171476735,0.0055903256996854,0.0063798991189432,0.0072461251842492,0.0079482149289546,0.0087248104504691,0.0107363082688661,0.0045427171476735,0.004039618088397805,0.0034732521495314875,0.0027864614980723096,0.0017334971829948767,66880686608.03705,,,,
