band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,281028872131271.8,243195230952944.2,324909920823591.8,7.303372003335761,4.052497447457045,10.131366934392815,1440.0,0.0114843496330226,0.1,9.1,1.0389537674322316e-06,0.0,281028872131271.8,0.0356711674760886,0.0060963336447462,0.19,9.5,100000.0,0.0,52542,1000000.0,0.416582,7.88293e-227,1000000.0,0.385062,1.2876999999999996e-192,1000000.0,0.36211,1.1654199999999994e-169,1.0
5,432801610204231.1,361934794405929.94,511730924483541.6,42.80833513753516,33.97870192692042,51.2451093438734,14400.0,0.0092758576802282,0.1,8.6,9.86774031140386e-07,200.0,178814644478597.0,0.0113058468964689,0.0085798553625132,0.09,8.9,1.3414389783145263e-09,175.0,24300,1000000.0,0.397382,0.0,1000000.0,0.3582,0.0,1000000.0,0.334654,0.0,0.23826878
8,77149671053070.02,62224157091447.79,94934615054658.62,65.57464901489628,38.65906556063127,93.196154105171,27360.0,0.0052584281094773,0.2,9.0,81476.52505741415,200.0,39109612852448.2,0.0082044517593134,0.0052584281094773,0.2,9.0,81476.52505741415,200.0,69255,1000000.0,0.334199,0.0,1000000.0,0.289032,0.0,1000000.0,0.26499,0.0,0.43429037
11,8120511753051.349,7489883818492.548,9043997163789.064,11.671391023873383,1.741691787788265,33.42726000072699,56160.0,0.0017568515744019,0.2,18.0,756.1279903072118,100.0,7370404884987.837,0.0057278566449346,0.0017568515744019,0.2,18.0,756.1279903072118,100.0,607210,1000000.0,0.208233,0.0,1000000.0,0.165333,0.0,1000000.0,0.140119,0.0,0.9950077
14,312668850164710.2,284683180104546.1,342754715547101.06,11.02266225554412,8.567268825180518,14.325151658852027,112320.0,0.0238750880076768,0.1,0.7,1.8717359798973463,25.0,301246802499522.75,0.004050824017412,0.022839856973087,0.12,0.3,8255.775738283453,25.0,3510,1000000.0,0.287473,0.0,1000000.0,0.245214,0.0,1000000.0,0.221523,0.0,2.4865808e-51
17,473176159120663.5,448198850036450.9,499560926751904.9,2.462181453737601,1.727748212686156,4.171664151813809,901440.0,0.0053789825336743,0.1,11.0,3.575970086005622e-07,0.0,473176159120663.5,0.0014302327594031,0.0053789825336743,0.1,11.0,3.575970086005622e-07,0.0,63382,1000000.0,0.428667,0.0,1000000.0,0.396921,0.0,1000000.0,0.374233,0.0,4.4156358000000004e-23
20,25750805375879.76,24126763424395.08,27681573340836.453,4.9723162757236885,2.560944779572784,15.144710560305452,1802880.0,0.0014016315670255,0.1,12.0,8.9792953560317e-09,25.0,25007104560789.18,0.0010113656230693,0.0014016315670255,0.1,12.0,8.9792953560317e-09,25.0,901440,1000000.0,0.286734,0.0,1000000.0,0.239906,0.0,1000000.0,0.215666,0.0,0.0016756419
23,6401039872472.909,5975740610683.924,6938098085358.53,6.045187201397674,2.7430269342650617,21.491762639863484,14423040.0,0.0014876849999245,0.1,13.0,1.0794702883019962e-09,75.0,6009257521057.094,0.0003575928886806,0.0014876849999245,0.1,13.0,1.0794702883019962e-09,75.0,855663,1000000.0,0.162048,0.0,1000000.0,0.122424,0.0,1000000.0,0.0963117,0.0,3.7516722e-28
26,703356930400.7069,647105343693.8489,794053272635.33,13.190499435756596,3.658641895076368,62.33799297384214,7211520.0,0.0008777530282856,0.2,3.1,69183.2417707429,25.0,670219572978.2485,0.000505705940851,0.0006393874661146,0.19,3.4,16569.8955495333,25.0,4563540,669496.0,0.023777,0.0,586130.0,0.00743842,0.0,472141.0,0.00986193,0.0,0.005496447
30,66880686608.03705,61846324965.937965,72584702752.2975,7.622873516230854,4.841835870261708,17.467982276194512,14423040.0,0.0018367380923758,0.2,1.3,65048.9093215421,0.0,66880686608.03705,0.0003575928886806,0.0017334971829948,0.19,1.4,20194.98072423458,0.0,641746,184700.0,0.0351485,0.0,161681.0,0.00865797,0.0,132038.0,0.00756117,0.0,4.5149520000000004e-38
