band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1440.0,0.1,9.1,0.0114843496330226,0.0,0.19,9.5,100000.0,0.006096333644746266,0.0,52542
5,14400.0,0.1,8.6,0.0092758576802282,200.0,0.09,8.9,1.3414389783145265e-09,0.0085798553625132,175.0,24300
8,27360.0,0.2,9.0,0.0052584281094773,200.0,0.2,9.0,81476.52505741415,0.0052584281094773,200.0,69255
11,56160.0,0.2,18.0,0.0017568515744019,100.0,0.2,18.0,756.1279903072118,0.0017568515744019,100.0,607210
14,112320.0,0.1,0.7,0.0238750880076768,25.0,0.12,0.3,8255.775738283453,0.022839856973087047,25.0,3510
17,901440.0,0.1,11.0,0.0053789825336743,0.0,0.1,11.0,3.575970086005622e-07,0.0053789825336743,0.0,63382
20,1802880.0,0.1,12.0,0.0014016315670255,25.0,0.1,12.0,8.9792953560317e-09,0.0014016315670255,25.0,901440
23,14423040.0,0.1,13.0,0.0014876849999245,75.0,0.1,13.0,1.0794702883019962e-09,0.0014876849999245,75.0,855663
26,7211520.0,0.2,3.1,0.0008777530282856,25.0,0.19,3.4,16569.8955495333,0.0006393874661146798,25.0,4563540
30,14423040.0,0.2,1.3,0.0018367380923758,0.0,0.19,1.4,20194.98072423458,0.0017334971829948767,0.0,641746
