band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,345669880980105.1,300704273107705.25,396215230761789.8,5.857541548501594,3.4390143117388536,8.104378221226092,1344.0
5,713047513522668.5,629676832729987.6,801667508870165.0,19.640253208343548,16.349690467898615,23.08274742676079,13440.0
8,172313639528491.22,150058798082459.16,196834908766078.16,25.969711874141762,19.634500910919133,33.41594853310481,25536.0
11,10401902530601.844,9604331078551.229,11426594661373.383,9.433284538813464,2.96979047396284,23.213115039694856,52416.0
14,258508569810618.88,230277024725773.4,289402302766942.94,17.352895848706197,12.5805486253923,23.723219807905412,104832.0
17,458662741069522.06,432549174492522.0,486605873794850.56,3.265435167292833,2.2117780002379956,6.284834107564002,841344.0
20,32627373649492.676,30587528292427.055,34957785476290.227,4.65770967897031,2.574358351544002,11.16372145305011,1682688.0
23,6188888184193.175,5716830300487.082,7075775007904.235,14.042685085194211,2.930642670959068,79.92191344496702,13461504.0
26,500439681042.1965,461364447780.2899,551075522306.5786,9.781547220618485,4.322319083454134,34.1109496872362,6730752.0
30,46226215085.57182,42003060462.04751,51267487345.952835,12.664718189510161,7.21506501421242,32.27155631327245,13461504.0
