band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,51393212.0,44637750.0,60965720.0,34.034298,15.248034,117.524994,58064760.0,0.003481771420136129,0.1,1.1,6.851136568874603e-08,50.0,45640416.0,0.000178224744761164
5,2524177400.0,2353391400.0,2699739600.0,5.179779,4.626152,5.774006,58064760.0,0.04278136558793788,0.1,0.4,5.300539476559246e-05,0.0,2524177400.0,0.000178224744761164
8,1757397600.0,1641078500.0,1877119600.0,4.847562,4.2862415,5.420815,58064760.0,0.022377412332590607,0.2,0.1,18491.1367003367,0.0,1757397600.0,0.000178224744761164
11,1457189100.0,1371756500.0,1544338700.0,3.3342295,2.99865,3.6847603,58064760.0,0.025532904121290056,0.2,0.2,11717.817182342043,50.0,1428191400.0,0.000178224744761164
14,454788770.0,418968930.0,491746240.0,7.730319,6.9002686,8.605524,58064760.0,0.017736511375111563,0.2,-0.4,19930.003212886186,75.0,431506370.0,0.000178224744761164
18,79979430.0,73463980.0,86971220.0,8.767644,6.9142914,11.307163,58064760.0,0.016546149683289033,0.2,-0.2,1934.959437810211,0.0,79979430.0,0.000178224744761164
21,29852508.0,27061792.0,32923912.0,12.333047,8.880222,17.917091,58064760.0,0.014891149217391375,0.2,-0.4,1320.0784371459295,25.0,28581142.0,0.000178224744761164
24,15253643.0,13204486.0,17535612.0,28.565693,21.727388,36.90105,58064760.0,0.007225690885941577,0.2,-0.9,6053.032936507934,0.0,15253643.0,0.000178224744761164
27,10075819.0,8521706.0,11769719.0,37.237705,31.1126,44.299973,58064760.0,0.010079625489506139,0.2,-1.0,4024.578798978799,350.0,5665223.5,0.000178224744761164
31,289414.16,235854.9,357386.0,63.037277,39.385593,147.87198,58064760.0,0.030406247362755878,0.3,-1.2,12789.86076800496,500.0,118440.87,0.000178224744761164
