band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,1822465700.0,1700348000.0,1952399400.0,5.2108974,4.4929647,6.0733895,57390260.0,0.032459474685464285,0.2,-0.4,82612.95048893316,25.0,1788660700.0,0.0001792689942398067
5,2076545300.0,1956235300.0,2200689700.0,3.2480855,2.7786257,3.767907,57390260.0,0.02565423098877062,0.2,0.6,7028.173633818012,0.0,2076545300.0,0.0001792689942398067
8,1659444600.0,1563706400.0,1757885300.0,3.2394333,2.8198957,3.6935723,57390260.0,0.023237767127465947,0.2,0.5,6907.445088245088,0.0,1659444600.0,0.0001792689942398067
11,1339807900.0,1261084900.0,1419867400.0,3.3351655,3.0026486,3.688461,57390260.0,0.03226484633845367,0.2,-0.2,32414.257290284524,0.0,1339807900.0,0.0001792689942398067
14,249563260.0,228083520.0,272114600.0,9.824538,8.4023285,11.439768,57390260.0,0.020031075384698935,0.2,-0.6,24333.91059311059,0.0,249563260.0,0.0001792689942398067
18,60590816.0,55414650.0,66236164.0,10.046114,7.3092422,14.069856,57390260.0,0.017852106917663257,0.2,-0.2,1410.2904198656515,25.0,58292812.0,0.0001792689942398067
21,27735454.0,24842592.0,30926078.0,15.857981,11.606464,22.57872,57390260.0,0.0159401756081054,0.2,-0.6,2704.372619102031,0.0,27735454.0,0.0001792689942398067
24,19563218.0,16856596.0,22530870.0,29.648762,24.566576,35.480534,57390260.0,0.006659852643569792,0.2,-1.0,11989.53792873793,75.0,16877148.0,0.0001792689942398067
27,5385740.5,4516623.5,6365169.5,42.1037,31.579062,57.52136,57390260.0,0.013893920355989353,0.2,-1.0,2117.1248307248306,350.0,2980184.0,0.0001792689942398067
31,172945.42,134880.8,230259.6,106.23403,49.286438,312.29703,57390260.0,0.03568969079496098,0.3,-1.2,8132.326628083775,350.0,75309.64,0.0001792689942398067
