band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,57390260.0,0.2,-0.4,0.0324594746854642,25.0,0.2,-0.41,87148.1852001095,0.03206387904572944,0.0,1751
5,57390260.0,0.2,0.6,0.0256542309887706,0.0,0.22,0.4,51033.62573732414,0.025300987815499942,0.0,2953
8,57390260.0,0.2,0.5,0.0232377671274659,0.0,0.22,0.3,50124.806379456626,0.02279671604901856,0.0,3502
11,57390260.0,0.2,-0.2,0.0322648463384536,0.0,0.2,-0.17,29625.549611985934,0.03147002734672577,0.0,1867
14,57390260.0,0.2,-0.6,0.0200310753846989,0.0,0.2,-0.58,22458.40034409031,0.01897882024697317,0.0,5253
18,57390260.0,0.2,-0.2,0.0178521069176632,25.0,0.25,-0.5,72131.92380952381,0.015559949888821034,0.0,7879
21,57390260.0,0.2,-0.6,0.0159401756081054,0.0,0.23,-0.7,25302.23813534521,0.012565679230672755,0.0,11820
24,57390260.0,0.2,-1.0,0.0066598526435697,75.0,0.19,-1.0,7021.929898587336,0.005665811480550564,0.0,56045
27,57390260.0,0.2,-1.0,0.0138939203559893,350.0,0.24,-1.1,29717.69409547257,0.012272695168771441,350.0,11820
31,57390260.0,0.3,-1.2,0.0356896907949609,350.0,0.5,-1.28,100000.0,0.03165501934566661,450.0,1751
