band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,933610800.0,933610800.0,902089500.0,878407000.0,857686100.0,838933440.0,805608060.0,776282050.0,749870700.0,725720450.0,703358400.0,644412860.0,0.0214812090058837,0.0223763932084586,0.023066588447218,0.0236884114958119,0.0242633492887833,0.0237892512880962,0.0242104597965012,0.0251094194263683,0.02596136784379,0.0267511500524538,0.0272864347082886,0.021514302824942377,0.02094067835416291,933610800.0,0.020719647561154055,0.020029887844346977,0.019865425291855865,,,,
5,2283666200.0,2283666200.0,2247455000.0,2217634800.0,2190709000.0,2165745200.0,2120087200.0,2078541300.0,2040041500.0,2004007000.0,1970035800.0,1877838100.0,0.0347530178993739,0.0344357408217232,0.0352119032155747,0.0359194635743657,0.036581279594876,0.0378146924169249,0.0379119512504962,0.0373034876942787,0.0372484519989303,0.0382424876902019,0.0400619617761983,0.035597315357133175,0.03535989978533098,2283666200.0,0.03509565324920316,0.03479455206803961,0.03443574082172329,0.03409008640472416,,,
8,1704543400.0,1704543400.0,1679683300.0,1657929000.0,1637999600.0,1619459100.0,1585463600.0,1554552600.0,1526023200.0,1499406300.0,1474384000.0,1406660900.0,0.0236589076771688,0.0241108339116292,0.0237558888231969,0.0234303638837893,0.0240498595011644,0.0254908914050621,0.0249686317729831,0.0254125304370465,0.0266034843143938,0.0262348049678431,0.0274343078457717,0.02389695962039451,0.024169757294428384,1679683300.0,0.02445768551970534,0.02404985950116445,0.023378706787712797,0.022977284473395948,0.022390942111110923,0.022390942111110923,
11,1321303700.0,1321303700.0,1306351600.0,1292920000.0,1280318100.0,1268350300.0,1245895300.0,1224969100.0,1205241100.0,1186493800.0,1168586600.0,1118927700.0,0.0262910448478117,0.0269301695791833,0.0275114103481438,0.0280620176717659,0.0285925646571073,0.0287390529029692,0.02811840989262,0.0289183291416876,0.0298011655549333,0.0306553116268402,0.0309154641343273,0.02726937133457602,0.02699705251893622,1321303700.0,0.026706169588058604,0.026389095853284958,0.026215702960128706,,,,
14,354341100.0,354341100.0,345833470.0,338728640.0,332357500.0,326499500.0,315899680.0,306400830.0,297730850.0,289723460.0,282259260.0,262426220.0,0.0203264011994272,0.021619555480184,0.0219551782094017,0.021290735885036,0.0206854008428987,0.0207707325705952,0.0223798288356859,0.0238986854184036,0.0253136176506253,0.0243867241212107,0.026071123792471,0.019752137686494087,0.019397480843868442,354341100.0,0.019066563109890744,0.018111171579567653,0.017909931279772362,,,,
18,69343190.0,69343190.0,66933228.0,65293108.0,63926996.0,62729452.0,60665390.0,58900210.0,57343440.0,55943776.0,54667630.0,51386464.0,0.0170043807284147,0.0171421373867849,0.0185574112064339,0.0195536759799949,0.0190164207459125,0.0196802412966061,0.0213426427100584,0.0207972239077837,0.0217031253238296,0.0229944523015249,0.0243016730666559,0.017062059785624917,0.017049662844924818,69343190.0,0.015866480829839325,0.016164544745429887,0.014158227806813972,,,,
21,29528264.0,29528264.0,28220734.0,27368110.0,26667396.0,26060056.0,25029678.0,24164836.0,23415060.0,22750168.0,22151006.0,20623392.0,0.0177045558413116,0.0170901591664894,0.0165675345482242,0.0178292152856807,0.0189635851742406,0.0209750490766091,0.0204641658538129,0.0204399228303609,0.02183340604581,0.0231376776937282,0.0235838424738629,0.01600963718779848,0.016220906798596557,29528264.0,0.015932499925761387,0.014830001617935754,0.015215003162396656,0.014187413906101967,0.014151040516154123,,
24,11385378.0,11385378.0,10449603.0,9845965.0,9368484.0,8968661.0,8318589.5,7799567.0,7367641.0,6998612.0,6677269.0,5909514.0,0.0091254771958986,0.0066371803327735,0.0089087481575412,0.0109916382725087,0.0129098083765486,0.0155161273590308,0.012617190044023,0.0137972534591307,0.0157792071260277,0.0176852784743447,0.0177064985110656,0.007814536813218413,0.007107432631754916,11385378.0,0.0073473378692080205,0.005747791970251548,0.005674808478894025,0.00489587436858048,,,
27,4082310.5,4082310.5,3575558.2,3268643.8,3036272.0,2848078.8,2553946.8,2328953.5,2148212.0,1998264.6,1870978.2,1579553.8,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122822378397905,0.0122267297581754,0.012805536334521528,0.012598549139894333,1711366.0,0.012394867090814221,0.012427429822408742,0.012226729758175403,0.012260803308999257,0.011870886486978816,0.011584233501966357,0.011620171238962473
31,140923.44,140923.44,115577.27,103352.77,94506.46,87601.96,77239.414,69619.47,63670.234,58844.47,54816.03,45766.207,0.0340591481662249,0.0342581704545096,0.0341282138723725,0.0340255988607833,0.0339365942508738,0.0339998086018068,0.0351127267701228,0.0349834371810804,0.0348770003222776,0.0347812068601054,0.0345428356958532,0.030387513765877394,0.030387513765877394,115577.27,0.030387513765877394,0.030387513765877394,0.030387513765877394,0.030387513765877394,0.030387513765877394,0.030264337436679556,0.030387513765877394
