band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,933610800.0,840187900.0,1032819900.0,13.94886,11.880587,16.470263,58035773.0,0.0214824375447086,0.1,-0.2,0.0003978654671563,0.0,933610816.0,0.0001782692472486289,0.019865425291855865,0.15,-0.7,938.572911563928,0.0,4482
5,2283666400.0,2135150300.0,2436663000.0,4.6318536,4.0626936,5.2483296,58035773.0,0.0344357408217232,0.2,-0.3,74320.60105820095,25.0,2283666432.0,0.0001782692472486289,0.03409008997532559,0.2,-0.31,78004.1400075131,0.0,1590
8,1704543500.0,1595907700.0,1816449900.0,4.3836417,3.8600774,4.927766,58035773.0,0.0234303638837893,0.2,0.2,13439.221509528295,75.0,1679683200.0,0.0001782692472486289,0.022390942111110923,0.22,0.0,100000.0,25.0,3542
11,1321303900.0,1240478000.0,1403714600.0,3.7877803,3.4113915,4.1841226,58035773.0,0.0262910339471764,0.2,-0.1,23833.043578643537,0.0,1321303936.0,0.0001782692472486289,0.026215709730519732,0.2,-0.09,23165.45380629377,0.0,2656
14,354341060.0,324169120.0,385762020.0,9.472603,8.316523,10.697056,58035773.0,0.0203264060156707,0.2,-0.6,34550.37186952481,0.0,354341056.0,0.0001782692472486289,0.017909936047613706,0.2,-0.56,29468.90379872591,0.0,5976
18,69343190.0,63485804.0,75675600.0,9.638129,7.3665547,12.757142,58035773.0,0.0170043807284147,0.2,-0.2,1677.634617463719,0.0,69343192.0,0.0001782692472486289,0.014158227806813972,0.25,-0.5,82551.41904761904,0.0,8964
21,29528268.0,26620452.0,32719796.0,13.813051,10.137963,19.820705,58035773.0,0.0165675274973445,0.2,-0.5,1810.0604497354495,50.0,29528268.0,0.0001782692472486289,0.014151045251928562,0.24,-0.7,43839.15532093418,0.0,8964
24,11385378.0,9675729.0,13348877.0,37.15631,26.229538,51.10726,58035773.0,0.0066371803344996,0.2,-0.9,4146.667857142856,25.0,11385378.0,0.0001782692472486289,0.00489587436858048,0.2,-0.92,5046.469660893685,0.0,80694
27,4082310.8,3265269.5,5048213.5,69.656845,46.32054,98.5628,58035773.0,0.0122267296560532,0.3,-1.1,95878.60888997656,500.0,1711366.375,0.0001782692472486289,0.011584233776111563,0.29,-1.1,81876.74352394047,425.0,14168
31,140923.45,105583.65,196710.67,147.24309,60.025898,424.6875,58035773.0,0.0339365940453851,0.3,-1.2,9459.7136120218,100.0,115577.2734375,0.0001782692472486289,0.030264337436679556,0.4,-1.27,83462.35244012253,25.0,1992
