band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,58035773.0,0.1,-0.2,0.0214824375447086,0.0,0.15,-0.7,938.572911563928,0.019865425291855865,0.0,4482
5,58035773.0,0.2,-0.3,0.0344357408217232,25.0,0.2,-0.31,78004.1400075131,0.03409008997532559,0.0,1590
8,58035773.0,0.2,0.2,0.0234303638837893,75.0,0.22,0.0,100000.0,0.022390942111110923,25.0,3542
11,58035773.0,0.2,-0.1,0.0262910339471764,0.0,0.2,-0.09,23165.45380629377,0.026215709730519732,0.0,2656
14,58035773.0,0.2,-0.6,0.0203264060156707,0.0,0.2,-0.56,29468.90379872591,0.017909936047613706,0.0,5976
18,58035773.0,0.2,-0.2,0.0170043807284147,0.0,0.25,-0.5,82551.41904761904,0.014158227806813972,0.0,8964
21,58035773.0,0.2,-0.5,0.0165675274973445,50.0,0.24,-0.7,43839.15532093418,0.014151045251928562,0.0,8964
24,58035773.0,0.2,-0.9,0.0066371803344996,25.0,0.2,-0.92,5046.469660893685,0.00489587436858048,0.0,80694
27,58035773.0,0.3,-1.1,0.0122267296560532,500.0,0.29,-1.1,81876.74352394047,0.011584233776111563,425.0,14168
31,58035773.0,0.3,-1.2,0.0339365940453851,100.0,0.4,-1.27,83462.35244012253,0.030264337436679556,25.0,1992
