band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,930435000.0,930435000.0,901785150.0,881871940.0,864389000.0,848397250.0,819497150.0,793522370.0,769770050.0,747818800.0,727360100.0,673001500.0,0.0235408419078785,0.0239763543569163,0.0246908045033563,0.0253374091035718,0.0259435088234051,0.0264885755323096,0.0258643101947193,0.0264885755323096,0.0264885755323096,0.0264885755323096,0.0264885755323096,0.0242550729069671,0.023982186833393176,0.02334089086937799,930435000.0,0.022622589150012473,0.021620991432042103,,,,
5,2319912700.0,2319912700.0,2284332300.0,2254782200.0,2228058400.0,2203254500.0,2157845200.0,2116517500.0,2078247800.0,2042447000.0,2008687600.0,1916929900.0,0.0326955354399476,0.032234144713003,0.032385099899832,0.0331216611275757,0.0338125744677303,0.0350480678644374,0.0344586741203025,0.0342151176386695,0.0352834018038266,0.0363116322265348,0.0364539883154553,0.03312308056670707,0.032794490509635066,0.03243668725964877,2319912700.0,0.03231994148374895,0.03193085658156186,0.031693380933705384,,,
8,1712932000.0,1712932000.0,1687740500.0,1666046500.0,1646371300.0,1628277200.0,1595643300.0,1566409100.0,1539667300.0,1514882300.0,1491634700.0,1428749200.0,0.0239899845887193,0.0242445553737182,0.0238578919354016,0.0243469087346894,0.0251487011600065,0.0249601375814113,0.0257193892610844,0.0261074712529218,0.026150120352189,0.0272122130678067,0.0278027990537063,0.02404113682850162,0.02433896841556843,0.02465471008558684,1666046500.0,0.024034022030437086,0.023213807509971263,0.023595644581307584,0.023827098567124394,,
11,1477210400.0,1477210400.0,1462489100.0,1449353600.0,1437031700.0,1425308400.0,1403240600.0,1382593400.0,1363075300.0,1344496800.0,1326724900.0,1277302300.0,0.0316043899525053,0.0312165614144123,0.0308666432335801,0.0311304083854027,0.0316280228591974,0.0325754611415151,0.0334145565107,0.0328530743185823,0.0328779641849646,0.0336882930840049,0.0342745059221991,0.0317464611932759,0.03204943698405116,0.031628022859197455,1462489100.0,0.031130408385402736,0.03077553959475926,0.030227349163783418,0.03039396675925876,,
14,351200400.0,351200400.0,343051900.0,336273950.0,330196700.0,324612350.0,314524500.0,305497540.0,297260220.0,289653600.0,282569150.0,263723650.0,0.0180933278696264,0.0174904658040775,0.0185147455964163,0.0194517338808537,0.0203293575375375,0.0219662816293932,0.0221304175225295,0.0210537415212772,0.0219631933989274,0.0232363990913095,0.0245287127950549,0.019293258559618054,0.018968490223324433,0.01853583602265274,351200400.0,0.01805240180355505,0.017490465804077593,0.017062053479735995,,,
18,71350696.0,71350696.0,68940024.0,67291080.0,65910600.0,64699828.0,62613250.0,60830424.0,59257428.0,57841076.0,56548876.0,53220590.0,0.0160702040910057,0.0179492772237448,0.0186519253838528,0.018040665197652,0.0186475288138888,0.0204161297198122,0.0201437942905856,0.0210919422900203,0.0223931257471761,0.0220041941308123,0.0238663128319027,0.017060395535213047,0.01607537105512369,0.016673611577593173,71350696.0,0.015423228329095512,0.015056396888700654,,,,
21,28064408.0,28064408.0,26764070.0,25931098.0,25253730.0,24670456.0,23689412.0,22873656.0,22169424.0,21546870.0,20986258.0,19556258.0,0.0148213963598765,0.0158796807156656,0.0149133388279287,0.015759753754265,0.0169930222088824,0.0190680497902228,0.0179515985168802,0.0189920871747379,0.0204644777781406,0.0213632787330784,0.0225712808514551,0.014262497876424418,0.014128064725903,0.012772520888170089,28064408.0,0.0115744373211224,0.011327309779567446,,,,
24,23470622.0,23470622.0,22338566.0,21467814.0,20715512.0,20043370.0,18869578.0,17860100.0,16971164.0,16175936.0,15456833.0,13641935.0,0.0080482304280863,0.0093810233477297,0.0104917880303455,0.0115251383139474,0.0125049468525619,0.0144051700779677,0.0135490670826837,0.0124962372750822,0.0137970774204695,0.0150631653671995,0.0187588152262418,0.008770879071885083,0.00910615758651686,0.008546988057332408,23470622.0,0.007542882696820477,0.007143076084460111,,,,
27,11446037.0,11446037.0,10827434.0,10350358.0,9938514.0,9571533.0,8932675.0,8385345.5,7905349.5,7477362.0,7091438.0,6123322.5,0.0131629073828329,0.01207878861545,0.0100506493871921,0.0097713161420681,0.0108025537145614,0.0127798044831551,0.014680419703731,0.0157929959573213,0.016767422263858,0.0177247245155392,0.0143018446857197,0.010166573649241648,0.010044397069910671,0.009821026845708493,9571533.0,0.00962271484256605,0.009771316142068165,0.010050649387192134,0.010926437166981995,0.011261522443184013,
31,322646.97,322646.97,293422.25,275689.06,261101.89,248466.36,227301.06,209971.9,195298.58,182603.02,171449.53,144598.0,0.0332099464151222,0.0330541853849329,0.0329593088035407,0.0328758186008407,0.0328013082332535,0.0326702175534597,0.0325577665235587,0.0324565122223988,0.0323688952963366,0.0322892566179545,0.0325377085269499,0.02831460686910403,0.02831460686910403,0.02831460686910403,152641.39,0.02831460686910403,0.02831460686910403,0.02831460686910403,0.02831460686910403,0.02831460686910403,0.02831460686910403
