band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,930435000.0,845063900.0,1021472640.0,11.475002,9.686063,14.108882,57419247.0
5,2319912700.0,2172740000.0,2471595000.0,4.32301,3.7815797,4.9051247,57419247.0
8,1712932000.0,1609255700.0,1820338800.0,3.8167014,3.2996516,4.3573246,57419247.0
11,1477210500.0,1393562600.0,1562146700.0,2.9528608,2.6476457,3.2734828,57419247.0
14,351200420.0,322083140.0,381529060.0,8.838117,7.7476816,10.001733,57419247.0
18,71350690.0,65414516.0,77770850.0,9.28855,7.1050363,12.427699,57419247.0
21,28064410.0,25287234.0,31129418.0,14.143862,10.129044,20.413073,57419247.0
24,23470622.0,20534928.0,26656358.0,23.60098,19.822874,27.856228,57419247.0
27,11446035.0,9863043.0,13154750.0,29.179134,24.510862,34.519928,57419247.0
31,322646.94,267385.2,390229.84,51.51782,34.074738,113.403175,57419247.0
