band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,930435000.0,845063900.0,1021472640.0,11.475002,9.686063,14.108882,57419247.0,0.0235408419078785,0.1,0.0,0.0001307340527326,0.0,930435008.0,0.0001792237390124,0.0216209914320421,0.13,-0.4,6.042347300514833,0.0,3942,8542.68,0.0922581,0.0,7615.13,0.068106,0.0,5764.74,0.064789,0.0,0.0
5,2319912700.0,2172740000.0,2471595000.0,4.32301,3.7815797,4.9051247,57419247.0,0.032234144713003,0.2,-0.1,41203.68484848478,25.0,2319912704.0,0.0001792237390124,0.0316933809337053,0.2,-0.13,45614.421938094456,0.0,1752,26234.9,0.0751497,0.0,22115.0,0.0513738,0.0,17646.0,0.0551007,0.0,0.0
8,1712932000.0,1609255700.0,1820338800.0,3.8167014,3.2996516,4.3573246,57419247.0,0.0238578919354016,0.2,0.5,6934.925341325341,50.0,1666046464.0,0.0001792237390124,0.0232138075099712,0.22,0.3,50324.22054016422,50.0,3504,26246.0,0.0572081,0.0,22427.5,0.0322857,0.0,18246.7,0.0373717,0.0,0.0
11,1477210500.0,1393562600.0,1562146700.0,2.9528608,2.6476457,3.2734828,57419247.0,0.0308666432335801,0.2,0.1,15249.93265993266,50.0,1462489344.0,0.0001792237390124,0.0302273385134897,0.21,0.0,43550.852413527486,25.0,1971,22005.2,0.0742738,0.0,18864.5,0.0484456,0.0,15046.0,0.0516342,0.0,0.0
14,351200420.0,322083140.0,381529060.0,8.838117,7.7476816,10.001733,57419247.0,0.017490470604732,0.2,-0.5,22688.61587301587,25.0,351200416.0,0.0001792237390124,0.0170620570219978,0.2,-0.51,24113.36879753715,0.0,6651,7798.71,0.0790093,0.0,6743.47,0.0529603,0.0,5273.49,0.054119,0.0,0.0
18,71350690.0,65414516.0,77770850.0,9.28855,7.1050363,12.427699,57419247.0,0.0160702101277002,0.2,-0.2,1726.202395884129,0.0,71350688.0,0.0001792237390124,0.0150564030379441,0.25,-0.5,84941.29523809523,0.0,7884,4376.01,0.0664329,0.0,3783.76,0.040178,0.0,2970.92,0.0419719,0.0,0.0
21,28064410.0,25287234.0,31129418.0,14.143862,10.129044,20.413073,57419247.0,0.0148213923890881,0.2,-0.5,1856.1117724867725,0.0,28064410.0,0.0001792237390124,0.0113273059663167,0.25,-0.7,64768.16823969041,0.0,14018,2340.29,0.0712242,0.0,2018.26,0.0456745,0.0,1573.02,0.0470125,0.0,0.0
24,23470622.0,20534928.0,26656358.0,23.60098,19.822874,27.856228,57419247.0,0.0080482304301445,0.2,-1.0,16673.546542346543,0.0,23470622.0,0.0001792237390124,0.0071430760844601,0.2,-0.98,14748.877079040134,0.0,35482,1043.87,0.0909671,0.0,908.853,0.0670616,0.0,686.961,0.0658321,0.0,0.0
27,11446035.0,9863043.0,13154750.0,29.179134,24.510862,34.519928,57419247.0,0.0097713161420681,0.2,-1.1,13803.491666666663,75.0,9571533.0,0.0001792237390124,0.009622714842566,0.2,-1.09,12371.604407481344,100.0,21027,482.835,0.0919384,0.0,422.4,0.0690143,0.0,314.608,0.0670926,0.0,0.0
31,322646.94,267385.2,390229.84,51.51782,34.074738,113.403175,57419247.0,0.03228925673473,0.2,-1.1,238.1243706597222,350.0,152641.40625,0.0001792237390124,0.028314606869104,0.4,-1.27,100000.0,450.0,2217,79.5565,0.0878081,0.0,69.8958,0.0654011,0.0,51.3454,0.0634092,0.0,0.0
