band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,930435000.0,845063900.0,1021472640.0,11.475002,9.686062,14.108884,100000.0,0.02354084190787853,0.1,0.0,0.00013073405273267673,0.0,930435000.0,0.004293014618329405
5,2319912700.0,2172740000.0,2471595000.0,4.32301,3.7815783,4.9051247,100000.0,0.03223414471300301,0.2,-0.1,41203.68484848478,25.0,2284332300.0,0.004293014618329405
8,1712932000.0,1609255800.0,1820338800.0,3.8167,3.2996516,4.3573246,100000.0,0.023857891935401665,0.2,0.5,6934.925341325341,50.0,1666046500.0,0.004293014618329405
11,1477210400.0,1393562500.0,1562146700.0,2.9528623,2.6476462,3.2734847,100000.0,0.030866643233580127,0.2,0.1,15249.93265993266,50.0,1449353600.0,0.004293014618329405
14,351200400.0,322083100.0,381529100.0,8.838118,7.7476816,10.001733,100000.0,0.017490465804077593,0.2,-0.5,22688.617989417988,25.0,343051900.0,0.004293014618329405
18,71350696.0,65414516.0,77770856.0,9.288547,7.105037,12.427702,100000.0,0.016070204091005777,0.2,-0.2,1726.2025894298333,0.0,71350696.0,0.004293014618329405
21,28064408.0,25287236.0,31129418.0,14.143866,10.129042,20.41307,100000.0,0.014821396359876587,0.2,-0.5,1856.1116402116402,0.0,28064408.0,0.004293014618329405
24,23470622.0,20534928.0,26656358.0,23.600979,19.822874,27.856232,100000.0,0.008048230428086327,0.2,-1.0,16673.546542346543,0.0,23470622.0,0.004293014618329405
27,11446037.0,9863044.0,13154750.0,29.179123,24.510862,34.519924,100000.0,0.009771316142068165,0.2,-1.1,13803.491666666665,75.0,9938514.0,0.004293014618329405
31,322646.97,267385.16,390229.84,51.517807,34.074745,113.40318,100000.0,0.032289256617954565,0.2,-1.1,238.1243489583333,350.0,171449.53,0.004293014618329405
