band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,685344260.0,685344260.0,653142460.0,629540400.0,609003900.0,590501570.0,557754430.0,529092860.0,503391360.0,480056740.0,458763200.0,404467100.0,0.0129700166531481,0.0119446106410556,0.0126921126906768,0.0133726646478151,0.0140118222270676,0.0135475113870614,0.0146303309473715,0.0156654514044742,0.0152627151459752,0.0161979064424616,0.0176366556800738,0.012841995023584407,0.012256081829808068,0.011739166354573814,629540400.0,0.011079633031634284,0.011944610641055675,0.011385352662132697,,,
5,1720905300.0,1720905300.0,1685758200.0,1656921300.0,1630897700.0,1606900200.0,1563298400.0,1523810000.0,1487456500.0,1453656400.0,1422010500.0,1337316200.0,0.0355153350250958,0.0365197991566643,0.036878040238672,0.036878040238672,0.0367875797413095,0.036878040238672,0.036878040238672,0.0362664353759819,0.0354036450619797,0.0345878474113897,0.035984962611861,0.034630494590937366,0.034409606789083835,0.034044995279995605,1422010500.0,0.0339487168733375,0.03359531243617658,0.033994951639575055,0.034357056572014266,0.03430342194662539,0.03374078146254257
8,1589683800.0,1589683800.0,1564777700.0,1543078700.0,1523199100.0,1504715900.0,1470915600.0,1440281200.0,1412062700.0,1385806800.0,1361183900.0,1294695400.0,0.0250577291791097,0.0260871707191683,0.0269958911963148,0.0268630057065052,0.0265335628864081,0.0264326662072572,0.0277973073261412,0.0285028105624682,0.0279847374684731,0.0283275128827915,0.0294492859651394,0.025444219760765954,0.025557598364970513,0.025232914523509287,1589683800.0,0.0249166278683524,0.024662872551201753,,,,
11,1406790700.0,1406790700.0,1391520600.0,1377664600.0,1364571500.0,1352046800.0,1328370400.0,1306195700.0,1285228700.0,1265279900.0,1246207500.0,1193312500.0,0.0291539322500754,0.029773733318428,0.0303427024609826,0.0301610658513862,0.0298472011389505,0.0293526298025142,0.0303050879887978,0.0312228303217969,0.0321116869989405,0.0320530245562445,0.0328387621890396,0.028837449330748388,0.028315912106221586,0.02844403334723733,1406790700.0,0.028177830115693858,0.02791999099915321,,,,
14,413641380.0,413641380.0,404948960.0,397497120.0,390701700.0,384384540.0,372836450.0,362388930.0,352797100.0,343887070.0,335552000.0,313242800.0,0.019815088457874,0.019527692657491,0.0204372199067534,0.021287917431994,0.0220969707583211,0.0236142101955036,0.0250314542861358,0.0246413029274613,0.0237466707720924,0.0240244353088776,0.0274048436530507,0.021094749469630747,0.020578983354179625,0.02024990585552318,413641380.0,0.01991557248399034,0.01952769265749106,0.01902146102765899,,,
18,86584970.0,86584970.0,83896584.0,81973864.0,80338104.0,78884970.0,76352460.0,74165064.0,72222184.0,70465000.0,68854850.0,64679930.0,0.0196415117734158,0.0214351904573346,0.0208261462264021,0.0203230091187714,0.021332768968751,0.0231570110792099,0.0228596878968905,0.0233395464016096,0.0247063165639199,0.0251267700883701,0.0269992014429885,0.020132717907335285,0.019321103722870048,0.018203649386990636,86584970.0,0.017950946225371855,0.017316724140655895,,,,
21,33660616.0,33660616.0,32309108.0,31404946.0,30657816.0,30007346.0,28896666.0,27959814.0,27143692.0,26417624.0,25761294.0,24089534.0,0.0184558335438839,0.0206859331560706,0.0212722236563186,0.0206099693334916,0.0200373134218742,0.0219791496536946,0.0237340252549901,0.0236428599657644,0.0230621739692818,0.0243724699133619,0.0259023513457078,0.018346632661252485,0.018401572974914293,0.018380255209613644,33660616.0,0.01688428775998027,0.015062658556031505,,,,
24,16528046.0,16528046.0,15486863.0,14745385.0,14129850.0,13596365.0,12697208.0,11952556.0,11316959.0,10763137.0,10273345.0,9081749.0,0.0068890035309822,0.0093184271620951,0.0116772767530119,0.0137668368483416,0.0156615277454733,0.0166180734266215,0.014579161232415,0.0147804441588055,0.0169044117382509,0.018987014289283,0.0202097436343648,0.010535335216234107,0.009166122048724343,0.007252487922421391,15486863.0,0.005379807917102991,0.005659980059353531,,,,
27,7214117.5,7214117.5,6654045.0,6258517.5,5931976.0,5650389.0,5179416.5,4792289.5,4463948.5,4179622.2,3929574.8,3327183.5,0.0130570981004397,0.0125477385619486,0.0102624679739758,0.0101728461567659,0.0100947576586932,0.0099640044384919,0.0098516680265511,0.0097539977122816,0.0114214759116748,0.0145745288464505,0.0139399605231947,0.008716537835234961,0.008548888528106091,0.0085776682391423,4621830.5,0.008607216313732902,0.008638332719584252,0.008459774054821012,0.008493239349735171,0.008528221688377191,0.00856471022526406
31,222565.25,222565.25,195415.28,180423.02,168575.47,158750.61,142999.8,130629.5,120502.09,111974.07,104653.73,87622.01,0.0288333515317361,0.0286851972950101,0.0285958407751446,0.0285194749727107,0.0284522635533158,0.0287520455858383,0.0286504080253959,0.0285593757669533,0.0284780560961148,0.0284030457084836,0.0296365750482389,0.025257441424380467,0.025257441424380467,0.025257441424380467,104653.73,0.025257441424380467,0.024992005502118997,0.02502621962432161,0.025061222693361307,0.02509711143190768,0.02513396597823897
