band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,57630782.0,0.1,-0.3,0.0119446106410556,25.0,0.14,-0.7,139.89398321777225,0.011079633031634284,50.0,15828
5,57630782.0,0.2,-0.5,0.0345878474113897,350.0,0.2,-0.51,97635.03105878078,0.03359531243617658,350.0,1666
8,57630782.0,0.2,-0.1,0.0250577291791097,0.0,0.2,-0.09,27870.762024379303,0.024662872551201753,0.0,2965
11,57630782.0,0.2,-0.2,0.0291539322500754,0.0,0.2,-0.16,30198.765004114794,0.02791999099915321,0.0,2371
14,57630782.0,0.2,-0.6,0.019527692657491,25.0,0.2,-0.61,42004.397972658684,0.01902146102765899,0.0,5275
18,57630782.0,0.2,-0.3,0.0196415117734158,0.0,0.24,-0.5,64685.95445416469,0.017316724140655895,0.0,5934
21,57630782.0,0.2,-0.5,0.0184558335438839,0.0,0.25,-0.7,77683.31634763085,0.015062658556031505,0.0,7914
24,57630782.0,0.2,-0.9,0.0068890035309822,0.0,0.24,-1.0,86971.17807094668,0.005379807917102991,25.0,63315
27,57630782.0,0.2,-1.0,0.0097539977122816,250.0,0.24,-1.1,46087.80698108742,0.008459774054821012,225.0,26709
31,57630782.0,0.3,-1.2,0.0284030457084836,350.0,0.4,-1.26,70917.40094437623,0.024992005502118997,350.0,2965
