band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,98098.0,0.3,-0.6,0.0038763640118001,150.0,0.3,-0.6,0.00015965887293099235,0.0027528518617094978,175.0,248310
3,109212.0,0.2,-1.0,0.0149254266980203,0.0,0.25,-1.1,0.006353351499011008,0.013717348727578904,50.0,10237
5,1081864.0,0.7,-1.1,0.0076193787582411,50.0,0.9,-1.16,5.457209720829657,0.004412900402985365,0.0,96273
6,546468.0,0.7,-1.2,0.0094219838905647,100.0,0.66,-1.2,2.7920173565135724,0.008563372217890775,25.0,25615
8,3541926.0,0.5,-1.1,0.0032000582133038,0.0,0.55,-1.1,0.09429829895167971,0.0019703464086557876,75.0,498082
9,5314425.0,0.5,-1.1,0.0028447652922982,25.0,0.49,-1.1,0.025205454995168217,0.0018961658988930763,0.0,498226
11,6734585.0,0.1,-0.4,0.0068887724428323,25.0,0.1,-0.42,3.0186997593402977e-14,0.004927190276033271,0.0,78919
12,22178309.0,0.1,-0.4,0.0045595092434138,25.0,0.1,-0.4,6.451559193022669e-15,0.0045595092434138,25.0,86634
14,12486961.0,0.1,-0.1,0.0076191774667839,250.0,0.08,0.2,3.0074887857258984e-22,0.00628490850933798,150.0,48777
16,8165465.0,0.1,-0.1,0.0093432853950407,500.0,0.1,-0.1,3.698679285780269e-18,0.007822578252343705,475.0,31896
