band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,0.0178380974370094,0.0145629996919077,0.0218911349672982,60.96941437380645,29.745732944931703,95.32565955798808,98856.0,0.0025550706769691,0.2,0.1,1.254133001033513e-07,150.0,0.012871949182214924,0.00431777366722471,0.0018882326616495582,0.18,0.2,1.559185018981745e-08,100.0,500458
3,0.2881827633488908,0.250410463543025,0.3293302554856827,26.410152257783405,21.70857785112844,31.53658871263619,110055.0,0.0177890898602169,0.1,-0.5,7.769717221204356e-13,50.0,0.28818276334889087,0.004092280545260718,0.017166896347193053,0.09,-0.4,6.2361671192716426e-15,0.0,6526
5,2.3830937234541447,2.2056837180181863,2.566236957255599,6.693844021806925,5.838630461278661,7.633887345006715,1090100.0,0.0109671436753739,0.6,-1.1,2.6115673002994355,50.0,2.3830937234541447,0.0013006099139274835,0.007901638610200767,0.7,-1.15,4.34616138914326,0.0,28741
6,1.5150131223274534,1.3974661176389496,1.6360186136535455,7.39467801501466,6.531692018995078,8.313025609696062,550640.0,0.010966329856299,0.5,-1.1,1.013564601220272,50.0,1.436509357100792,0.0018298923356427324,0.009845721554754744,0.6,-1.15,1.9382162970565358,75.0,19357
8,0.1233450485020157,0.1082924649273702,0.1411138204451934,24.50929119697982,14.434495320138222,44.35275714001936,3568842.0,0.0023765760383232,0.4,-1.0,0.0252770857889544,0.0,0.11460487593977588,0.0007188519079682373,0.001897991975002844,0.42,-1.0,0.02932146833536572,25.0,501867
9,0.0303172733079325,0.0268855637658326,0.034748666711797,22.447458906476346,10.916855322007413,63.33081860036496,5354720.0,0.0052003659837019,0.7,-1.1,0.0374920307822721,200.0,0.025955203486142327,0.0005868672726150687,0.004320865552317199,0.6,-1.08,0.027711724471858115,100.0,94125
11,0.0178282037157094,0.0146930920353858,0.0214970987703667,51.69956728723199,33.85331446328381,88.5463264420314,6785573.0,0.0074008227261739,0.1,-0.4,2.3918024293118457e-14,25.0,0.017828203715709423,0.0005213358427224347,0.006657632447766071,0.09,-0.3,1.8851503403029356e-16,0.0,39759
12,0.0078163277955697,0.0061756603186706,0.0099674287581512,83.88486629614447,46.56452692400037,182.6034402732112,22346151.0,0.0096065513562071,0.1,-0.3,2.9533366582764188e-15,300.0,0.004253608670676446,0.0002872887853533679,0.008458298686671566,0.1,-0.35,4.567031600352245e-15,225.0,24549
14,0.0004683018320232,0.000361157444367,0.0006540996582469,135.04285514820504,47.54741621809135,450.7879957211831,12581431.0,0.0114480542681518,0.1,0.0,2.3472579026395322e-17,500.0,0.00018358510024807714,0.00038286993539974067,0.009876488326734028,0.08,0.4,8.549908892508889e-23,425.0,18429
16,0.0001206386931051,7.711388532826245e-05,0.0002082360547033,417.2862603373936,110.96374136983694,1192.1555566650566,8227229.0,0.016539761581961,0.1,-0.1,4.548765280662217e-18,500.0,1.5766956951136532e-05,0.00047346287942727977,0.012774813140353614,0.09,0.2,8.258335392848998e-21,600.0,11434
