band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,98856.0,0.2,0.1,0.0025550706769691,150.0,0.18,0.2,1.559185018981745e-08,0.0018882326616495582,100.0,500458
3,110055.0,0.1,-0.5,0.0177890898602169,50.0,0.09,-0.4,6.2361671192716426e-15,0.017166896347193053,0.0,6526
5,1090100.0,0.6,-1.1,0.0109671436753739,50.0,0.7,-1.15,4.34616138914326,0.007901638610200767,0.0,28741
6,550640.0,0.5,-1.1,0.010966329856299,50.0,0.6,-1.15,1.9382162970565358,0.009845721554754744,75.0,19357
8,3568842.0,0.4,-1.0,0.0023765760383232,0.0,0.42,-1.0,0.02932146833536572,0.001897991975002844,25.0,501867
9,5354720.0,0.7,-1.1,0.0052003659837019,200.0,0.6,-1.08,0.027711724471858115,0.004320865552317199,100.0,94125
11,6785573.0,0.1,-0.4,0.0074008227261739,25.0,0.09,-0.3,1.8851503403029356e-16,0.006657632447766071,0.0,39759
12,22346151.0,0.1,-0.3,0.0096065513562071,300.0,0.1,-0.35,4.567031600352245e-15,0.008458298686671566,225.0,24549
14,12581431.0,0.1,0.0,0.0114480542681518,500.0,0.08,0.4,8.549908892508889e-23,0.009876488326734028,425.0,18429
16,8227229.0,0.1,-0.1,0.016539761581961,500.0,0.09,0.2,8.258335392848998e-21,0.012774813140353614,600.0,11434
