band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,255218215684498.0,213045914311194.84,310700890305098.06,6.533473190111989,0.735054674436047,12.8705792200571,768.0,0.0121111226152648,0.2,14.0,80430.30045073036,0.0,255218215684498.0,0.0487836823851768,0.0104409084247016,0.14,14.0,0.5261022650109062,0.0,16605,1000000.0,0.418351,2.7257099999999987e-122,1000000.0,0.383628,3.545269999999998e-102,1000000.0,0.359973,1.2614699999999993e-89,0.99999404
5,487822351013111.2,415044527561009.75,566760564352840.5,34.76385400733997,28.21196713968869,41.25213337182469,7680.0,0.0091758543598279,0.1,7.9,2.5403046484578336e-06,100.0,217470458273366.6,0.0154752345036585,0.0091758543598279,0.1,7.9,2.5403046484578336e-06,100.0,21870,1000000.0,0.406162,0.0,1000000.0,0.369049,0.0,1000000.0,0.345429,0.0,0.53437086
8,71396465412680.81,59066510972042.94,87839801829482.44,59.25651728029309,21.448410485420467,115.91863731027144,14592.0,0.0057993086013853,0.2,8.9,95941.89886318023,100.0,43977648041755.2,0.0112312968059888,0.0056262434734093,0.18,9.3,4736.84573930938,100.0,55404,1000000.0,0.33976,0.0,1000000.0,0.295086,0.0,1000000.0,0.27104,0.0,0.74257292
11,10943024772672.98,8267880716685.501,15834687349254.598,181.9112741864745,9.989979911289955,441.5769212913097,29952.0,0.0028094574994746,0.2,13.0,3175.120249235737,100.0,7280315207526.923,0.0078416794420502,0.0028094574994746,0.2,13.0,3175.120249235737,100.0,227448,1000000.0,0.202819,0.0,1000000.0,0.160403,0.0,1000000.0,0.135039,0.0,0.97155688
14,381586694429821.2,351691992168221.6,413942854871183.0,8.060018650263025,6.064510820427595,10.86921586354787,59904.0,0.0239730837226105,0.1,1.3,0.3018833360438297,0.0,381586694429821.2,0.0055460651256572,0.0237935932394148,0.11,1.0,41.8279905029351,0.0,3159,1000000.0,0.327424,0.0,1000000.0,0.286977,0.0,1000000.0,0.26334,0.0,6.814406800000002e-30
17,450811545336281.8,427559284271818.0,474889810991984.6,2.137824075729138,1.5408974754535711,3.0974892829839047,480768.0,0.0035396857766689,0.1,13.0,8.098133040708477e-08,0.0,450811545336281.8,0.0019583332007082,0.0035396857766689,0.1,13.0,8.098133040708477e-08,0.0,152118,1000000.0,0.431453,0.0,1000000.0,0.400265,0.0,1000000.0,0.37765,0.0,1.169106e-05
20,18727231004912.92,17691894987966.234,19863594045554.98,3.039489787603685,1.8603523018700745,6.354710867548159,961536.0,0.0011748523480252,0.2,7.1,98162.0919841533,50.0,18309796245498.543,0.0013848226074512,0.0007425337631496,0.19,7.2,26237.12684672677,25.0,3245184,1000000.0,0.269322,0.0,1000000.0,0.222759,0.0,1000000.0,0.198363,0.0,0.66378123
23,5022264580832.456,4710394457911.794,5401446325945.414,4.8984955282263565,2.400907032331175,16.195491983476515,7692288.0,0.0010401950806724,0.2,5.8,56977.53502559157,50.0,4803310231172.492,0.0004896483826868,0.0010169710940482,0.19,6.2,12705.60277800558,50.0,1825416,1000000.0,0.139633,0.0,1000000.0,0.102288,0.0,1000000.0,0.0754765,0.0,2.4580581e-07
26,476922004031.54114,433606546097.0529,562330765484.4863,23.038310802190026,4.082035418224455,120.91895469071532,3846144.0,0.0008197794071084,0.2,2.7,70376.7826853427,25.0,448694215688.6709,0.0006924546837536,0.0007934728906467,0.19,2.9,18708.75479239374,25.0,2884608,535595.0,0.0259181,0.0,468589.0,0.0063009,4.658139999999998e-133,377597.0,0.00855083,1.08713e-244,0.015757475
30,47142691259.58002,43644511360.92862,51098588263.60315,7.356515566674183,4.936605849818697,15.106455304116794,7692288.0,0.0018606124398628,0.2,1.2,53809.49421494144,0.0,47142691259.58002,0.0004896483826868,0.0018253950293313,0.18,1.5,3843.33818923932,0.0,540864,153808.0,0.0355995,0.0,134815.0,0.00912338,0.0,110070.0,0.00802851,0.0,1.0902032e-22
