band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,304543067915136.06,304543067915136.06,184788559201807.4,152377030498135.94,128297738824228.66,110878810274506.77,84745354298435.06,65112147414808.695,49367090639117.62,37565526935017.17,28212870937550.73,7987202799996.98,0.0127232106427101,0.0289539959933035,0.0498607517269829,0.0677336530757186,0.0824324843521649,0.1130117680076426,0.1430331780206423,0.1735144363850825,0.201318089773876,0.2271549217803996,0.3141761388799051,0.08903741852689342,0.07297107642280376,0.05440592745418252,0.03425084747049356,0.012723210642710148,,,,,
5,737800296536782.9,737800296536782.9,600842312056580.1,527033096955810.6,475408775457188.06,432310523478585.25,365830552272273.44,315556054606353.3,278075490145870.6,247379532076076.53,223050680925335.8,173599924500996.34,0.0235497974974511,0.0194374811838731,0.016471941246458,0.0135939984127367,0.0124506734100831,0.015520888328401,0.0183969084294736,0.021157333174623,0.0243187499326571,0.0278448462343823,0.0381307439069152,0.01837472791057064,0.01693467712906683,0.015496541835489097,0.014038378088550352,0.012450673410083102,0.013863735320259973,0.01588469109157775,0.017690465392728505,0.017690465392728505,
8,158911782157216.44,158911782157216.44,132259299367872.52,118768393767734.31,109562353334152.36,102225909667799.98,90538843047839.1,81566956206532.17,74423794698240.14,68622868608653.93,63908354666363.81,54048223044115.35,0.0181619010810746,0.0181619010810746,0.0181619010810746,0.0165201891006677,0.0146359681960935,0.0112572537739125,0.0104943616373813,0.0121224197088647,0.0141805659675147,0.0160013149651193,0.0206990641056566,0.014184859074875655,0.013153082959538922,0.012086013609522328,0.011248513161517315,0.010494361637381378,0.009642781306741068,0.01109761424184176,0.012619260243028285,0.014319421681878386,85822841021011.22
11,13319676360562.293,13319676360562.293,10205748336743.56,9768500929715.22,9482872171258.566,9255875010600.305,8874170392740.953,8565450925927.622,8313056748095.715,8100292997477.126,7917087773733.676,7474922712944.471,0.0086006451385888,0.0076768944709529,0.0062230130506044,0.0053044932557877,0.0043038375518378,0.0039527676623288,0.0046460893432529,0.0051296450743739,0.0062053667308925,0.007351259535053,0.0111346875191226,0.0075904142652257756,0.006103445921873396,0.004785057465670484,0.004272919326972213,0.003952767662328882,0.0036224395660898745,0.004200778830155086,0.005161991775863295,0.0062608169759124505,9055232820498.473
14,335163805613060.75,335163805613060.75,320802280844092.94,312866868833246.2,306397386176513.2,300832760564272.94,291118514552561.1,282780145841473.7,275244220004484.47,268351653210710.5,262013789087056.62,245409365851193.44,0.0238658075994133,0.0260515996921588,0.0256523584357177,0.0261154798978054,0.0270075569884005,0.0268994637915289,0.0281000043840649,0.0286574078845016,0.0288962840799206,0.0300672902440971,0.0311371982825247,0.02566157449839651,0.02494953556589241,0.02565235843571778,0.025012419092299162,0.02317593867356793,,,,,335163805613060.75
17,435862654126958.7,435862654126958.7,427137307842056.06,421759287677429.1,417129532987659.2,413035852805397.7,405824494379571.0,399543707855868.9,393870246516939.7,388625931075262.3,383746822612615.6,370652073881517.6,0.0049778336629301,0.0066022774156858,0.0059648692738375,0.0066813502584573,0.0070242766404169,0.0075966246391952,0.0078577579439802,0.0082071750978314,0.0093036967716609,0.0103473253776947,0.0132909144251521,0.006430417066072058,0.006322604231504714,0.005829837995645626,0.005696267773320218,0.004977833662930128,,,,,
20,24687443314136.125,24687443314136.125,23933681686053.93,23536446024775.184,23219971887545.75,22947882484078.57,22483507233394.56,22084080432589.445,21730041949578.05,21409609119299.84,21113922466049.367,20331288469928.062,0.00235174556829,0.0010473444892195,0.0014132486274478,0.0015678373219297,0.0019613016381956,0.0029387055450763,0.0038140475917343,0.0044911434232319,0.0052543311173201,0.0060129441761225,0.008173711895614,0.0024370117771568903,0.00201853585348509,0.0016277393399772022,0.0019609087109488943,0.0010473444892195038,0.0024081791911273465,,,,
23,4719305909370.693,4719305909370.693,4540016161856.014,4469950663621.995,4413171324855.296,4363838131149.271,4278704367216.6,4205297115791.6665,4139743207572.9,4080082789508.902,4024966482879.678,3879508603340.232,0.0021487512472634,0.0011379239515185,0.0011086881233599,0.0014673585639436,0.0018536831639529,0.0027951804743062,0.0036976340640439,0.0045371189010214,0.0053295851286388,0.0060880621846653,0.0082154482390204,0.002868159575707574,0.0023141094288415542,0.0018536831639529919,0.0014673585639436264,0.0011086881233599143,0.0011379239515185713,0.0025351076008645057,,,
26,269727935605.29977,269727935605.29977,263697809842.5556,259843160421.6868,256610588741.78604,253745935181.3077,248736437256.19803,244356846885.4832,240427849947.8962,236825364894.63345,233480354965.78336,224585029995.02344,0.000634910231206,0.0013431879114666,0.0020083004565283,0.002580590250405,0.0030990901363516,0.004040948121862,0.0049004528959081,0.0057051754676212,0.0064730090988539,0.0072160415065937,0.0092923015319132,0.003042200186349882,0.0025197606605455725,0.0019777754327494276,0.0013125925071412817,0.0003907879101555656,,,,,269727935605.29977
30,26470233914.13792,26470233914.13792,25645447731.82785,25125796652.01944,24694736694.299503,24316581409.433243,23660544531.0132,23094076965.909283,22589856875.2851,22132814481.244938,21712941589.687637,20617150148.327564,0.001722469874617,0.001846384661005,0.0022339340329916,0.0025957061610836,0.0031146816450013,0.0040654855678633,0.0049549891277579,0.005797225064137,0.0065931065289486,0.0073553201347147,0.0095076908357755,0.003506957233226901,0.003027602616882126,0.0024458886994606355,0.0018137934963164473,0.0017224698746170497,,,,,
