band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,250319822945502.56,208725780975336.4,302788770737759.94,5.628149671516768,0.9206730033316142,10.542275498280938,720.0,0.0133075620171573,0.2,13.0,100000.0,0.0,250319822945502.56,0.05037584494300355,0.012545589642659394,0.15,13.0,12.02830014182248,0.0,12300.0
5,436701888575063.75,368089068005281.7,512259302645164.8,39.38952138878871,31.06582449442413,47.765204813130445,7200.0,0.0096210190864674,0.1,9.1,6.447032644766885e-07,100.0,174387193111603.72,0.01598200647371495,0.0096210190864674,0.1,9.1,6.447032644766885e-07,100.0,20502.0
8,77792157225086.12,64055769860270.2,93539227271148.9,52.53214613325526,36.141399508829295,66.71708227280513,13680.0,0.0054330445522998,0.2,8.6,100000.0,0.0,40066761398894.59,0.011599242029078331,0.0053138581110668826,0.19,8.7,25712.406683881527,100.0,65736.0
11,8159754220366.615,7520673103233.439,9053886490325.932,11.261125305580071,2.0482109496215046,30.546365269944125,28080.0,0.0021673873960099,0.2,20.0,462.6768931656443,75.0,7409199610135.384,0.00809866167486047,0.002134913169307584,0.17,20.0,2.86088860707074,50.0,404806.0
14,310419866243927.3,282687390339275.75,340132906623874.2,10.98708201971717,8.692440587816813,14.020421868865814,56160.0,0.0236554213132189,0.1,0.7,1.8614108313941016,25.0,299585020065813.4,0.005727856644934677,0.022633141365925327,0.12,0.3,8210.233999799622,25.0,3510.0
17,473808319425925.44,449051484424550.2,499867912098912.9,2.3727664577834577,1.7355729673111169,3.280354805254315,450720.0,0.0055052865891894,0.1,11.0,3.580747559040988e-07,0.0,473808319425925.44,0.002022546066510303,0.0055052865891894,0.1,11.0,3.580747559040988e-07,0.0,63382.0
20,25717062769271.12,24113449798623.49,27535520677826.07,4.540473835396199,2.536283116876017,11.393416737941092,901440.0,0.0014048368737921,0.1,12.0,8.97693677120079e-09,25.0,25000535963238.543,0.0014302327594031751,0.0014048368737921,0.1,12.0,8.97693677120079e-09,25.0,901440.0
23,6402895055324.623,5981277321984.973,6938022965428.507,6.051458143976484,2.7413261006023646,21.52465831601464,7211520.0,0.0014782448502607,0.1,13.0,1.0796760075115148e-09,75.0,6010402730629.253,0.0005057059408510994,0.0014782448502607,0.1,13.0,1.0796760075115148e-09,75.0,855663.0
26,703450212108.7308,647573047991.0552,795048536546.6691,13.192766874801343,3.6620066516969954,62.30732030571063,3605760.0,0.0009138057340582,0.1,8.1,6.403013031702409e-09,25.0,670301254096.1908,0.0007151626533607517,0.0009138057340582,0.1,8.1,6.403013031702409e-09,25.0,2281770.0
30,66840131453.92902,61848849184.77792,72414736687.2498,7.334161537078593,4.844850006253821,14.7817842706014,7211520.0,0.0018181444879357,0.2,1.3,65009.46492173271,0.0,66840131453.92902,0.0005057059408510994,0.0017875374148652798,0.19,1.4,20182.73487872944,0.0,570442.0
