band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,1822488400.0,1700372200.0,1952446000.0,5.210349,4.492886,6.0711346,57390260.0
5,2078663600.0,1958257500.0,2202910200.0,3.2462797,2.77701,3.765562,57390260.0
8,1657425500.0,1561775600.0,1755770000.0,3.241509,2.821768,3.6960778,57390260.0
11,1358281200.0,1278466000.0,1439367400.0,3.3253546,2.994547,3.6758451,57390260.0
14,248553000.0,227111460.0,271037570.0,9.865507,8.433444,11.491579,57390260.0
18,60670964.0,55490890.0,66323070.0,10.023994,7.3002524,14.030677,57390260.0
21,27571328.0,24696126.0,30742820.0,15.852201,11.615492,22.426954,57390260.0
24,19422758.0,16734777.0,22371064.0,29.68145,24.580843,35.559555,57390260.0
27,5368814.5,4503685.5,6343471.0,41.978233,31.542048,57.036312,57390260.0
31,156066.89,122312.52,206662.12,102.471054,46.86819,299.14786,57390260.0
