band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,57824238.0,0.1,0.2,0.0324302709095775,50.0,0.11,0.0,0.00593933819847607,0.03161453241279644,0.0,1764
5,57824238.0,0.2,0.7,0.0269270046153358,50.0,0.22,0.5,56835.50549004608,0.0266706738829261,50.0,2646
8,57824238.0,0.2,0.8,0.0194623246715469,0.0,0.23,0.5,72141.35777900666,0.01929441076510008,0.0,5022
11,57824238.0,0.2,0.2,0.0290049809281028,75.0,0.22,0.0,84318.89141916792,0.027824398663843897,0.0,2511
14,57824238.0,0.2,-0.4,0.0179065311080285,50.0,0.2,-0.43,14928.998561776545,0.016658217600049152,0.0,6696
18,57824238.0,0.2,-0.1,0.0150553584240237,0.0,0.25,-0.4,48204.0421102921,0.013405363593838635,0.0,10587
21,57824238.0,0.2,-0.5,0.0111239882515931,0.0,0.24,-0.7,35366.21383608582,0.008970890460899897,0.0,23821
24,57824238.0,0.1,-0.4,0.0095736312286209,0.0,0.13,-0.7,0.6792813165059385,0.008046442803680331,0.0,28234
27,57824238.0,0.2,-1.0,0.0141422563346619,500.0,0.23,-1.1,26614.340202328676,0.01183348102993731,425.0,13398
31,57824238.0,0.3,-1.2,0.0355023329468441,500.0,0.5,-1.27,100000.0,0.02926922097150858,600.0,2232
