band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,933623740.0,840217500.0,1032814200.0,13.948387,11.880556,16.468412,58035773.0
5,2286039600.0,2137415400.0,2439154700.0,4.629076,4.0605216,5.2447677,58035773.0
8,1702450200.0,1593920000.0,1814228900.0,4.385933,3.861979,4.93101,58035773.0
11,1339574300.0,1257730700.0,1423021700.0,3.7751532,3.4017007,4.1689105,58035773.0
14,353058020.0,322949300.0,384398180.0,9.502752,8.341633,10.73237,58035773.0
18,69455660.0,63595304.0,75792904.0,9.606892,7.3518496,12.674908,58035773.0
21,29347818.0,26458042.0,32520380.0,13.816166,10.149457,19.701677,58035773.0
24,11301114.0,9601877.0,13252219.0,37.235912,26.271584,51.324577,58035773.0
27,4068715.5,3255766.8,5028989.0,69.35498,46.25483,97.50637,58035773.0
31,128309.29,96454.375,178504.66,144.85083,57.436783,414.40317,58035773.0
