band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,933623740.0,840217500.0,1032814200.0,13.948387,11.880556,16.468412,100000.0,0.0214959927763106,0.1,-0.2,0.0003978709765234,0.0,933623744.0,0.004293014618329405,0.019916503329379054,0.15,-0.7,938.585908275612,0.0,4687
5,2286039600.0,2137415400.0,2439155000.0,4.629076,4.0605206,5.2447705,100000.0,0.0344454213104084,0.2,-0.3,74398.56084656074,25.0,2286039552.0,0.004293014618329405,0.034075358965727554,0.2,-0.31,78085.19965008642,0.0,1562
8,1702450400.0,1593920000.0,1814228900.0,4.38593,3.861979,4.931012,100000.0,0.0234068434403531,0.2,0.2,13422.39212148017,75.0,1677600512.0,0.004293014618329405,0.02222587364218087,0.22,0.0,100000.0,25.0,3750
11,1339574300.0,1257730700.0,1423021600.0,3.7751532,3.4016988,4.1689124,100000.0,0.0262423397459996,0.2,-0.1,24162.59509379505,0.0,1339574272.0,0.004293014618329405,0.025974571891987486,0.2,-0.09,23485.774220925054,0.0,2635
14,353058050.0,322949280.0,384398180.0,9.502751,8.341633,10.732368,100000.0,0.0203074742979193,0.2,-0.6,34425.270917317976,0.0,353058048.0,0.004293014618329405,0.017885730080015705,0.2,-0.56,29362.201968145502,0.0,5931
18,69455650.0,63595316.0,75792904.0,9.606897,7.3518505,12.674911,100000.0,0.0169513527532022,0.2,-0.2,1680.3552894302115,0.0,69455648.0,0.004293014618329405,0.014246118040290703,0.25,-0.5,82685.29523809523,0.0,9375
21,29347818.0,26458042.0,32520380.0,13.816166,10.149456,19.701672,100000.0,0.0166008787469994,0.2,-0.5,1798.8785714285714,50.0,29347818.0,0.004293014618329405,0.014156152349400264,0.24,-0.7,43571.25015366658,0.0,9375
24,11301114.0,9601877.0,13252218.0,37.235916,26.271584,51.32457,100000.0,0.0066130369940666,0.2,-0.9,4115.536904761903,25.0,11301114.0,0.004293014618329405,0.004835944900521194,0.2,-0.92,5009.120376618227,0.0,75000
27,4068715.5,3255767.0,5028989.0,69.35498,46.25483,97.506325,100000.0,0.0119281332004771,0.3,-1.1,95637.24367299958,500.0,1706986.375,0.004293014618329405,0.011353291372928787,0.29,-1.1,81667.19158820441,425.0,14062
31,128309.3,96454.375,178504.64,144.85081,57.43679,414.4031,100000.0,0.0316487437769783,0.3,-1.2,8700.924387579174,100.0,67574.890625,0.004293014618329405,0.024273818540143488,0.5,-1.27,100000.0,175.0,3125
