band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,930443900.0,930443900.0,901793900.0,881890050.0,864408200.0,848413250.0,819510460.0,793535940.0,769783600.0,747828900.0,727364100.0,673025900.0,0.0235667659348154,0.0239836121255786,0.0247013153661599,0.0253500735084238,0.0259542782305791,0.0264934445864338,0.0258716894385167,0.0264934445864338,0.0264934445864338,0.0264934445864338,0.0264934445864338,0.0242831045487375,0.023990011890169013,0.02334817362660946,930443900.0,0.022632097295408826,0.02162641028467549,,,,
5,2322291200.0,2322291200.0,2286694100.0,2257126100.0,2230383900.0,2205565200.0,2160122600.0,2118764300.0,2080468500.0,2044636700.0,2010848600.0,1919016800.0,0.0326354410418092,0.0321703069755593,0.0323894231298918,0.0331187302277764,0.0338037976192447,0.0349897572498379,0.0343988286964902,0.0342379508990891,0.0353022793922659,0.0363250073585774,0.0364781325039471,0.033092282853594,0.03281072299548951,0.03245186912111225,2322291200.0,0.032256058858236514,0.03193473085243877,0.031660953585116114,,,
8,1710828900.0,1710828900.0,1685649700.0,1663970700.0,1644312700.0,1626236900.0,1593635000.0,1564428700.0,1537720300.0,1512967200.0,1489745500.0,1426935300.0,0.0239264469140614,0.0241349553395968,0.0237490247739274,0.0242750889127057,0.0250798281575547,0.0248511108454805,0.0256446714035167,0.0259923950510519,0.02606925343687,0.0270912748954614,0.0276750608461828,0.023931671787997266,0.02422865414573533,0.024544155526122435,1663970700.0,0.023964797877745414,0.02310770867058687,0.023487073576842654,0.023763506694245456,,
11,1497774700.0,1497774700.0,1482959700.0,1469706200.0,1457265200.0,1445422800.0,1423108700.0,1402218900.0,1382466300.0,1363659000.0,1345669200.0,1295632800.0,0.0304620654114157,0.030076949627379,0.0305083514007568,0.0310242084100881,0.0315192653990074,0.0324638726858205,0.0322745902615532,0.0319430715755192,0.0327696577959945,0.0335721482384098,0.033889005169527,0.030909915083467243,0.031219029196308035,0.031024208410088155,1497774700.0,0.030508351400756806,0.030076949627379057,0.029523039978972418,,,
14,349931100.0,349931100.0,341786400.0,335021000.0,328951700.0,323375680.0,313304260.0,304292380.0,296070600.0,288480740.0,281416500.0,262624500.0,0.0179669535482434,0.0174376844032485,0.0184645732154649,0.0194081911216008,0.0202947072820541,0.0219341238360512,0.0219871234544736,0.0209198789409211,0.0219308746033323,0.02320265113821,0.0243787642538281,0.019156756664662877,0.018864110134978462,0.018488123287287064,349931100.0,0.018001784972570045,0.017437684403248527,0.016949373362182163,,,
18,71461464.0,71461464.0,69053304.0,67404600.0,66023972.0,64812644.0,62725124.0,60939372.0,59363720.0,57945804.0,56651910.0,53318296.0,0.0160943831704163,0.0179941606992961,0.018595347323713,0.0179853982978368,0.0186499696700781,0.0204367662254465,0.0200856138224249,0.0210861721027063,0.0223955817934104,0.021945672887055,0.0237929259490702,0.017048601394850996,0.01605150464441303,0.016615337132522057,71461464.0,0.015424358463078089,0.015092399701545703,,,,
21,27906646.0,27906646.0,26612398.0,25782982.0,25108570.0,24529492.0,23555340.0,22744016.0,22043198.0,21423138.0,20864762.0,19441684.0,0.014981785531745,0.0157893916784445,0.0148328972541609,0.0158824136822923,0.0171309922616411,0.0189850616748628,0.0178628128395074,0.0190889419719443,0.0205837867009044,0.0212713556411776,0.0226715232337939,0.015418031638298607,0.014415073548304028,0.014171994366056095,27906646.0,0.01423009639399074,0.012850025480081906,0.011664601955320875,0.011246214687153921,,
24,23329316.0,23329316.0,22203280.0,21338630.0,20591980.0,19924782.0,18759046.0,17756302.0,16873080.0,16082751.0,15367726.0,13563725.0,0.0080312871357876,0.0093231261679042,0.0104006086847405,0.0113953424776435,0.0123664006215838,0.0142799947091925,0.013650220145023,0.0124613500621522,0.013726153016942,0.0149659389994522,0.0186144186319626,0.00880651247786391,0.009124664492792117,0.008561758033319676,23329316.0,0.007583243596744518,0.007181350280957122,,,,
27,11405998.0,11405998.0,10791632.0,10317304.0,9908300.0,9543398.0,8907322.0,8362116.5,7883323.0,7456447.5,7071602.5,6105964.5,0.0131898860033867,0.0121058938243656,0.0100861547533456,0.0097553853032118,0.0107770612555463,0.0127292302264654,0.014605552558327,0.0158210025509511,0.0167976149267545,0.0177392861536158,0.0143306197888519,0.010167400960994555,0.010079218103793974,0.009823019404250899,9543398.0,0.009381482638365135,0.00975538530321185,0.010086154753345677,0.010925677250121002,0.01121753645968171,
31,292776.03,292776.03,264893.1,249002.36,236098.77,225016.03,206458.58,191165.11,178136.89,166811.2,156827.1,132671.14,0.032418821086228,0.0322181205295862,0.0320914910201692,0.0319809262387469,0.0318797874223206,0.031696990386233,0.0315311827212753,0.0313770850498065,0.031232183161485,0.0310948195386674,0.0312181426270528,0.02430602334059012,0.024323262396964584,0.024323262396964584,139922.94,0.024323262396964584,0.024323262396964584,0.024323262396964584,0.024323262396964584,0.024323262396964584,0.024323262396964584
