band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,930443900.0,845069500.0,1021508700.0,11.47339,9.685302,14.099253,100000.0,0.0235667659348154,0.1,0.0,0.0001307353026965,0.0,930443904.0,0.0042930146183294,0.0216264102846754,0.13,-0.4,6.042405072117496,0.0,3952,8541.12,0.0922634,0.0,7613.32,0.0681223,0.0,5764.06,0.0647869,0.0,4.6407471e-41
5,2322291200.0,2175008500.0,2474092000.0,4.3206534,3.779683,4.9022546,100000.0,0.0321703069755593,0.2,-0.1,41246.2868686868,25.0,2322291200.0,0.0042930146183294,0.0316609535851161,0.2,-0.12,44359.71990451942,0.0,1756,26246.0,0.0751648,0.0,22129.2,0.0513683,9.063699999999999e-230,17659.4,0.0550986,2.608479999999999e-264,1.5991978999999991e-87
8,1710828900.0,1607269200.0,1818124000.0,3.8187666,3.3012068,4.360001,100000.0,0.0237490247739274,0.2,0.5,6926.284915084915,50.0,1663970688.0,0.0042930146183294,0.0231077086705868,0.22,0.3,50261.52012245487,50.0,3514,26249.1,0.0570904,9.534809999999998e-284,22419.9,0.0321548,2.918449999999998e-90,18239.6,0.0372367,6.565629999999997e-121,8.1137532e-47
11,1497774700.0,1413093400.0,1583779700.0,2.941873,2.6388707,3.2598505,100000.0,0.030076949627379,0.2,0.1,15603.53265993266,25.0,1497774720.0,0.0042930146183294,0.0295230399789724,0.21,0.0,44601.60072074512,0.0,2221,22255.8,0.0736999,0.0,19093.4,0.0477848,7.151239999999997e-199,15225.2,0.0509431,5.50086e-226,3.7230976999999996e-76
14,349931100.0,320875100.0,380205980.0,8.869143,7.77424,10.038318,100000.0,0.0174376844032485,0.2,-0.5,22604.92063492064,25.0,349931104.0,0.0042930146183294,0.0169493733621821,0.2,-0.51,24026.21802270681,0.0,6250,7788.13,0.0789047,0.0,6734.3,0.0528378,4.3656099999999993e-243,5267.44,0.054007,5.960249999999999e-254,2.1960966e-25
18,71461464.0,65520340.0,77886690.0,9.265934,7.0923877,12.3808565,100000.0,0.0160943831704163,0.2,-0.2,1728.8824232527013,0.0,71461464.0,0.0042930146183294,0.0150923997015457,0.25,-0.5,85073.17142857143,0.0,7908,4381.13,0.0663672,0.0,3787.3,0.0401135,2.9899899999999983e-140,2975.28,0.0419487,2.4230499999999985e-153,3.2429259000000005e-20
21,27906646.0,25143122.0,30957916.0,14.160641,10.133566,20.46576,100000.0,0.0148328972541609,0.2,-0.4,1190.8397006502269,50.0,27906646.0,0.0042930146183294,0.0112462146871539,0.26,-0.7,96183.77762674888,0.0,14062,2335.83,0.0711422,0.0,2013.3,0.0455905,4.6673999999999973e-181,1570.67,0.0470097,1.7496499999999996e-192,2.0502499e-11
24,23329316.0,20412690.0,26494324.0,23.594398,19.808994,27.871244,100000.0,0.0080312871357876,0.2,-1.0,16573.16265956266,0.0,23329316.0,0.0042930146183294,0.0071813502809571,0.2,-0.98,14660.08076062425,0.0,37500,1039.99,0.0910005,0.0,905.433,0.0670743,0.0,684.459,0.0658424,0.0,6.5984274e-05
27,11405998.0,9829746.0,13106394.0,29.102272,24.46829,34.38019,100000.0,0.0097553853032118,0.2,-1.1,13761.527777777776,75.0,9543398.0,0.0042930146183294,0.0093814826383651,0.2,-1.09,12335.238750067378,100.0,21093,482.021,0.0919663,0.0,421.646,0.0690705,0.0,313.927,0.0671278,0.0,4.5033653e-08
31,292776.03,242245.08,357995.28,55.06783,33.236103,140.55667,100000.0,0.0310948195386674,0.2,-1.1,217.81540798611107,350.0,139922.9375,0.0042930146183294,0.0243060233405901,0.4,-1.26,94817.17838376564,450.0,3125,76.8922,0.0883051,0.0,67.3477,0.0658362,0.0,49.5571,0.0640453,0.0,9.389165099999999e-52
