band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,100000.0,0.1,0.0,0.0235667659348154,0.0,0.13,-0.4,6.042405072117496,0.02162641028467549,0.0,3952
5,100000.0,0.2,-0.1,0.0321703069755593,25.0,0.2,-0.12,44359.71990451942,0.031660953585116114,0.0,1756
8,100000.0,0.2,0.5,0.0237490247739274,50.0,0.22,0.3,50261.52012245487,0.02310770867058687,50.0,3514
11,100000.0,0.2,0.1,0.030076949627379,25.0,0.21,0.0,44601.60072074512,0.029523039978972418,0.0,2221
14,100000.0,0.2,-0.5,0.0174376844032485,25.0,0.2,-0.51,24026.218022706806,0.016949373362182163,0.0,6250
18,100000.0,0.2,-0.2,0.0160943831704163,0.0,0.25,-0.5,85073.17142857143,0.015092399701545703,0.0,7908
21,100000.0,0.2,-0.4,0.0148328972541609,50.0,0.26,-0.7,96183.77762674887,0.011246214687153921,0.0,14062
24,100000.0,0.2,-1.0,0.0080312871357876,0.0,0.2,-0.98,14660.08076062425,0.007181350280957122,0.0,37500
27,100000.0,0.2,-1.1,0.0097553853032118,75.0,0.2,-1.09,12335.238750067378,0.009381482638365135,100.0,21093
31,100000.0,0.2,-1.1,0.0310948195386674,350.0,0.4,-1.26,94817.17838376565,0.02430602334059012,450.0,3125
