band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,685345300.0,600102800.0,777057660.0,22.934788,19.235014,27.796648,57630782.0,0.011948972178802253,0.1,-0.3,0.0005102990863961897,25.0,653150100.0,0.000178894519695685
5,1722705000.0,1591182800.0,1859326200.0,7.157872,6.275865,8.109446,57630782.0,0.03453169706232195,0.2,-0.5,94153.12592592592,350.0,1423595300.0,0.000178894519695685
8,1587770500.0,1481832700.0,1696844200.0,4.967281,4.376217,5.5812244,57630782.0,0.025074389105430472,0.2,-0.1,28639.43896103891,0.0,1587770500.0,0.000178894519695685
11,1426515700.0,1339538600.0,1514951400.0,3.7511883,3.390669,4.1296124,57630782.0,0.029120590579517422,0.2,-0.2,34511.998536310595,0.0,1426515700.0,0.000178894519695685
14,412175840.0,378302180.0,447193000.0,8.583132,7.6269264,9.593696,57630782.0,0.019473524586730684,0.2,-0.6,39342.33991193991,25.0,403486430.0,0.000178894519695685
18,86717760.0,79598650.0,94353630.0,8.918146,7.10315,11.227145,57630782.0,0.01974950907805119,0.2,-0.3,2867.6507936507896,0.0,86717760.0,0.000178894519695685
21,33455996.0,30343294.0,36849320.0,12.01246,8.990017,16.473372,57630782.0,0.01855320947197664,0.2,-0.5,2212.698148148148,0.0,33455996.0,0.000178894519695685
24,16420737.0,14200010.0,18883574.0,28.807974,22.504501,36.28196,57630782.0,0.006944990748442126,0.2,-0.9,6516.165476190474,0.0,16420737.0,0.000178894519695685
27,7189806.5,6030759.5,8472875.0,41.60532,32.73219,52.25507,57630782.0,0.009570511687468919,0.2,-1.0,3162.668797868798,250.0,4451950.5,0.000178894519695685
31,202667.61,162226.9,261127.5,83.1609,41.32188,242.0854,57630782.0,0.026484653416207815,0.3,-1.2,10428.289397095834,350.0,96571.47,0.000178894519695685
