band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,0.0063308721512643,0.0063308721512643,0.0059181721145149,0.0057376493790155,0.0056057702685186,0.0054949063257531,0.005308200657259,0.0051499640655349,0.0050116997224469,0.0048873938789884,0.0047742788254526,0.0044827316893544,0.0015756005262785,0.0040364562830643,0.0044600388993857,0.0048187072489812,0.0051381256258377,0.003645239301887,0.0048793390348976,0.0057733168954258,0.0062137051236132,0.0072792586229413,0.0087320606193534,0.003109921965430411,0.003269793200270432,0.00252866255387605,0.002344805342479883,0.0015756005262785866,,,,,
3,0.0037856469768739,0.0037856469768739,0.0033943875949495,0.0032667273678625,0.0031690763430332,0.0030867494071687,0.002949709379164,0.0028383809536971,0.0027448030664962,0.0026640960163753,0.002591807555673,0.0024071314999107,0.0033769732863462,0.0035786671206708,0.0047717757282024,0.0043002148565499,0.0042365544358116,0.0040472254677785,0.0053360317979038,0.0052198370634347,0.0058318227704518,0.0066114558267082,0.0080620715303387,0.003015467789679784,0.0024644625024988695,0.0019378450688438686,0.001327756307557399,0.0021682375421023803,0.003394387594949548,,,,
5,2.128756606621668,2.128756606621668,2.0784765972554893,2.036862555533208,1.9991705241211168,1.964156943673045,1.9001134304697795,1.8424966131195784,1.7897222611272308,1.7407917701176776,1.695001277748207,1.5732103187122366,0.0162589525099341,0.0167815436594769,0.017557859346587,0.0182715867709782,0.0189436179173176,0.0201976895680314,0.0195458656883955,0.018223840305193,0.0169581076592786,0.016631290277787,0.0193634812384493,0.014396714013395914,0.013986255380248336,0.013817008951481545,0.013644557460999573,0.013492473756431589,2.1287566066216677,,,,
6,1.5857533614804338,1.5857533614804338,1.5523046401155676,1.5228869628381416,1.4957170107145554,1.4703728082985128,1.4236406690805834,1.38087659637988,1.3414368930320395,1.3048566477731325,1.2705639102038688,1.178804509077788,0.0144269926809362,0.0145451216093027,0.0135739246769851,0.0126664935873066,0.0122417619363748,0.0134967600039692,0.0147231977435316,0.0158772140392234,0.0169800660429582,0.0164893150420868,0.0147746056965539,0.01150802326185732,0.011269608114116259,0.012052560114834132,0.01278207307583501,0.012241761936374843,1.5857533614804338,0.012147632174672796,0.011454695071262837,0.011334162613297644,0.010499292810674125
8,0.1930766979753021,0.1930766979753021,0.1786208162424355,0.1694792066046854,0.1623244288617507,0.1563775006578136,0.1467638662613978,0.1391008498418871,0.1326946038826443,0.1271769708123556,0.1223349162631343,0.1105609531913653,0.0103351189610355,0.0063978386459392,0.0039565934077917,0.0063534836655986,0.0066420513509733,0.0054551688855697,0.0059363518767726,0.0084094513669139,0.0075204572937217,0.0055360900577972,0.0091932526202241,0.003922361573668334,0.0031721476493016126,0.0032134310969235136,0.002929520851591927,0.002368253709951973,0.19307669797530216,0.0024709857391877477,0.00210960461555576,,
9,0.0378156786532093,0.0378156786532093,0.0352807719511267,0.0340618668552383,0.0331373074719273,0.0323669732603157,0.0311028041624787,0.0300592344293268,0.0291562299511724,0.0283519755726217,0.0276241709489691,0.0257599715894005,0.0074198626393805,0.0049828942123825,0.005446153897974,0.005829113861151,0.0061801803005102,0.0062656025782636,0.006304210658611,0.0076241704162727,0.0085651713252916,0.0081588038657689,0.0099395235449402,0.004724085642792149,0.004434008941374301,0.004450959243018637,0.0039186435357334015,0.0044921492056932966,0.037815678653209346,0.0032018373816724566,,,
11,0.0166032489332338,0.0166032489332338,0.0148734498535346,0.0139014400908074,0.0131480003868578,0.0125208986349453,0.0115044074975337,0.0106925027670104,0.0100162353854577,0.0094367967677123,0.0089327610598945,0.0077329676165057,0.0103434789464446,0.0110739589723474,0.0134919210601367,0.0108986606195542,0.0086573280294302,0.0074149849309885,0.0098182020789563,0.0122147380451077,0.014178728010155,0.0146448370858647,0.0160430855859365,0.007700391252008415,0.007192684116073433,0.007529927106506573,0.007053391045504953,0.006580785221715846,0.013901440090807413,0.006653182325261825,0.005800983958151061,0.005587078747395745,0.005471309278126335
12,0.0096943158008759,0.0096943158008759,0.008509341094612,0.0078487675019186,0.0073397613105328,0.006917080760549,0.0062339990460314,0.0056927059659624,0.005244345955713,0.0048630423174473,0.0045332091451711,0.0037583197004505,0.0094595832506849,0.0072315081357541,0.0095043895221809,0.0071920495587326,0.0059102074804054,0.007240407238075,0.007928996676024,0.0086533120912721,0.0098385427745411,0.0101305758852123,0.0100163299847569,0.006907748861618379,0.007081803048117563,0.006489901951374732,0.005887144645468629,0.0058260527508176025,0.009694315800875913,0.005381916443523399,0.004905612222664946,0.005072560503467709,0.004691533255815616
14,0.0005655224950827,0.0005655224950827,0.0004808046698492,0.0004438141937073,0.0004156042136702,0.0003923616915356,0.0003548516642887,0.0003251314508821,0.0003004615053026,0.0002795027440028,0.0002613253591113,0.0002184498261301,0.0131069436940133,0.0126290498334689,0.0091429339093532,0.0113344533541838,0.0116658085150275,0.0060485631441467,0.0090506935790027,0.0075043749707111,0.0085004401561098,0.0088760898703937,0.0094975864146156,0.007455154437758349,0.006830383643584653,0.006625566479234384,0.006369206370457842,0.006048563144146757,,0.00671508605583393,0.007054972128161308,0.006987349598846282,0.009142933909353279
16,0.0001281060331724,0.0001281060331724,9.140592527617672e-05,7.659366094149841e-05,6.666179598716728e-05,5.921132303463837e-05,4.847772846820522e-05,4.0985293547516937e-05,3.540800940671834e-05,3.1098151378325334e-05,2.7681846851114835e-05,2.065747964981909e-05,0.0280675591259955,0.02636598953849,0.025567231424771,0.0245900770639908,0.0187211487782222,0.0208055118786225,0.0162344390870647,0.0155018506483083,0.0133368672335451,0.0124434700009157,0.0085583974583221,0.009649769622772468,0.009065239238033658,0.00900645768563424,0.008671640639095425,0.008467320925393285,2.4903527643446268e-05,0.00808029072937735,0.007771056007479571,0.00804993921852265,0.007222540872677685
