band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,0.0063308721512643,0.0056608198616344,0.0072221086724723,20.09152587580871,8.301168578174002,54.15907889852896,99231.0,0.0015756005262785,0.5,-0.9,0.0023980576330546,0.0,0.0063308721512643,0.004309610576556604,0.0015756005262785,0.5,-0.9,0.0023980576330546,0.0,753531
3,0.0037856469768739,0.0032448082636421,0.0045910684863098,45.82436256830811,12.004292908600048,112.15152483342482,110499.0,0.0033769732863462,0.2,-0.2,9.158696383490203e-08,0.0,0.003394387594949548,0.004084053652286608,0.001327756307557399,0.31,-0.6,4.1531964353658275e-05,25.0,1061982
5,2.128756606621668,1.9430522181064385,2.320287989004844,9.899200139457484,8.736988543858082,11.148363702953327,1094491.0,0.0162589525099341,0.4,-1.2,1.0232840138494008,0.0,2.1287566066216677,0.0012979986334043555,0.013492473756431589,0.43,-1.2,1.3559963366862826,0.0,9618
6,1.5857533614804338,1.4498614914539436,1.7255754109321135,9.456193427010442,8.451808687038719,10.508710264289643,552872.0,0.0122417619363748,0.4,-1.1,0.4424368119327376,100.0,1.5857533614804338,0.0018261954816995213,0.010499292810674125,0.4,-1.12,0.5198564341617818,0.0,17277
8,0.1930766979753021,0.1670662789923341,0.2227888766924975,29.59651522268421,20.241751175285984,40.28545599876465,3583528.0,0.0039565934077917,0.3,-0.9,0.0042233644784779,50.0,0.19307669797530216,0.000717377493380621,0.00210960461555576,0.3,-0.94,0.005634877071018572,0.0,425191
9,0.0378156786532093,0.0335692198405221,0.0432644215340354,21.922664409416907,10.518936320675472,59.6597710153308,5376893.0,0.0049828942123825,0.6,-1.1,0.0401249347803157,25.0,0.037815678653209346,0.0005856560376944711,0.0032018373816724566,0.5,-1.06,0.022857639418042405,0.0,189030
11,0.0166032489332338,0.013695436036203,0.0200705806468186,52.159590227887705,32.308095901203444,94.4412549164118,6813712.0,0.0074149849309885,0.2,-0.9,4.56524107044989e-06,150.0,0.013901440090807413,0.000520258283560039,0.005471309278126335,0.19,-0.9,2.712803682914439e-06,50.0,59886
12,0.0096943158008759,0.0077746127399407,0.0120554604689263,70.44604924366135,43.75922316669201,129.165796039686,22438943.0,0.0059102074804054,0.1,-0.4,1.0317186051686592e-14,100.0,0.009694315800875913,0.00028669417119493886,0.004691533255815616,0.07,0.0,2.317210153545446e-23,0.0,87652
14,0.0005655224950827,0.000441438524359,0.0007977662681546,135.24600863814683,42.063263729527606,480.9720127247705,12633705.0,0.0060485631441467,0.1,-0.2,1.5122278016051967e-16,150.0,0.0003548516642887,0.0003820770485604185,0.0060485631441467,0.1,-0.2,1.5122278016051967e-16,150.0,49350
16,0.0001281060331724,8.280484870052508e-05,0.0001983019852537,298.16050310547587,115.68745554161248,695.4449760359305,8261428.0,0.0085583974583221,0.1,-0.1,4.97580350323368e-18,500.0,2.4903527643446268e-05,0.0004724819317982165,0.007222540872677685,0.08,0.2,3.574105609274479e-23,400.0,36304
