band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,98098.0,0.3,-0.6,0.0031448457240738,200.0,0.23,-0.4,6.164174137323054e-06,0.0025079507363431897,150.0,279348
3,109212.0,0.2,-1.0,0.0151468712212855,0.0,0.25,-1.1,0.0061155879449271535,0.013904734339355143,50.0,9714
5,1081864.0,0.7,-1.1,0.0074334232049421,75.0,0.8,-1.15,4.588963514401154,0.004520939521587969,0.0,91381
6,546468.0,0.7,-1.2,0.0092141389213978,100.0,0.66,-1.2,2.7763799389219206,0.00855251014324443,25.0,25615
8,3541926.0,0.5,-1.1,0.0034198273313124,0.0,0.5,-1.08,0.06912219757142925,0.002019999427119723,50.0,442740
9,5314425.0,0.5,-1.1,0.0028333136541936,25.0,0.49,-1.1,0.025183391797910026,0.0018830313368827234,0.0,498226
11,6734585.0,0.1,-0.4,0.0068563558145731,25.0,0.1,-0.42,3.013946179849923e-14,0.004929629122632756,0.0,78919
12,22178309.0,0.1,-0.4,0.0045895234895645,25.0,0.1,-0.4,6.462369108975876e-15,0.0045895234895645,25.0,86634
14,12486961.0,0.1,-0.1,0.0076627796813779,250.0,0.08,0.2,3.0008469813505457e-22,0.006319331214772347,150.0,48777
16,8165465.0,0.1,-0.1,0.0090710798561778,500.0,0.1,-0.1,3.715667630469482e-18,0.007885289124325387,475.0,30274
