band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,0.0191850473674253,0.0153390280310065,0.0241930790893018,77.11108327608102,32.46223113251643,143.3001525841377,98856.0,0.0023446002966035,0.1,1.4,8.714470426200761e-18,50.0,0.0149492927909443,0.0043177736672247,0.0022907619115326,0.11,1.1,1.2062226591389863e-15,50.0,356278,0.0616268,0.0497583,3.777789999999999e-213,0.0541665,0.0229266,1.43207e-45,0.0429046,0.0241593,1.4809199999999997e-50,0.67642845
3,0.2902739898785912,0.2509235636317805,0.3334467331492849,28.41966629479426,22.64310486870769,35.21930672558565,110055.0,0.0174486085647194,0.1,-0.5,7.771955139423767e-13,50.0,0.2902739898785912,0.0040922805452607,0.0166914015098678,0.09,-0.4,6.281420478535456e-15,0.0,6878,0.0864236,0.0883804,0.0,0.0791874,0.0666539,0.0,0.0594907,0.0606718,0.0,4.5945089e-27
5,2.376845967123141,2.199405500444796,2.5598228388182864,6.72983573731997,5.871218980295729,7.655769806506746,1090100.0,0.0108254849256153,0.6,-1.1,2.564494531605489,75.0,2.376845967123141,0.0013006099139274,0.0079885625725789,0.7,-1.15,4.334767058711628,0.0,28741,0.70165,0.079624,0.0,0.601342,0.0542387,0.0,0.470954,0.0559382,0.0,7.4737805e-61
6,1.501561330909322,1.3846703154833448,1.6220583646497817,7.474615288490485,6.587993774815504,8.426250120716949,550640.0,0.0108337073947161,0.5,-1.1,1.0038508905798624,50.0,1.4455452824350017,0.0018298923356427,0.0096757828116283,0.6,-1.15,1.950408057350459,50.0,19357,0.505626,0.0816675,0.0,0.439374,0.0561036,0.0,0.339369,0.0560124,0.0,3.3142695e-45
8,0.1235896414525106,0.1084673272955137,0.1414582454535254,24.69272645732733,14.516625872377864,44.99367184451458,3568842.0,0.0025114112801521,0.4,-1.0,0.0253272101925532,0.0,0.1148002016725821,0.0007188519079682,0.0018810046355167,0.42,-1.0,0.0293714421016875,25.0,501867,0.151322,0.0686776,0.0,0.130859,0.0424358,0.0,0.102807,0.0442345,0.0,2.1509929e-11
9,0.0303229193700752,0.0268993178504166,0.0348461671231129,22.783431725513832,10.848627162769564,68.24527987866472,5354720.0,0.0052119296878206,0.7,-1.1,0.0375373070778045,200.0,0.0259796738046968,0.000586867272615,0.0043237523720033,0.6,-1.08,0.0277378508216624,100.0,94125,0.0774731,0.0700093,0.0,0.0666037,0.0444145,0.0,0.0522277,0.0463129,0.0,2.2343683999999987e-87
11,0.0178381690674039,0.0146908735876021,0.0215231076493843,52.05683222100305,33.944059471953985,89.04440353679591,6785573.0,0.0073331707407181,0.1,-0.4,2.3907066972601643e-14,25.0,0.0178381690674039,0.0005213358427224,0.0066490641625847,0.09,-0.3,1.8862040743996406e-16,0.0,39759,0.0238839,0.0856187,0.0,0.0210835,0.0613182,0.0,0.0159786,0.0590096,0.0,5.378034599999998e-261
12,0.0078107687595897,0.0061842863392785,0.0098946132188106,81.0765267632453,46.48137384475816,165.2968117843392,22346151.0,0.0095438104135868,0.1,-0.4,7.28652402005935e-15,150.0,0.0051432127838459,0.0002872887853533,0.0079924448498689,0.08,-0.1,4.981347561456879e-20,125.0,27616,0.0131104,0.0805718,0.0,0.0116678,0.0561629,0.0,0.00885969,0.0531469,0.0,0.0
14,0.0004732935650215,0.0003609573448974,0.0007009876084841,175.24980898475422,47.6271029275688,614.202211633434,12581431.0,0.0115017669410319,0.1,0.0,2.3450795052273282e-17,500.0,0.000183344276364,0.0003828699353997,0.0099213841409101,0.08,0.4,8.538693264091681e-23,425.0,18429,0.00380388,0.069197,0.0,0.00342846,0.0451498,0.0,0.00262024,0.040307,0.0,0.0
16,0.0001175686311213,7.691010975909514e-05,0.0001835070164852,299.6944203076366,109.98311353890472,753.4886327142179,8227229.0,0.016433620088109,0.1,-0.1,4.560591121629188e-18,500.0,1.580463632875582e-05,0.0004734628794272,0.0126624299191984,0.09,0.2,8.278070902924801e-21,600.0,12051,0.00114422,0.0659404,0.0,0.00102831,0.0417294,0.0,0.000792928,0.0367848,0.0,0.0
