band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.016542308909729,0.0126336751232238,0.0214510134230515,103.5427362427942,54.89843605392147,147.18118961046557,98473.0,0.004066924839963931,0.4,-0.9,0.0013621828973939263,150.0,0.009222352819158662,0.004326158976995938
3,0.1678631008271374,0.1317244970399039,0.2086847040452472,77.69928934620009,61.912070445200136,97.0184224360972,109656.0,0.011023243373011212,0.1,-0.4,7.439454058376153e-14,500.0,0.049877267191251094,0.004099716207526694
5,1.805418207475867,1.6434660136071852,1.9734673442957695,10.639767555314664,9.269359376486374,12.145156300683745,1086255.0,0.010583902593285122,0.5,-1.2,1.7555059012012122,75.0,1.6852856651531638,0.0013029094837346956
6,1.522237153819995,1.3891933446315796,1.659050194601453,9.897320039092858,8.832307766977388,11.013223447259872,548700.0,0.010730828428692274,0.5,-1.2,1.551118669698982,25.0,1.4890739229110228,0.0018331238555762059
8,0.1893492897532852,0.1637761283149694,0.2185491497074982,29.69776708376888,20.25865376690976,40.64924874969317,3556612.0,0.0040510150866418515,0.5,-1.1,0.09473169787333686,200.0,0.13641364493760505,0.0007200867125983237
9,0.0461597187352596,0.0410170834340645,0.052374503796786,20.315264737743533,11.21498611452944,46.29819529045536,5336598.0,0.0034483654060425972,0.5,-1.1,0.03205536023281923,0.0,0.04615971873525968,0.0005878628160670166
11,0.0164171768394844,0.0135387401950686,0.0198820596977786,52.739324379623774,32.215676914613745,100.2600131342309,6762724.0,0.006609872888869148,0.2,-0.9,4.907901647935369e-06,100.0,0.012367912152797134,0.0005222157689152228
12,0.0069256422651946,0.0054887932069936,0.0088564821977443,84.10317521058039,44.06063501187937,193.0987120806632,22271101.0,0.004749220682636723,0.1,-0.4,8.905522728632114e-15,25.0,0.005970641570312991,0.0002877724239755132
14,0.0004421667913678,0.0003449021185641,0.000612027767145,126.15267926892258,41.82043864236914,427.66415982263936,12539235.0,0.0031554130253352766,0.1,-0.3,2.9234779466329953e-16,25.0,0.0003741864145214418,0.0003835135732131632
16,9.953511140188423e-05,6.30404330254011e-05,0.0001594560165611,343.486871934054,118.17457794053205,840.1647236767491,8199664.0,0.0076120747385119425,0.1,-0.3,1.8736174918372956e-17,300.0,2.3981101422800168e-05,0.0004742580031696039
