band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,361233355611592.56,361233355611592.56,246908695194025.1,202981707639892.53,174615123075678.72,151977969400712.56,117927772374653.56,93894343451824.95,74347104316354.27,57672999237750.414,43011269055460.086,14693782827068.229,0.0120968144766919,0.0338057656705063,0.056192787726867,0.0732036200699269,0.0885601800587997,0.115365462687502,0.1373416735368789,0.1601527252703474,0.1841893704473597,0.2097764048274385,0.2944025166204432,0.09200407818873502,0.07710854911871567,0.06058049599590687,0.03870521222584203,0.011614939392887602,361233355611592.56,,,,
5,480811286467398.9,480811286467398.9,331806249458882.06,268106940145862.25,230752092601331.75,206442473776873.25,175901318227697.2,156772055646257.0,144546307659062.4,135294380101183.95,127501807802638.64,110017392361552.44,0.0158716540622653,0.0158716540622653,0.0139304220105481,0.0091162628257561,0.0087278784182068,0.0116134764600172,0.0167830518047797,0.019246805428389,0.0218452419479109,0.025406908657233,0.0377915708973239,0.015168782368524036,0.013428977120711116,0.011570030140520826,0.009820508252133209,0.00872787841820688,,0.009052318075217516,0.012497742224921171,0.012497742224921171,0.012497742224921171
8,81475233569011.16,81475233569011.16,53035458734707.27,47955527780132.25,45267046264497.84,43285345593591.56,40448093231486.15,38444984935979.56,36891451046391.18,35581487718044.19,34439961885987.05,31697185475328.453,0.0050205485929749,0.0050205485929749,0.0050205485929749,0.0050205485929749,0.0051789540874356,0.0066246708397172,0.0080696615712979,0.010095614075829,0.0122582784500458,0.0143195954141249,0.0219859668567846,0.005018904807572611,0.0050205485929749605,0.0050205485929749605,0.0050205485929749605,0.0050205485929749605,43285345593591.555,,,,
11,10780845883062.229,10780845883062.229,8319761756448.47,7788032820358.863,7514142963193.691,7329490485258.909,7058556925758.606,6858213182465.599,6701625225597.196,6571070868384.518,6456625816346.75,6178011187704.195,0.0126362216504341,0.0096800348904408,0.0061291007982631,0.0042086395079365,0.0029089279856511,0.0034563324554191,0.0052858442731566,0.0077429301557396,0.0099931213213371,0.0120017883199711,0.0170387482287212,0.006188822599896948,0.005039058525501461,0.0037502412315045253,0.0032006686603911483,0.002908927985651122,,0.004249229305181949,0.006192835619537818,0.009952530702494689,0.014774199485922623
14,383603997482749.7,383603997482749.7,371546835363446.3,364298052122706.4,358299718025186.94,352932357906495.6,343456363906190.44,335133947139936.6,327623761874881.44,320790623227700.25,314460594906703.94,297392243086975.6,0.0243759621021528,0.0261330242371403,0.0255655724312596,0.0265481941292388,0.0268825060246851,0.0273273848194593,0.0274250528059041,0.0285592375608607,0.0284317462906536,0.0295469781485186,0.0303107545160219,0.026267149354107427,0.025383642673281928,0.025276824416837096,0.025181514744198052,0.024375962102152857,,,,,
17,449452195163706.2,449452195163706.2,442045901353978.4,437022971705441.94,432729868673386.0,428935912880397.0,422218589342735.1,416260579081125.7,410848102465340.94,405832473561908.5,401139102918402.8,388495252284606.3,0.0036231266672276,0.0039122715862691,0.0049741747085857,0.0058881448951245,0.0067007725769422,0.0081659469598259,0.0095359265900068,0.0108594790635305,0.012107042462907,0.0126355392408539,0.0104176204416222,0.004855451697115057,0.005094676768482742,0.004392851061007869,0.004210664405734144,0.003623126667227694,,,,,
20,18674335650809.61,18674335650809.61,18265143135116.45,18024461439301.105,17825481595841.863,17649712723263.027,17341594824267.855,17071273046885.572,16827321430201.355,16603914618633.03,16396298362651.031,15844650571638.771,0.0014603958251125,0.001361278110737,0.001077385081456,0.0014253878547901,0.001910581797445,0.0028769500845054,0.0037607728374605,0.0045912809301311,0.0053743481255738,0.0061014270014795,0.0081418171992165,0.003451581090528316,0.0025613399719370267,0.0019199854059457136,0.0014253878547901867,0.0010533183464804165,18265143135116.45,0.0009027840014087518,0.001725534025597164,,
23,5018693864910.515,5018693864910.515,4878114192829.864,4802842908946.906,4741298599703.471,4687797109705.915,4595671347780.692,4516512862830.956,4446023557360.587,4381855004887.689,4322583231167.253,4166485959463.253,0.002271587827429,0.0010142593163454,0.0010625364608564,0.0013979490001162,0.0017561318909072,0.0026429623989743,0.0035485429844269,0.0043850749288846,0.0051752259859135,0.0059311969823791,0.0080628595867619,0.0023639421852108614,0.0019271313995291792,0.001600442858771844,0.0016339389903391455,0.0010142593163454672,,0.003809750654559907,,,
26,476402867520.0227,476402867520.0227,448700619180.68176,439288536362.0834,432074876376.3848,425984284087.3329,415684950614.40985,406936406099.92834,399202589269.4256,392223289590.3237,385819012149.09,369116044486.9743,0.0012565675275063,0.0007090427798947,0.00153621004434,0.0022098232144692,0.0028326194534495,0.0038822870616173,0.0047957327869397,0.0056590632363684,0.0064739016278023,0.0072506806928812,0.009418100513209,0.0036713014103142982,0.002905519229009647,0.002209823214469213,0.001536210044340007,0.000709042779894746,,0.002039515986373308,,,
30,47135612490.73964,47135612490.73964,45647727393.32794,44753878580.598526,44008886412.30669,43350744744.24918,42204576646.44696,41211420064.37279,40324777220.932434,39518462797.88164,38775702985.15183,36829342961.54812,0.0019368901353848,0.002715662540324,0.0033677661979845,0.0039082093521962,0.0043970039886711,0.0054430587430423,0.0062180323910889,0.007085203159181,0.0078555284073086,0.0085586208126452,0.0106553931968167,0.004397003988671183,0.0037457335150806736,0.0033677661979845397,0.002708266163277448,0.0019053320077895841,47135612490.73964,,,,
