band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,361233355611592.56,308796725965553.6,420786847279598.1,3.57605198380865,1.4463518426889483,5.8464700992081005,768.0,0.0120968144766919,0.2,14.0,100000.0,0.0,361233355611592.56,0.0487836823851768,0.0116149393928876,0.11,14.0,8.144512091769715e-06,0.0,13122.0,1000000.0,0.426182,4.101909999999998e-127,1000000.0,0.397207,8.452129999999996e-110,1000000.0,0.374204,4.5679999999999975e-97,0.99992197
5,480811286467398.9,404011176923964.6,566393882713025.8,41.12977864933679,31.35457193797695,50.88898229951936,7680.0,0.0087278784182068,0.1,8.6,1.2130677707433202e-06,100.0,206442473776873.25,0.0154752345036585,0.0087278784182068,0.1,8.6,1.2130677707433202e-06,100.0,24603.0,1000000.0,0.404048,0.0,1000000.0,0.366401,0.0,1000000.0,0.342778,0.0,0.59903
8,81475233569011.16,63137334928450.71,104430878964334.28,95.95431692831264,43.07421856511571,133.39659108184412,14592.0,0.0050205485929749,0.2,8.8,100000.0,0.0,43285345593591.56,0.0112312968059888,0.0050189048075726,0.19,8.8,26438.18003456889,100.0,73872.0,1000000.0,0.339698,0.0,1000000.0,0.29472,0.0,1000000.0,0.27069,0.0,0.85400351
11,10780845883062.229,8532221427411.752,15142063879880.418,140.3171107104479,14.350622733679478,403.7673269699226,29952.0,0.0029089279856511,0.2,16.0,1277.1142568379862,100.0,7329490485258.909,0.0078416794420502,0.0029089279856511,0.2,16.0,1277.1142568379862,100.0,227448.0,1000000.0,0.206112,0.0,1000000.0,0.164502,0.0,1000000.0,0.138559,0.0,0.96106332
14,383603997482749.7,354049238287296.06,415771260376614.4,7.763237558676421,5.767140141821334,11.667422680631262,59904.0,0.0243759621021528,0.1,1.3,0.3034792778948406,0.0,383603997482749.7,0.0055460651256572,0.0243759621021528,0.1,1.3,0.3034792778948406,0.0,3159.0,1000000.0,0.327436,0.0,1000000.0,0.286814,0.0,1000000.0,0.263095,0.0,2.3619163000000007e-31
17,449452195163706.2,426338330099320.5,473366353439575.7,2.1147800749045373,1.525195438004103,3.040700583206756,480768.0,0.0036231266672276,0.1,13.0,8.0737144146544e-08,0.0,449452195163706.2,0.0019583332007082,0.0036231266672276,0.1,13.0,8.0737144146544e-08,0.0,135216.0,1000000.0,0.431768,0.0,1000000.0,0.400483,0.0,1000000.0,0.377904,0.0,6.5803189e-06
20,18674335650809.61,17645930490411.14,19793107591288.58,2.963037638860442,1.8536116815600696,5.672338272950493,961536.0,0.001077385081456,0.2,7.1,97920.3510227649,50.0,18265143135116.45,0.0013848226074512,0.0009027840014087,0.19,7.3,24709.51843593657,25.0,2163456.0,1000000.0,0.26959,0.0,1000000.0,0.223095,0.0,1000000.0,0.1987,0.0,0.41317132
23,5018693864910.515,4709632834823.937,5382060269044.912,4.626451247630118,2.391146893889103,13.838143231011395,7692288.0,0.0010142593163454,0.1,13.0,8.762778622237113e-10,25.0,4878114192829.864,0.0004896483826868,0.0010142593163454,0.1,13.0,8.762778622237113e-10,25.0,1825416.0,1000000.0,0.139753,0.0,1000000.0,0.10242,0.0,1000000.0,0.0755651,0.0,2.6754443e-07
26,476402867520.0227,433602198876.9354,557068083802.4753,21.22976623180279,4.072834872583141,108.38909431136862,3846144.0,0.0007090427798947,0.2,2.7,70377.78706014834,25.0,448700619180.68176,0.0006924546837536,0.0007090427798947,0.2,2.7,70377.78706014834,25.0,3846144.0,535655.0,0.0258719,0.0,468636.0,0.00625495,3.941159999999998e-131,377715.0,0.00857152,7.12507e-246,0.041812141
30,47135612490.73964,43651263143.4324,51040171748.686455,7.224525739600827,4.931355861429137,13.938859292560956,7692288.0,0.0019368901353848,0.2,1.2,53801.41438409623,0.0,47135612490.73964,0.0004896483826868,0.0019053320077895,0.18,1.5,3842.761088062231,0.0,513397.0,153875.0,0.0356047,0.0,134840.0,0.00907097,0.0,110136.0,0.00805407,0.0,1.1089857e-24
