band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,389658962356691.3,333256858029898.8,453490267321245.44,3.1304083399159968,1.2645267780361868,5.272315396163952,720.0,0.0136426022227564,0.1,10.0,6.580528373396149e-07,0.0,389658962356691.3,0.05037584494300355,0.0136426022227564,0.1,10.0,6.580528373396149e-07,0.0,10377
5,761496990167822.8,670000906612883.5,859787470128777.4,21.432450568164107,17.30537303034645,26.018602573071863,7200.0,0.0117803385559726,0.1,4.1,0.0006233021559496,100.0,404900368424705.7,0.01598200647371495,0.01177824031075693,0.11,3.6,0.13655040016988124,100.0,13668
8,171512497703849.84,147244593480577.9,199240971636194.4,32.91070364467124,20.631264995263763,45.61975442286936,13680.0,0.0108459223789929,0.1,6.3,5.757224743751424e-06,200.0,88331662070520.45,0.011599242029078331,0.01079023979276894,0.09,6.6,9.360871174471094e-09,175.0,15390
11,13055439115746.805,10647533829518.63,17515363807317.465,103.15137787793152,12.537422580723762,302.943816381874,28080.0,0.0039609549066186,0.2,8.6,23115.738178890748,100.0,8994705253341.059,0.00809866167486047,0.0038113821406003017,0.21,8.9,64129.69516131834,125.0,128079
14,338218575993909.3,308425846681023.8,371183319544440.9,10.95526082739203,7.638643681516812,16.383223509330954,56160.0,0.0251681997917889,0.1,0.7,2.1014526046577635,0.0,338218575993909.3,0.005727856644934677,0.024138160804483735,0.12,0.3,9269.000337129615,0.0,3330
17,434642093363891.9,410797213942055.1,460434626393699.7,2.9536455237748545,1.9734498639040323,5.514589258751358,450720.0,0.0046263825170695,0.1,10.0,7.340199774579298e-07,0.0,434642093363891.9,0.002022546066510303,0.0046263825170695,0.1,10.0,7.340199774579298e-07,0.0,84510
20,24676501497697.24,23088770290050.207,26501893920219.85,5.081751961724034,2.628140518174314,12.359850647482263,901440.0,0.0013024060420789,0.1,12.0,8.585257604203101e-09,25.0,23909719646920.97,0.0014302327594031751,0.0013024060420789,0.1,12.0,8.585257604203101e-09,25.0,1140885
23,4747093480310.275,4388475185776.084,5596202173029.073,19.79059292695049,2.3958895526668,124.44263137306216,7211520.0,0.0010924295028468,0.2,5.7,56622.441991304,50.0,4470962377177.676,0.0005057059408510994,0.0010924295028468,0.2,5.7,56622.441991304,50.0,1521180
26,269863833581.12888,253875777045.2792,286983377058.23206,3.715270667677009,2.599551715995805,6.252197250673897,3605760.0,0.0006122196396401,0.2,3.6,17272.653516077273,0.0,269863833581.12888,0.0007151626533607517,0.00036171301589682514,0.21,3.4,57488.59460289178,0.0,13690620
30,26493068056.3572,24520281793.49218,28684850089.406605,7.249405347992617,4.950464678386155,13.765863635350009,7211520.0,0.0018597968073293,0.1,4.8,1.361547346736852e-08,0.0,25652435146.339554,0.0005057059408510994,0.0018306730185267545,0.11,4.5,2.197171474395202e-06,25.0,570442
