band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,373318977324849.4,373318977324849.4,238522787539915.5,194722566917421.0,167655050930632.7,146272184522422.25,112137812534682.14,86683495012402.7,66720803133907.21,51162601589013.1,38299505082966.28,12982419003545.793,0.0072830420275487,0.0280027724411239,0.0502405315821685,0.067305016375081,0.0829117916244145,0.1129885187815105,0.1409569428677558,0.1671481756530471,0.19070520988461,0.217889052760163,0.307460729463909,0.08752918618499589,0.07224527795981184,0.055486558181759654,0.03303424480425299,0.007283042027548786,,,,,
5,429162199351307.1,429162199351307.1,279900963332053.6,219540177832173.38,184039520038936.25,162516638835418.88,135083569741394.62,120159932761484.69,110420516440082.44,103459669906339.8,97730180712159.77,84891674395418.95,0.0198217079158327,0.0198217079158327,0.0156881175114079,0.0101529914825333,0.0091425236821025,0.0118902730045183,0.0159472958483257,0.0195321253956086,0.0233679912077557,0.0285472107485337,0.0413440838271029,0.015038963020694629,0.013152943116526372,0.011767939277969486,0.010459288692301859,0.009142523682102577,0.009967899923215229,0.011522080454571145,0.011522080454571145,0.011522080454571145,
8,76635604728887.52,76635604728887.52,51662211217519.22,44418198287323.84,40826579220830.75,38356526367115.72,35202091847845.35,33271723831349.98,31940417879506.164,30870238050122.934,29937170787329.05,27698269093702.8,0.0061649010943685,0.0061649010943685,0.0061649010943685,0.0061649010943685,0.0053927035895491,0.0065012496911622,0.0084917386925058,0.0114306308940347,0.0152090764928148,0.0186572298170065,0.0274929703801115,0.016851422405027683,0.014353814410139054,0.011344680556686915,0.007797126608357963,0.005331126607135417,0.007335683231636289,0.010562990333837938,0.01735009131327276,0.017383245361958122,38356526367115.72
11,8068738740067.918,8068738740067.918,7555433183572.401,7399579193098.378,7277330625899.709,7177122666831.913,7012852555795.752,6876045657333.762,6755778098777.543,6646610420379.258,6547135955481.191,6283433784219.491,0.0068419726841371,0.0029976350253131,0.0017092933988651,0.0023420694583858,0.0039285535692651,0.0065770493412363,0.0088293696423087,0.0108454461290479,0.012705443416487,0.014425740783572,0.0191077425482062,0.005025107000214302,0.003928517702970313,0.0027093659384280766,0.0021342235697711116,0.0017092933988651637,0.0029516569744004253,0.007169522143359121,,,
14,314504792380840.0,314504792380840.0,302771686472577.5,294945148177593.2,288706266774691.4,283168773067730.4,273556124069717.44,265264216725043.3,257759424153655.7,251011058466787.7,244869625144639.38,229026596578794.4,0.0249082189961959,0.0241479477936771,0.02549302713135,0.0264851074873194,0.0254123611648524,0.0269986118931755,0.02698466122821,0.027903505400593,0.0287723551051413,0.0285728979358678,0.0302281465483226,0.02492287397855586,0.02541236116485246,0.025563943071379575,0.024451157994037673,0.023100869080599704,0.024024948786668776,,,,302771686472577.5
17,472207336979220.25,472207336979220.25,463846758873860.8,458313628100224.3,453574993951214.8,449393098934240.0,442044699516351.7,435561014372855.75,429683190228256.94,424244436673295.2,419153844598514.1,405449765172569.1,0.0054837523380575,0.0066926881877958,0.0064039922985583,0.00735530321385,0.0069151268580774,0.0076984963389752,0.0084384949517148,0.0096939748767426,0.0108656029289629,0.0119709733678511,0.0150212771297535,0.007735869945734483,0.006891935646782518,0.006581307990975449,0.007194709295315793,0.005483752338057535,,,,,
20,25757756595588.395,25757756595588.395,25013534831830.36,24615034419089.406,24293636236786.805,24012614066561.15,23528941730414.133,23114070341388.77,22743418883770.062,22405469360114.28,22093446016822.266,21270932426678.875,0.0026772182378416,0.0015360373275746,0.0017201637798147,0.0016834720797765,0.0020644163304116,0.0030075694850549,0.0038793539778384,0.0045864611471438,0.0052448382447368,0.0059796801181183,0.0081035823817491,0.0025226043706597333,0.0021034969999247054,0.001768989762252815,0.0018337009509477031,0.0015360373275746797,0.0025391983831488107,,,,
23,6398116112108.747,6398116112108.747,6195643735592.196,6092113618854.091,6008103051273.704,5935306823289.177,5810323885729.003,5703271516920.324,5608339900068.365,5522422909199.725,5443480750183.827,5236621036880.304,0.0031575358150447,0.0018342268868485,0.0016708397475885,0.0015010652026761,0.0018241768083559,0.0024640958678899,0.0031740229264494,0.0039384805293419,0.0047479816485305,0.0055203827284517,0.0076690344220836,0.0029711395244400134,0.002633309669594939,0.002347383703709339,0.0020879532724534192,0.0015010652026761964,0.0016708397475885262,0.0033350463439945077,0.006643087619229826,,
26,702728193423.4191,702728193423.4191,670129932049.8064,656814100313.6162,646478010841.0756,637697549922.0466,622921796231.9908,610444880351.0739,599416993654.7423,589449438504.2969,580285424714.0757,556254123753.8936,0.0011664751129245,0.0008841736560157,0.0014536822903509,0.0021103517788347,0.0026945021936647,0.0037110707684314,0.004615678251459,0.0054633081841256,0.0062635307443733,0.0070345149041196,0.0092010716931867,0.003472887651037107,0.002746747790757939,0.0021103517788347986,0.0014536822903509113,0.0006828161615860459,0.0017395483561556402,,,,670129932049.8064
30,66877520074.7821,66877520074.7821,64647111749.14217,63364350490.65999,62307386915.68759,61383581668.459656,59784004041.63591,58400117024.69656,57165179002.6197,56041788460.46334,55005109621.55119,52285109607.17254,0.0018256811304238,0.0027702345329037,0.0034572832212657,0.004024132265816,0.0045270552728626,0.0055762821844285,0.0063553445810084,0.0072347490220221,0.0079237617441563,0.0087170139633891,0.0107320560543634,0.00452705527286263,0.0040241322658160356,0.003457283221265796,0.00277023453290378,0.001718116551437339,,,,,66877520074.7821
