band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,720.0,0.2,14.0,0.0072830420275487,0.0,0.2,14.0,100000.0,0.0072830420275487,0.0,35025
5,7200.0,0.1,8.9,0.0091425236821025,100.0,0.1,8.9,7.21312015795537e-07,0.0091425236821025,100.0,23064
8,13680.0,0.2,11.0,0.0053927035895491,100.0,0.19,11.0,8755.12332214398,0.005331126607135417,100.0,65736
11,28080.0,0.2,19.0,0.0017092933988651,50.0,0.2,19.0,594.0519823871188,0.0017092933988651,50.0,607210
14,56160.0,0.1,0.7,0.0241479477936771,25.0,0.12,0.3,8297.565725775396,0.023100869080599704,25.0,3510
17,450720.0,0.1,11.0,0.0054837523380575,0.0,0.1,11.0,3.568648332933998e-07,0.0054837523380575,0.0,63382
20,901440.0,0.1,12.0,0.0015360373275746,25.0,0.1,12.0,8.98160427199427e-09,0.0015360373275746,25.0,760590
23,7211520.0,0.1,13.0,0.0015010652026761,75.0,0.1,13.0,1.0792629056385732e-09,0.0015010652026761,75.0,855663
26,3605760.0,0.2,3.1,0.0008841736560157,25.0,0.19,3.4,16567.679349229493,0.0006828161615860459,25.0,4056480
30,7211520.0,0.2,1.3,0.0018256811304238,0.0,0.19,1.4,20194.02457259665,0.001718116551437339,0.0,641746
