band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
<<<<<<< HEAD
2,74.89878,60.58253,96.66982,81.446304,26.894161,243.59503,7281120.0
3,29.164696,24.40879,36.506966,59.589302,21.501167,199.60582,7281120.0
4,17.610868,13.961561,26.559898,175.80545,27.692068,671.88556,7281120.0
5,14.123198,10.813453,22.130413,221.24048,40.726257,784.5331,29124480.0
6,4.26652,3.277308,6.3586917,176.74278,42.27238,626.3392,14562240.0
7,0.9973231,0.7784917,1.4001399,131.50168,39.62189,462.6557,14562240.0
8,0.37881282,0.28586215,0.61026645,248.77643,44.356453,863.7199,14562240.0
9,0.26798713,0.18553863,0.49013162,447.445,68.90411,1361.1711,14789775.0
=======
2,74.89878,60.58253,96.66982,81.446304,26.894156,243.59506,7281120.0
3,29.1647,24.408787,36.50696,59.589275,21.501167,199.60585,7281120.0
4,17.610867,13.961561,26.559898,175.8055,27.692068,671.8859,7281120.0
5,14.123198,10.813453,22.130411,221.24048,40.726257,784.5331,29124480.0
6,4.2665195,3.2773075,6.3586917,176.74281,42.272396,626.33923,14562240.0
7,0.9973233,0.7784917,1.40014,131.50163,39.62189,462.6558,14562240.0
8,0.37881282,0.28586215,0.61026657,248.77643,44.356453,863.7198,14562240.0
9,0.26798716,0.18553863,0.49013156,447.4449,68.904106,1361.171,14789775.0
>>>>>>> 21ab75d8c4900a2efcd03ce649109a57c7650f1a
