band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,400183110841747.1,343155034589207.2,466230812211785.3,8.374412482891374,4.7371622034681575,11.637277528953955,2880.0,0.0376112716545682,0.1,9.6,9.501289554852926e-07,0.0,400183110841747.1,0.0252480482623505,0.0376112716545682,0.1,9.6,9.501289554852926e-07,0.0,1366,1000000.0,0.463271,0.0,1000000.0,0.4278,0.0,1000000.0,0.404357,0.0,0.00056312319
5,945664078461412.2,824314000908290.8,1077068461684415.0,21.406432812100512,18.21800870485043,24.826737904289285,8640.0,0.0247454168513997,0.1,5.1,0.0001250005964643,100.0,329505386284141.75,0.014591379330558,0.0243168555814947,0.12,5.1,0.6085140393600093,125.0,3240,1000000.0,0.427773,0.0,1000000.0,0.390553,0.0,1000000.0,0.367104,0.0,7.1774977e-05
8,193360740671751.88,166521240136701.16,223119115899712.1,30.021908443662767,21.78560123019676,39.655766127896655,24480.0,0.0183686745806378,0.1,8.0,8.324471196300414e-07,250.0,78845444766077.86,0.0086732787358375,0.0183686745806378,0.1,8.0,8.324471196300414e-07,250.0,5512,1000000.0,0.365776,0.0,1000000.0,0.320709,0.0,1000000.0,0.296621,0.0,1.321016e-07
11,14345485181909.355,11610383104555.775,18921184477195.95,97.99814414614228,13.797225750745996,269.2456112361788,67680.0,0.004280906635024,0.2,8.1,31306.8121192806,150.0,9596672324696.951,0.0052178990254114,0.0042442877396602,0.21,8.2,94176.73173378973,175.0,101520,1000000.0,0.222367,0.0,1000000.0,0.178273,0.0,1000000.0,0.153217,0.0,0.17399719
14,265196808520432.28,238295860620904.62,295318586684614.2,15.60756248341729,10.288634351651044,23.901439649439205,100000.0,0.4396769860689583,0.1,0.4,5.104856127390389,100.0,243099076326729.5,0.0042930146183294,0.4396769860689583,0.1,0.4,5.104856127390389,100.0,-1,1000000.0,0.6615,0.0,1000000.0,0.616361,0.0,1000000.0,0.591579,0.0,0.0
17,295406105999192.4,279351567367218.1,312982832119204.1,2.845135105841134,1.622553541335901,6.98659381217655,100000.0,0.026861069788521,0.2,14.0,84248.32871691942,350.0,273028763914249.6,0.0042930146183294,0.0256415243994161,0.17,14.0,692.4600642944034,250.0,2812,1000000.0,0.441776,0.0,1000000.0,0.407657,0.0,1000000.0,0.384663,0.0,1.5021801999999998e-57
20,54503531914767.984,50152386607665.65,60685624325087.234,10.791889631789122,3.758169782359169,43.04420372951917,100000.0,0.0173615288774213,0.1,14.0,4.651802662488361e-09,150.0,49033806182139.65,0.0042930146183294,0.0170818869687054,0.1,14.0,4.6088557986245596e-09,175.0,6250,1000000.0,0.352567,0.0,1000000.0,0.307068,0.0,1000000.0,0.282999,0.0,8.9097231e-26
23,10585992784056.54,10007952018668.592,11241100926565.44,3.116212791352109,1.8117499511595123,8.640072233158522,100000.0,0.0020037618301408,0.1,13.0,1.901610081199719e-09,0.0,10585992784056.54,0.0042930146183294,0.0020037618301408,0.1,13.0,1.901610081199719e-09,0.0,480540,1000000.0,0.216509,0.0,1000000.0,0.172218,0.0,1000000.0,0.147241,0.0,0.81607202
26,2922160721669.784,2731516207540.7617,3139130599437.8887,5.226005893246564,3.1117653364687485,13.530243568277612,100000.0,0.0023152027163881,0.1,7.1,7.96906886231144e-08,0.0,2922160721669.784,0.0042930146183294,0.0023152027163881,0.1,7.1,7.96906886231144e-08,0.0,337500,1000000.0,0.0714049,0.0,1000000.0,0.0307632,1.1856699999999995e-82,962538.0,0.00966526,1.52743e-08,0.65640417
29,63717506363.97226,59406659607.046326,68459416016.46041,5.314075928077125,3.608492041452336,12.54991916027789,100000.0,0.003084942622909,0.2,1.8,29838.47184306376,0.0,63717506363.97226,0.0042930146183294,0.003084942622909,0.2,1.8,29838.47184306376,0.0,189843,189443.0,0.0332054,3.1452099999999983e-96,165587.0,0.00626419,0.000777758,136566.0,0.00723631,5.63115e-05,0.29653786
