band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,0.042634167,0.03849313,0.046925314,0.2585659,-0.094795756,0.6505477,1544.0,0.0146309028414917,9.0,1.4,0.0578793406176404,0.0,0.042634167,0.03445283381569701,0.0146309028414917,9.0,1.4,0.0578793406176404,0.0,8793
5,0.04408071,0.042167287,0.04599743,-0.012097597,-0.15629561,0.14105737,6948.0,0.0096451393555622,20.0,20.0,0.0450250803247707,0.0,0.04408071,0.01626882364615917,0.0096451393555622,20.0,20.0,0.0450250803247707,0.0,19783
8,0.043879498,0.04186609,0.04590696,-0.06482196,-0.18496819,0.061279472,6176.0,0.0128526118025358,7.4,1.2,0.0603701316083225,0.0,0.043879498,0.01725412319111066,0.0128526118025358,7.4,1.2,0.0603701316083225,0.0,11724
11,0.04252561,0.040287446,0.04479884,-0.031808615,-0.19345067,0.15081906,4632.0,0.0078526690535986,5.0,18.0,0.0330793651264767,0.0,0.04252561,0.019918432173380688,0.0078526690535986,5.0,18.0,0.0330793651264767,0.0,29676
14,0.042739898,0.041162577,0.044312317,0.069702625,-0.06969812,0.22657305,10036.0,0.0051925959131219,19.0,15.0,0.0444969452211717,0.0,0.042739898,0.013539883237372013,0.0051925959131219,19.0,15.0,0.0444969452211717,0.0,72337
17,0.043005385,0.041444935,0.044570133,-0.010769844,-0.12482242,0.10763927,10036.0,0.0057548367019309,20.0,20.0,0.0439267192350777,0.0,0.043005385,0.013539883237372013,0.0057548367019309,20.0,20.0,0.0439267192350777,0.0,57156
20,0.041771967,0.040289104,0.04330341,-0.044644833,-0.15162332,0.065918714,12352.0,0.0137499779725578,20.0,20.0,0.0426668773190543,0.0,0.041771967,0.01220618160961277,0.0137499779725578,20.0,20.0,0.0426668773190543,0.0,9264
23,0.04119349,0.039726634,0.042691864,-0.060322285,-0.17217101,0.057891216,17756.0,0.0059731888257371,20.0,20.0,0.0420760061979863,0.0,0.04119349,0.010182548355019496,0.0059731888257371,20.0,20.0,0.0420760061979863,0.0,50562
26,0.04167278,0.04017216,0.04321712,0.024414778,-0.09599313,0.1553297,25476.0,0.0092310817413255,20.0,20.0,0.0425655665362407,0.0,0.04167278,0.008502177754220344,0.0092310817413255,20.0,20.0,0.0425655665362407,0.0,21495
29,0.042843882,0.04130837,0.04441479,-0.01756668,-0.13875684,0.11761901,22388.0,0.0041210836042657,20.0,20.0,0.0437617567424084,0.0,0.042843882,0.009069130392163064,0.0041210836042657,20.0,20.0,0.0437617567424084,0.0,113338
32,0.042153094,0.040623397,0.04371503,0.018659592,-0.10465528,0.15361518,13124.0,0.0036797570371128,17.0,9.0,0.0457201579571357,0.0,0.042153094,0.011842131243192514,0.0036797570371128,17.0,9.0,0.0457201579571357,0.0,141892
35,0.042077452,0.040226165,0.043966524,0.047956944,-0.090923406,0.20017983,6948.0,0.0114458884449345,8.9,3.1,0.0506395680126089,0.0,0.042077452,0.01626882364615917,0.0114458884449345,8.9,3.1,0.0506395680126089,0.0,14836
