band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0,0.3,0.2,100000.0,0.0140124033902651,0.0063984224173442,0.36,47.55045433801434,0.1510431259271858,0.295,0.11,100000.0,0.010110258465141,0.295,0.11,0.010110258465141,18984,5228.25,0.0459898,3.7918199999999984e-83,4618.87,0.0200047,4.48717e-16,3666.45,0.017295,4.01665e-12,0.00020077692
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0,0.3,-0.14,100000.0,0.0093474925322786,0.0039690102483117,0.36,47.55045433801434,0.0842256262012071,0.3,-0.142,100000.0,0.0089347025656411,0.3,-0.142,0.0089347025656411,21937,3625.82,0.0428075,9.710739999999996e-187,3210.7,0.0185558,2.0035000000000003e-35,2556.89,0.0125881,1.56077e-16,1.5335886e-08
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0,0.35,0.0,100000.0,0.0097541042282226,0.0031230403979095,0.35,100000.0,0.0097541042282226,0.343,-0.04,100000.0,0.0078213674534998,0.343,-0.04,0.0078213674534998,29898,2415.73,0.0376717,1.75126e-233,2142.53,0.014049,7.833270000000001e-33,1699.58,0.00867424,8.83646e-13,1.8036356e-10
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0,0.38,0.0,100000.0,0.0062226552426212,0.0019299803152697,0.38,100000.0,0.0062226552426212,0.375,-0.05,100000.0,0.0059194408885765,0.375,-0.05,0.0059194408885765,52204,1768.99,0.0339408,0.0,1566.51,0.0109738,3.31042e-52,1254.99,0.00589581,2.25866e-15,1.7131608e-15
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0,0.43,0.0,100000.0,0.0059252574193738,0.0012751894232635,0.43,100000.0,0.0059252574193738,0.42,-0.05,100000.0,0.0048691632398986,0.42,-0.05,0.0048691632398986,79734,1255.23,0.032912,0.0,1105.25,0.00882329,4.14335e-77,896.809,0.00565886,5.723740000000001e-32,8.850701900000001e-24
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0,0.47,-0.1,100000.0,0.005948929026249,0.0008464353782179,0.49,314.10838673549176,0.0074564706954324,0.461,-0.16,100000.0,0.0049404341322968,0.461,-0.16,0.0049404341322968,76350,898.748,0.0344829,0.0,790.984,0.00940295,4.2033999999999986e-198,640.072,0.00674281,4.463819999999997e-102,5.366730799999999e-55
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0,0.49,-0.4,100000.0,0.0073638447313814,0.0005559445407404,0.59,698.9074108578411,0.0148699438167435,0.486,-0.42,100000.0,0.0064420329065471,0.486,-0.42,0.0064420329065471,46617,623.315,0.0394092,0.0,549.624,0.0141321,0.0,441.611,0.0100263,0.0,1.6260891999999998e-215
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0,0.59,-0.6,100000.0,0.0100360738467814,0.0003644288842482,0.87,2126.0374702324984,0.0231476185826042,0.58,-0.61,100000.0,0.0090928598749431,0.58,-0.61,0.0090928598749431,22882,378.296,0.0422603,0.0,334.47,0.0175408,0.0,266.949,0.012045,0.0,0.0
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0,0.9,-0.9,100000.0,0.0125857291253028,0.0002401951053511,6.0,7081.851683319927,0.0768681503461123,0.891,-0.905,100000.0,0.0120960644509773,0.891,-0.905,0.0120960644509773,13168,177.876,0.0479414,0.0,158.158,0.0227836,0.0,124.782,0.0179583,0.0,0.0
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0,0.04,1.4,8.263221936665864e-44,0.0337041081259999,0.0001581934199511,6.0,7081.851683319927,0.2544675751206895,0.039,1.47,1.4775214980114792e-45,0.033076371219771,0.039,1.47,0.033076371219771,1686,52.4803,0.0555337,0.0,46.78,0.0308671,0.0,36.9039,0.0250499,0.0,0.0
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0,0.04,2.8,5.061535408934988e-49,0.0299533816521035,0.0001758642001808,5.9,7077.148188723915,0.3618495250213661,0.04,2.75,6.589828489203513e-49,0.0286318574997597,0.04,2.75,0.0286318574997597,2301,18.2833,0.0479459,0.0,16.2233,0.025693,0.0,13.0003,0.017161,0.0,0.0
