band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,299433540.0,176021650.0,509867200.0,473.18463,99.004295,1019.8701,45000.0,0.29,0.1,100000.0,0.010706678076321,0.0063984224173442,0.36,45.910363769082174,0.16069600132736162
5,198747680.0,95721400.0,705940800.0,2945.4336,101.46221,5367.835,117000.0,0.29,-0.2,100000.0,0.0075775138703346,0.0039690102483117,0.36,45.910363769082174,0.09545663184944353
8,63282876.0,35168240.0,138684860.0,918.95044,93.30223,2766.5867,189000.0,0.33,-0.1,100000.0,0.0074350839129907,0.0031230403979095,0.36,45.910363769082174,0.032306598814169196
11,36580880.0,14818527.0,157144930.0,6517.1216,80.00292,6412.924,495000.0,0.35,-0.2,100000.0,0.0052138993903222,0.0019299803152697,0.37,56.199247072685814,0.008154514783323408
14,11849475.0,6202577.0,33266018.0,1856.4797,73.76143,4089.5234,1134000.0,0.4,-0.15,100000.0,0.0049190667127601,0.0012751894232635,0.42,130.48974517880816,0.006947885801322884
17,7712681.0,2964767.0,45472430.0,9698.964,65.2629,7472.824,2574000.0,0.43,-0.3,100000.0,0.0047362343765475,0.0008464353782179,0.48,273.72235456298796,0.010940523839566674
20,4424362.0,1713361.5,23424660.0,8663.62,69.64134,7133.971,5967000.0,0.45,-0.5,100000.0,0.008021198408196,0.0005559445407404,0.57,590.8216491076455,0.016725155415999726
23,1867623.2,631701.8,12418033.0,16824.38,62.361816,8305.875,13887000.0,0.53,-0.7,100000.0,0.0110290128508493,0.0003644288842482,0.86,2002.754060690646,0.02536007713826116
26,1038924.0,167176.88,10466013.0,32372.2,72.455315,9320.126,31968000.0,0.9,-0.94,100000.0,0.0137311746295267,0.0002401951053511,6.0,6837.587389359147,0.08709259900913757
29,162784.4,20920.498,1356969.1,37523.438,88.50855,9488.237,73701000.0,0.03,2.0,2.9705710781292375e-66,0.0350385219922591,0.0001581934199511,6.0,6837.587389359147,0.2582596943160666
32,4012.389,2159.656,11355.242,1880.4244,83.458115,4042.0374,59634000.0,0.04,2.8,4.886955026810774e-49,0.0276432487724486,0.0001758642001808,5.9,6833.04612574989,0.36157926809889007
