band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1021.58984,632.2725,1625.9467,360.00027,103.51794,707.783,45000.0,0.0090875868164091,0.1,2.9,3.7394544867973806e-15,200.0,276.9102478027344,0.0063984224173442,0.0087455038245073,0.09,3.2,8.254393651263381e-18,175.0,25312,10.4112,0.0469973,8.189349999999996e-87,9.23331,0.0209183,1.5492e-17,7.29476,0.0181906,2.29738e-13,0.0020369297
5,613.385,337.52048,1441.5681,1149.939,99.62486,3055.2026,117000.0,0.0066494012619026,0.1,2.1,1.2938952550014108e-14,350.0,145.74127197265625,0.0039690102483117,0.0058664039100646,0.1,2.2,9.852535579791941e-15,375.0,55528,7.19735,0.0441524,1.2348299999999995e-198,6.38357,0.0196471,1.1586900000000002e-39,5.05329,0.0144077,1.5865100000000003e-21,0.00063375464
8,207.88104,118.970184,419.7442,744.87524,90.633835,2225.1548,189000.0,0.0058662307972149,0.1,2.8,9.757825060255472e-16,350.0,56.01743316650391,0.0031230403979095,0.0058373808298514,0.11,2.4,1.7476152119242933e-13,350.0,53155,4.75438,0.0397885,2.0290799999999995e-260,4.22397,0.015214,1.9793500000000003e-38,3.33463,0.0115244,3.12069e-22,5.0750078e-06
11,118.82214,50.023308,488.23645,5619.6646,83.86558,6158.5415,495000.0,0.0039201366254292,0.1,3.0,3.211735339394285e-16,250.0,28.80377960205078,0.0019299803152697,0.0036535293119467,0.09,3.4,5.617808618267311e-19,225.0,139218,3.42931,0.0368049,0.0,3.0441,0.0121858,2.82046e-64,2.42669,0.00884535,4.554050000000001e-34,3.6378582e-06
14,40.410416,20.525957,130.47237,2531.1377,77.29959,4791.7,1134000.0,0.0027494787705971,0.1,3.3,8.089977425926469e-17,200.0,13.159292221069336,0.0012751894232635,0.0025132371549154,0.1,3.1,1.2398343977064874e-16,175.0,283500,2.35954,0.0365947,0.0,2.08514,0.0108524,1.9601499999999987e-116,1.6795,0.00941997,7.857609999999996e-88,1.1989851e-06
17,25.864876,9.5958605,151.85959,11999.471,68.112076,7838.7065,2574000.0,0.0020961049739335,0.1,3.1,6.256920782031708e-17,150.0,6.640939,0.0008464353782179,0.0020961049739335,0.1,3.1,6.256920782031708e-17,150.0,407214,1.67026,0.0380064,0.0,1.47143,0.0117349,,1.18544,0.0102037,3.32713e-233,3.0013413e-10
20,13.953182,5.587813,65.674805,7428.8384,72.217384,6734.749,5967000.0,0.0030417346298361,0.1,2.7,7.644156697852466e-17,200.0,3.5444243,0.0005559445407404,0.0030417346298361,0.1,2.7,7.644156697852466e-17,200.0,209776,1.18081,0.0417526,0.0,1.04213,0.0158132,0.0,0.835357,0.0126146,0.0,2.2256543999999997e-48
23,6.57323,2.1827009,44.12628,17039.291,63.02164,8338.48,13887000.0,0.0046853699783062,0.1,2.3,7.64917464478618e-17,200.0,1.4372928,0.0003644288842482,0.0046853699783062,0.1,2.3,7.64917464478618e-17,200.0,81369,0.722548,0.0437466,0.0,0.639172,0.0185421,0.0,0.50945,0.0136975,0.0,3.193157499999999e-265
26,3.9533613,0.61780876,40.39067,33131.473,70.19872,9346.549,31968000.0,0.005839295136106,0.1,1.6,1.2842197444231083e-16,200.0,0.3828568756580353,0.0002401951053511,0.0054461946017467,0.09,2.0,2.194613710744221e-19,225.0,62437,0.334702,0.0491788,0.0,0.29782,0.0239577,0.0,0.234507,0.0192799,0.0,0.0
29,0.41898188,0.07727063,3.4183059,27537.832,85.778534,9120.488,73701000.0,0.0087826515884895,0.1,1.1,6.312911515461927e-17,300.0,0.042054906,0.0001581934199511,0.0087826515884895,0.1,1.1,6.312911515461927e-17,300.0,22770,0.0985853,0.0568352,0.0,0.0880004,0.0322029,0.0,0.069272,0.0264112,0.0,0.0
32,0.013868322,0.0080127455,0.031387325,1045.7852,83.57656,2666.298,59634000.0,0.0109234266403445,0.1,1.8,7.068627418449515e-19,500.0,0.0038423098158091,0.0001758642001808,0.0102561132491319,0.1,1.8,7.195913133883091e-19,475.0,18424,0.0350183,0.0488046,0.0,0.0311176,0.0263684,0.0,0.0248766,0.0180106,0.0,0.0
