band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,1021.58984,632.2725,1625.9467,360.00027,103.51794,707.783,45000.0,0.0090875868164091,0.1,2.9,3.7394544867973806e-15,200.0,276.9102478027344,0.0063984224173442,0.008745503824507339,0.09,3.2,8.254393651263381e-18,175.0,25312
5,613.385,337.52048,1441.5681,1149.939,99.62486,3055.2026,117000.0,0.0066494012619026,0.1,2.1,1.2938952550014108e-14,350.0,145.74127197265625,0.003969010248311788,0.005866403910064655,0.1,2.2,9.85253557979194e-15,375.0,55528
8,207.88104,118.970184,419.7442,744.87524,90.633835,2225.1548,189000.0,0.0058662307972149,0.1,2.8,9.757825060255472e-16,350.0,56.017433166503906,0.003123040397909581,0.005837380829851413,0.11,2.4,1.7476152119242933e-13,350.0,53155
11,118.82214,50.023308,488.23645,5619.6646,83.86558,6158.5415,495000.0,0.0039201366254292,0.1,3.0,3.2117353393942853e-16,250.0,28.80377960205078,0.0019299803152697053,0.0036535293119467765,0.09,3.4,5.617808618267311e-19,225.0,139218
14,40.410416,20.525957,130.47237,2531.1377,77.29959,4791.7,1134000.0,0.0027494787705971,0.1,3.3,8.089977425926469e-17,200.0,13.159292221069336,0.0012751894232635628,0.002513237154915471,0.1,3.1,1.2398343977064877e-16,175.0,283500
17,25.864876,9.5958605,151.85959,11999.471,68.112076,7838.7065,2574000.0,0.0020961049739335,0.1,3.1,6.256920782031708e-17,150.0,6.640939,0.0008464353782179778,0.0020961049739335,0.1,3.1,6.256920782031708e-17,150.0,407214
20,13.953182,5.587813,65.674805,7428.8384,72.217384,6734.749,5967000.0,0.0030417346298361,0.1,2.7,7.644156697852466e-17,200.0,3.5444243,0.0005559445407404772,0.0030417346298361,0.1,2.7,7.644156697852466e-17,200.0,209776
23,6.57323,2.1827009,44.12628,17039.291,63.02164,8338.48,13887000.0,0.0046853699783062,0.1,2.3,7.64917464478618e-17,200.0,1.4372928,0.0003644288842482448,0.0046853699783062,0.1,2.3,7.64917464478618e-17,200.0,81369
26,3.9533613,0.61780876,40.39067,33131.473,70.19872,9346.549,31968000.0,0.005839295136106,0.1,1.6,1.2842197444231083e-16,200.0,0.3828568756580353,0.0002401951053511448,0.005446194601746779,0.09,2.0,2.194613710744221e-19,225.0,62437
29,0.41898188,0.07727063,3.4183059,27537.832,85.778534,9120.488,73701000.0,0.0087826515884895,0.1,1.1,6.312911515461927e-17,300.0,0.042054906,0.00015819341995114793,0.0087826515884895,0.1,1.1,6.312911515461927e-17,300.0,22770
32,0.013868322,0.0080127455,0.031387325,1045.7852,83.57656,2666.298,59634000.0,0.0109234266403445,0.1,1.8,7.068627418449515e-19,500.0,0.0038423098158091307,0.00017586420018087293,0.010256113249131928,0.1,1.8,7.195913133883091e-19,475.0,18424
