band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,45000.0,0.1,2.9,0.0090875868164091,200.0,0.09,3.2,8.254393651263381e-18,0.008745503824507339,175.0,25312
5,117000.0,0.1,2.1,0.0066494012619026,350.0,0.1,2.2,9.85253557979194e-15,0.005866403910064655,375.0,55528
8,189000.0,0.1,2.8,0.0058662307972149,350.0,0.11,2.4,1.7476152119242933e-13,0.005837380829851413,350.0,53155
11,495000.0,0.1,3.0,0.0039201366254292,250.0,0.09,3.4,5.617808618267311e-19,0.0036535293119467765,225.0,139218
14,1134000.0,0.1,3.3,0.0027494787705971,200.0,0.1,3.1,1.2398343977064877e-16,0.002513237154915471,175.0,283500
17,2574000.0,0.1,3.1,0.0020961049739335,150.0,0.1,3.1,6.256920782031708e-17,0.0020961049739335,150.0,407214
20,5967000.0,0.1,2.7,0.0030417346298361,200.0,0.1,2.7,7.644156697852466e-17,0.0030417346298361,200.0,209776
23,13887000.0,0.1,2.3,0.0046853699783062,200.0,0.1,2.3,7.64917464478618e-17,0.0046853699783062,200.0,81369
26,31968000.0,0.1,1.6,0.005839295136106,200.0,0.09,2.0,2.194613710744221e-19,0.005446194601746779,225.0,62437
29,73701000.0,0.1,1.1,0.0087826515884895,300.0,0.1,1.1,6.312911515461927e-17,0.0087826515884895,300.0,22770
32,59634000.0,0.1,1.8,0.0109234266403445,500.0,0.1,1.8,7.195913133883091e-19,0.010256113249131928,475.0,18424
