band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1142.2483,1142.2483,579.94403,462.25003,397.80258,361.05307,317.84775,289.43225,268.2378,251.35422,237.44379,207.16864,0.0315687599811311,0.0186745335829002,0.0141722703113148,0.011373662689762,0.0100687041409389,0.0082095055450042,0.0089201711073524,0.0103706325623285,0.0115444398513376,0.0128933014706692,0.0167956417335546,0.011297365731316233,0.010491205163956185,0.009462664703623225,0.008531994664828013,0.008117170077269364,317.84775,0.008345194683300194,0.009309700619309746,0.01056478098606542,0.012954445152710381
5,758.16223,758.16223,387.73236,322.6031,285.24536,259.44363,226.53577,204.61113,188.47614,175.94846,166.15976,144.82481,0.0327951525744375,0.0224424215346205,0.0181793844302486,0.0165347467800095,0.0139639914123322,0.0118779402907802,0.0094408285851501,0.007975171475924,0.0069544585486209,0.0055914141140801,0.0075242444434883,0.007106746465047498,0.006646060126144437,0.006267918798307681,0.005906995329913123,0.005591414114080151,,0.005905019436977826,0.006388174504033256,0.007018480565456037,0.0077762663796071
8,241.40501,241.40501,142.40726,119.97776,106.39466,97.05337,84.60621,76.89482,71.21391,66.86557,63.40665,55.922592,0.0334123806880196,0.0222791613928418,0.018071401005154,0.0153795487343179,0.0131240823615055,0.0109250909808502,0.0082763896958887,0.0066094261243229,0.0051440190667091,0.0057053949513381,0.0073880368839405,0.00631384618855424,0.006008290386367965,0.00570539495133815,0.005457223414373269,0.005144019066709138,,0.005631417794636551,0.0064459218530594775,0.0068691431151255145,0.00833228800192852
11,139.54498,139.54498,59.893166,51.02566,45.75783,42.169315,37.413727,34.343628,32.173237,30.484629,29.123484,26.14158,0.0350673390170128,0.0178293490480052,0.0137871777305589,0.0114949101628605,0.0092856454834123,0.0063214224396793,0.003739003164514,0.0038790264252416,0.0045433016089289,0.0051087126797818,0.0067931099738086,0.004539597946287222,0.004227297765751148,0.0038790264252416273,0.0035098002335690603,0.003739003164514032,33.179478,0.0044276769309189445,0.005536703689799971,0.006962257906985014,0.00833700344083399
14,45.20216,45.20216,24.949785,21.366411,19.304523,17.914574,16.05078,14.858236,14.014368,13.36786,12.847286,11.700813,0.0263702572177391,0.0142802953605738,0.0097938819084277,0.0073478407234209,0.0054745857725896,0.0027052406544457,0.0026551511115235,0.0032745721323328,0.0039101919128277,0.0046771864259948,0.0065059308735047,0.004154322051578792,0.0037168440518255963,0.003248034344247877,0.0029218535743200658,0.0026551511115235904,15.396128,0.0024240512510600443,0.002583367605535347,0.0035036675772710524,0.00477030797710809
17,29.421543,29.421543,11.883146,10.281528,9.353213,8.729887,7.923803,7.4066734,7.030638,6.7378993,6.498001,5.958976,0.0305447359320777,0.0110217733131382,0.0076578558428009,0.005212264773755,0.0040660279559628,0.0020408949448707,0.0027369353986989,0.0035403414815271,0.0042548341020196,0.0050469079227218,0.0071000145633511,0.003958963967774995,0.0033287182750682334,0.0027414031518233524,0.0023113448293661035,0.0020408949448707694,,0.0023272478540593694,0.003514216945535331,0.00457716790982704,0.007167694428874327
20,16.877602,16.877602,6.895647,5.936321,5.3792024,5.003891,4.515661,4.201748,3.974608,3.7976377,3.6523726,3.3247073,0.0307239485646894,0.0128491053358863,0.0096123658905535,0.0082546503253532,0.0067810752530674,0.0045380271719175,0.0033613042945208,0.0045999722813922,0.0050632691516966,0.0056217501253633,0.0075750401683626,0.005560556881429972,0.005032600727762071,0.004513108709215927,0.003958134653205884,0.0033613042945208026,,0.003379806404401997,0.004270750601091611,0.00515304210584544,0.005430887253953742
23,7.1244173,7.1244173,2.5255046,2.194684,2.002818,1.8733832,1.7051018,1.5953473,1.5139108,1.4484969,1.3934567,1.2654746,0.0339472617318694,0.0139259941590491,0.0098417340962032,0.0080717239897603,0.007837203828766,0.0051953812915045,0.0043591389864826,0.0054379648420294,0.0057416013466247,0.0066135463071771,0.0082661550065782,0.006218568575458383,0.005764788441377636,0.005376132848746929,0.004866777271573912,0.004359138986482658,,0.004639698423184124,0.005105913848510335,0.005819707797840579,0.00677589615741897
26,3.9631805,3.9631805,0.67072225,0.57622355,0.52167356,0.48484653,0.43675792,0.40528482,0.38188905,0.36316264,0.34743282,0.31112263,0.0468947202806508,0.0152205327282435,0.0127453762772226,0.0097073096197644,0.0090094921171421,0.0068395830704803,0.0065866088494195,0.0061146056687891,0.0071118373916871,0.0078781253789066,0.0087904686825391,0.007789339457730526,0.0073078117695587475,0.006981918051241598,0.006586809271948546,0.006114605668789186,0.39284712,0.005546004843428043,0.005579281406654313,0.006063738278332287,0.006839583070480382
29,0.6209732,0.6209732,0.08441072,0.07098277,0.06355044,0.05870762,0.052562587,0.048567455,0.04558793,0.043192375,0.041178912,0.036524203,0.0455432833121265,0.0179520882872806,0.0174904851242018,0.0153473195208492,0.0149262513259351,0.0120214276748542,0.0109426572083536,0.0107041850159248,0.0098277016092854,0.0099493455204092,0.0112930387163328,0.010397619514648793,0.009865045739277933,0.00994934552040927,0.009354249852366436,0.009283440973045204,0.04433321,0.008691444681392158,0.010262356485532503,0.00961869291155637,0.010897406280571925
32,0.015306049,0.015306049,0.008699079,0.007358214,0.0066147083,0.00613204,0.005518109,0.0051161516,0.004813994,0.0045694276,0.0043625077,0.0038790104,0.0337370026354253,0.0254729043129069,0.0219483347449515,0.0199196957609655,0.0183805159843601,0.0172186503086166,0.0154517854140119,0.0140338878256129,0.0130691113724472,0.0123685178406513,0.0110664968445707,0.011715925695765034,0.01136245273065999,0.011089091679157316,0.010776564498769542,0.010706502392833828,0.003949083,0.010261545484477573,0.011276274320329821,0.010591027328455072,0.011829360932547967
