filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",122.51285,39.769505,721.0717,689.62115,8.335084,762.91406,262144000.0,"(2.0, 0.5, 0.044)",0.0028282591816238267,0.1,2.8,7.605296203944691e-16,200.0,43.66026,8.387993035035688e-05
1,"(2.0, 0.5, 0.065)",41.206413,19.952644,273.7128,776.61346,5.031142,803.7883,262144000.0,"(2.0, 0.5, 0.065)",0.0013705878412765826,0.1,2.6,7.352321602888675e-16,50.0,27.406546,8.387993035035688e-05
2,"(2.0, 0.5, 0.096)",31.35184,10.314682,229.79884,1246.3706,4.0917563,876.9386,262144000.0,"(2.0, 0.5, 0.096)",0.001530538268676107,0.1,2.9,1.9155661754453625e-16,50.0,13.554227,8.387993035035688e-05
3,"(2.0, 0.5, 0.141)",22.11669,6.198631,92.71186,510.67554,8.659283,620.26135,262144000.0,"(2.0, 0.5, 0.141)",0.0026844985777239785,0.2,0.4,3.5189540380647955e-05,200.0,6.8118978,8.387993035035688e-05
4,"(2.0, 0.5, 0.208)",5.817891,1.9471291,38.29882,865.9752,8.834655,852.4966,262144000.0,"(2.0, 0.5, 0.208)",0.0032639864926207185,0.1,2.8,3.847157867468662e-17,200.0,2.208565,8.387993035035688e-05
5,"(2.0, 0.5, 0.306)",0.9488489,0.43188775,5.817474,648.05176,7.456698,749.999,262144000.0,"(2.0, 0.5, 0.306)",0.003788829422539164,0.1,2.8,8.693629596655152e-18,200.0,0.4990813,8.387993035035688e-05
6,"(2.0, 0.5, 0.45)",0.5441682,0.22428568,3.7530077,738.97943,10.107155,794.04407,262144000.0,"(2.0, 0.5, 0.45)",0.0034855020035184925,0.1,2.4,1.0899839166403055e-17,200.0,0.25870714,8.387993035035688e-05
7,"(2.0, 1.0, 0.044)",96.786,44.159317,881.0388,1494.3334,6.2393703,873.8111,262144000.0,"(2.0, 1.0, 0.044)",0.0015875864288894537,0.1,3.0,6.266095992871609e-16,100.0,54.414635,8.387993035035688e-05
8,"(2.0, 1.0, 0.065)",51.278526,25.238693,393.37006,982.398,6.0405555,813.7559,262144000.0,"(2.0, 1.0, 0.065)",0.0020188070463902363,0.1,2.7,6.808280027654743e-16,100.0,31.56847,8.387993035035688e-05
9,"(2.0, 1.0, 0.096)",31.001406,13.701967,179.25435,601.44293,5.965144,786.7726,262144000.0,"(2.0, 1.0, 0.096)",0.0016418491089672527,0.1,2.7,3.651743674756375e-16,100.0,16.932318,8.387993035035688e-05
