filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,51.872887,22.969347,288.6066,556.33234,6.812027,731.1367,262144000.0,"(2.0, 0.5, 0.044)"
1,23.47731,11.694446,201.42079,1299.6523,4.3999853,851.5524,262144000.0,"(2.0, 0.5, 0.065)"
2,18.258923,8.203281,104.0303,593.67505,5.3340073,779.429,262144000.0,"(2.0, 0.5, 0.096)"
3,10.848763,4.4811177,108.21509,1874.3022,7.118456,856.9569,262144000.0,"(2.0, 0.5, 0.141)"
4,6.6134057,1.8025584,46.848503,1015.11694,14.294805,876.53973,262144000.0,"(2.0, 0.5, 0.208)"
5,0.87283534,0.35302225,8.381213,1746.8813,7.2940626,860.3741,262144000.0,"(2.0, 0.5, 0.306)"
6,0.7567278,0.2236133,6.795845,1347.0406,11.058815,863.9997,262144000.0,"(2.0, 0.5, 0.45)"
7,95.54084,29.056345,1063.495,2448.399,8.085478,921.798,262144000.0,"(2.0, 1.0, 0.044)"
8,41.442993,14.082063,361.4152,1426.7218,6.772509,859.8617,262144000.0,"(2.0, 1.0, 0.065)"
9,17.597395,9.05255,112.95344,683.67114,5.7443695,796.04504,262144000.0,"(2.0, 1.0, 0.096)"
10,14.930193,5.6812825,147.86911,1750.5327,6.4074264,891.92725,262144000.0,"(2.0, 1.0, 0.141)"
11,11.726542,2.7498608,54.325233,544.0389,12.729915,768.07245,262144000.0,"(2.0, 1.0, 0.208)"
12,2.1433356,0.7740936,17.473917,1271.2645,10.629318,847.8977,262144000.0,"(2.0, 1.0, 0.306)"
13,0.83858764,0.2195548,10.29555,2981.251,10.2899,910.5828,262144000.0,"(2.0, 1.0, 0.45)"
14,48.090115,20.263397,411.89694,1326.1562,7.129399,858.18945,262144000.0,"(3.0, 0.5, 0.044)"
15,38.40321,11.051612,304.44495,1262.0942,6.931007,851.87915,262144000.0,"(3.0, 0.5, 0.065)"
16,31.962946,9.616068,266.7629,1353.1606,7.923343,840.5843,262144000.0,"(3.0, 0.5, 0.096)"
17,29.144705,5.5587997,161.47697,986.1144,10.352216,859.8106,262144000.0,"(3.0, 0.5, 0.141)"
18,3.9895124,1.3917404,30.362074,1036.013,9.199557,836.38434,262144000.0,"(3.0, 0.5, 0.208)"
19,1.0756308,0.39627117,7.342964,833.9614,13.479296,820.269,262144000.0,"(3.0, 0.5, 0.306)"
20,0.29424062,0.070562445,4.8184385,5029.3765,13.439168,941.3089,262144000.0,"(3.0, 0.5, 0.45)"
21,83.42144,21.77149,746.8289,1623.4945,8.576272,893.7756,262144000.0,"(3.0, 1.0, 0.044)"
22,34.556423,12.041416,359.20773,2144.3284,6.5719733,896.3784,262144000.0,"(3.0, 1.0, 0.065)"
23,34.371593,8.363043,462.3123,3447.5938,6.1197867,947.4785,262144000.0,"(3.0, 1.0, 0.096)"
24,10.562512,4.675545,55.06626,430.99448,8.268755,717.3537,262144000.0,"(3.0, 1.0, 0.141)"
25,7.8327813,1.8187246,49.65331,1124.2767,12.305379,790.25604,262144000.0,"(3.0, 1.0, 0.208)"
26,0.8650232,0.4473395,6.5336795,974.29987,8.759789,797.9944,262144000.0,"(3.0, 1.0, 0.306)"
27,0.5678766,0.108701214,9.528153,5279.4043,20.623646,950.42847,262144000.0,"(3.0, 1.0, 0.45)"
28,48.749405,21.271894,404.39157,1275.4397,6.413274,845.8677,262144000.0,"(4.0, 0.5, 0.044)"
29,24.92481,9.704625,219.35216,1439.5183,5.454671,836.7012,262144000.0,"(4.0, 0.5, 0.065)"
30,30.873405,8.979998,295.57214,1784.6488,7.1445775,910.93866,262144000.0,"(4.0, 0.5, 0.096)"
31,37.720184,4.525913,248.85301,1403.2762,9.54976,897.4478,262144000.0,"(4.0, 0.5, 0.141)"
32,4.126129,1.4470621,22.083433,694.2413,11.4644785,781.9962,262144000.0,"(4.0, 0.5, 0.208)"
33,1.4099572,0.32666108,11.738615,1358.2731,18.728579,857.12775,262144000.0,"(4.0, 0.5, 0.306)"
34,0.20204505,0.045137465,2.7178998,3384.9165,18.974125,918.6884,262144000.0,"(4.0, 0.5, 0.45)"
35,68.93457,21.228275,713.6949,2164.2766,7.607195,899.29456,262144000.0,"(4.0, 1.0, 0.044)"
36,28.231224,10.7720175,206.72052,989.8497,5.768909,849.1099,262144000.0,"(4.0, 1.0, 0.065)"
37,22.455746,9.189264,163.28175,927.45886,10.543555,829.38873,262144000.0,"(4.0, 1.0, 0.096)"
38,21.763765,5.1886935,307.61816,4134.099,13.528366,949.9843,262144000.0,"(4.0, 1.0, 0.141)"
39,5.532553,1.9759929,31.720106,575.4653,16.95146,751.94275,262144000.0,"(4.0, 1.0, 0.208)"
40,0.813415,0.30813417,5.544938,791.96454,13.098239,789.6639,262144000.0,"(4.0, 1.0, 0.306)"
41,0.2541406,0.04667701,6.8749895,13881.997,14.476444,975.52985,262144000.0,"(4.0, 1.0, 0.45)"
