filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",51.872887,22.969347,288.6066,556.33234,6.812027,731.1367,262144000.0,"(2.0, 0.5, 0.044)",0.002334954309804557,0.1,2.6,7.783199430522806e-16,100.0,29.012688,8.387993035035688e-05
1,"(2.0, 0.5, 0.065)",23.47731,11.694446,201.42079,1299.6523,4.3999853,851.5524,262144000.0,"(2.0, 0.5, 0.065)",0.0014736256813167037,0.1,3.3,9.872280600644525e-17,50.0,15.470115,8.387993035035688e-05
2,"(2.0, 0.5, 0.096)",18.258923,8.203281,104.0303,593.67505,5.3340073,779.429,262144000.0,"(2.0, 0.5, 0.096)",0.0019428252441117122,0.1,2.8,1.7589165569948586e-16,100.0,10.097536,8.387993035035688e-05
3,"(2.0, 0.5, 0.141)",10.848763,4.4811177,108.21509,1874.3022,7.118456,856.9569,262144000.0,"(2.0, 0.5, 0.141)",0.002597387743356272,0.1,2.1,4.846568316227924e-16,100.0,5.610655,8.387993035035688e-05
4,"(2.0, 0.5, 0.208)",6.6134057,1.8025584,46.848503,1015.11694,14.294805,876.53973,262144000.0,"(2.0, 0.5, 0.208)",0.006012581088126079,0.1,1.8,3.964813155254141e-16,200.0,2.1170406,8.387993035035688e-05
5,"(2.0, 0.5, 0.306)",0.87283534,0.35302225,8.381213,1746.8813,7.2940626,860.3741,262144000.0,"(2.0, 0.5, 0.306)",0.005064158155361154,0.1,1.8,8.571403647032123e-17,100.0,0.4576763,8.387993035035688e-05
6,"(2.0, 0.5, 0.45)",0.7567278,0.2236133,6.795845,1347.0406,11.058815,863.9997,262144000.0,"(2.0, 0.5, 0.45)",0.004563500628726343,0.1,1.7,6.181844668708037e-17,200.0,0.25149262,8.387993035035688e-05
7,"(2.0, 1.0, 0.044)",95.54084,29.056345,1063.495,2448.399,8.085478,921.798,262144000.0,"(2.0, 1.0, 0.044)",0.0030325482263924286,0.1,3.1,3.021400918038343e-16,200.0,32.068394,8.387993035035688e-05
8,"(2.0, 1.0, 0.065)",41.442993,14.082063,361.4152,1426.7218,6.772509,859.8617,262144000.0,"(2.0, 1.0, 0.065)",0.001677942508442859,0.1,2.8,3.1811541759171185e-16,100.0,18.262276,8.387993035035688e-05
9,"(2.0, 1.0, 0.096)",17.597395,9.05255,112.95344,683.67114,5.7443695,796.04504,262144000.0,"(2.0, 1.0, 0.096)",0.0017579316904547271,0.1,2.8,1.9318353741717211e-16,100.0,11.090223,8.387993035035688e-05
10,"(2.0, 1.0, 0.141)",14.930193,5.6812825,147.86911,1750.5327,6.4074264,891.92725,262144000.0,"(2.0, 1.0, 0.141)",0.0025246059799139686,0.1,2.0,8.720960882197316e-16,50.0,7.8523397,8.387993035035688e-05
11,"(2.0, 1.0, 0.208)",11.726542,2.7498608,54.325233,544.0389,12.729915,768.07245,262144000.0,"(2.0, 1.0, 0.208)",0.005278602020896694,0.1,1.8,6.032679547456236e-16,200.0,3.2211928,8.387993035035688e-05
12,"(2.0, 1.0, 0.306)",2.1433356,0.7740936,17.473917,1271.2645,10.629318,847.8977,262144000.0,"(2.0, 1.0, 0.306)",0.005161435707225048,0.1,1.8,1.6920246484288015e-16,200.0,0.9034688,8.387993035035688e-05
13,"(2.0, 1.0, 0.45)",0.83858764,0.2195548,10.29555,2981.251,10.2899,910.5828,262144000.0,"(2.0, 1.0, 0.45)",0.004160799469360266,0.1,1.7,5.921232202704905e-17,200.0,0.24089026,8.387993035035688e-05
14,"(3.0, 0.5, 0.044)",48.090115,20.263397,411.89694,1326.1562,7.129399,858.18945,262144000.0,"(3.0, 0.5, 0.044)",0.0015666620991552208,0.1,2.8,4.3990537919801174e-16,100.0,25.253958,8.387993035035688e-05
15,"(3.0, 0.5, 0.065)",38.40321,11.051612,304.44495,1262.0942,6.931007,851.87915,262144000.0,"(3.0, 0.5, 0.065)",0.001409586058293777,0.1,2.7,3.186636853768324e-16,100.0,14.775722,8.387993035035688e-05
16,"(3.0, 0.5, 0.096)",31.962946,9.616068,266.7629,1353.1606,7.923343,840.5843,262144000.0,"(3.0, 0.5, 0.096)",0.002940734367504527,0.2,0.5,4.3282511231901644e-05,200.0,10.3981905,8.387993035035688e-05
17,"(3.0, 0.5, 0.141)",29.144705,5.5587997,161.47697,986.1144,10.352216,859.8106,262144000.0,"(3.0, 0.5, 0.141)",0.004199818243557529,0.1,2.1,4.98635164185287e-16,200.0,5.7724757,8.387993035035688e-05
18,"(3.0, 0.5, 0.208)",3.9895124,1.3917404,30.362074,1036.013,9.199557,836.38434,262144000.0,"(3.0, 0.5, 0.208)",0.005091905254453799,0.1,2.0,1.7656336005418793e-16,200.0,1.5897738,8.387993035035688e-05
19,"(3.0, 0.5, 0.306)",1.0756308,0.39627117,7.342964,833.9614,13.479296,820.269,262144000.0,"(3.0, 0.5, 0.306)",0.008687800818354297,0.1,1.3,3.3235369623005926e-16,200.0,0.42010185,8.387993035035688e-05
20,"(3.0, 0.5, 0.45)",0.29424062,0.070562445,4.8184385,5029.3765,13.439168,941.3089,262144000.0,"(3.0, 0.5, 0.45)",0.007393867663277431,0.1,1.3,6.313353304667883e-17,200.0,0.07980207,8.387993035035688e-05
21,"(3.0, 1.0, 0.044)",83.42144,21.77149,746.8289,1623.4945,8.576272,893.7756,262144000.0,"(3.0, 1.0, 0.044)",0.002787925072697428,0.1,3.1,2.2096502249712973e-16,200.0,23.452675,8.387993035035688e-05
22,"(3.0, 1.0, 0.065)",34.556423,12.041416,359.20773,2144.3284,6.5719733,896.3784,262144000.0,"(3.0, 1.0, 0.065)",0.001510773535493004,0.1,2.7,3.250630318289268e-16,100.0,15.072445,8.387993035035688e-05
23,"(3.0, 1.0, 0.096)",34.371593,8.363043,462.3123,3447.5938,6.1197867,947.4785,262144000.0,"(3.0, 1.0, 0.096)",0.0012848955305910792,0.1,2.4,4.29367344348489e-16,100.0,10.191012,8.387993035035688e-05
24,"(3.0, 1.0, 0.141)",10.562512,4.675545,55.06626,430.99448,8.268755,717.3537,262144000.0,"(3.0, 1.0, 0.141)",0.0034782444744231433,0.2,0.4,2.7208495173464835e-05,200.0,5.266948,8.387993035035688e-05
25,"(3.0, 1.0, 0.208)",7.8327813,1.8187246,49.65331,1124.2767,12.305379,790.25604,262144000.0,"(3.0, 1.0, 0.208)",0.005674521378390418,0.1,1.8,3.831879238015261e-16,200.0,2.0460596,8.387993035035688e-05
26,"(3.0, 1.0, 0.306)",0.8650232,0.4473395,6.5336795,974.29987,8.759789,797.9944,262144000.0,"(3.0, 1.0, 0.306)",0.005618686996150979,0.1,1.9,6.971947733594455e-17,200.0,0.48508194,8.387993035035688e-05
27,"(3.0, 1.0, 0.45)",0.5678766,0.108701214,9.528153,5279.4043,20.623646,950.42847,262144000.0,"(3.0, 1.0, 0.45)",0.011244738842203006,0.1,0.9,3.8049865374192617e-16,200.0,0.12780398,8.387993035035688e-05
28,"(4.0, 0.5, 0.044)",48.749405,21.271894,404.39157,1275.4397,6.413274,845.8677,262144000.0,"(4.0, 0.5, 0.044)",0.0016439506106595793,0.1,2.9,3.6911761342240663e-16,100.0,26.118147,8.387993035035688e-05
29,"(4.0, 0.5, 0.065)",24.92481,9.704625,219.35216,1439.5183,5.454671,836.7012,262144000.0,"(4.0, 0.5, 0.065)",0.0020099564045800156,0.1,3.2,9.61525389400909e-17,100.0,12.423953,8.387993035035688e-05
30,"(4.0, 0.5, 0.096)",30.873405,8.979998,295.57214,1784.6488,7.1445775,910.93866,262144000.0,"(4.0, 0.5, 0.096)",0.0027653905739208895,0.1,2.1,9.820307194715426e-16,100.0,11.368529,8.387993035035688e-05
31,"(4.0, 0.5, 0.141)",37.720184,4.525913,248.85301,1403.2762,9.54976,897.4478,262144000.0,"(4.0, 0.5, 0.141)",0.004031297992322564,0.1,2.0,5.519684465274417e-16,200.0,4.9699154,8.387993035035688e-05
32,"(4.0, 0.5, 0.208)",4.126129,1.4470621,22.083433,694.2413,11.4644785,781.9962,262144000.0,"(4.0, 0.5, 0.208)",0.004298247085713691,0.1,1.7,3.9984367748659645e-16,200.0,1.6266623,8.387993035035688e-05
33,"(4.0, 0.5, 0.306)",1.4099572,0.32666108,11.738615,1358.2731,18.728579,857.12775,262144000.0,"(4.0, 0.5, 0.306)",0.009785721345576037,0.1,1.1,5.6508543213983e-16,200.0,0.3764446,8.387993035035688e-05
34,"(4.0, 0.5, 0.45)",0.20204505,0.045137465,2.7178998,3384.9165,18.974125,918.6884,262144000.0,"(4.0, 0.5, 0.45)",0.011159585971078134,0.1,0.9,1.4446458654619944e-16,200.0,0.04852356,8.387993035035688e-05
35,"(4.0, 1.0, 0.044)",68.93457,21.228275,713.6949,2164.2766,7.607195,899.29456,262144000.0,"(4.0, 1.0, 0.044)",0.0028031228098422956,0.1,2.5,8.936296803770127e-16,100.0,26.648783,8.387993035035688e-05
36,"(4.0, 1.0, 0.065)",28.231224,10.7720175,206.72052,989.8497,5.768909,849.1099,262144000.0,"(4.0, 1.0, 0.065)",0.001369530030131405,0.1,2.7,2.85013974924561e-16,100.0,13.21546,8.387993035035688e-05
37,"(4.0, 1.0, 0.096)",22.455746,9.189264,163.28175,927.45886,10.543555,829.38873,262144000.0,"(4.0, 1.0, 0.096)",0.003149385024576184,0.1,2.0,1.1081682740100807e-15,200.0,9.97793,8.387993035035688e-05
38,"(4.0, 1.0, 0.141)",21.763765,5.1886935,307.61816,4134.099,13.528366,949.9843,262144000.0,"(4.0, 1.0, 0.141)",0.0055128936087260605,0.1,1.6,1.881375949595093e-15,200.0,5.7870946,8.387993035035688e-05
39,"(4.0, 1.0, 0.208)",5.532553,1.9759929,31.720106,575.4653,16.95146,751.94275,262144000.0,"(4.0, 1.0, 0.208)",0.009441594454020666,0.1,1.3,1.739432197900735e-15,200.0,2.1986778,8.387993035035688e-05
40,"(4.0, 1.0, 0.306)",0.813415,0.30813417,5.544938,791.96454,13.098239,789.6639,262144000.0,"(4.0, 1.0, 0.306)",0.0068684104942411395,0.1,1.5,1.561326002052365e-16,200.0,0.3601968,8.387993035035688e-05
41,"(4.0, 1.0, 0.45)",0.2541406,0.04667701,6.8749895,13881.997,14.476444,975.52985,262144000.0,"(4.0, 1.0, 0.45)",0.009667351734025442,0.1,1.0,1.0548348039858363e-16,200.0,0.050193027,8.387993035035688e-05
