filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",51.872887,22.969347,288.6066,556.33234,6.812027,731.1367,262144000.0,"(2.0, 0.5, 0.044)",0.0023349543098045,0.1,2.6,7.783199430522806e-16,100.0,27.898395538330078,8.387993035035688e-05,0.0020825896900188434,0.1,2.8,4.859695415098413e-16,125.0,432000
1,"(2.0, 0.5, 0.065)",23.47731,11.694446,201.42079,1299.6523,4.3999853,851.5524,262144000.0,"(2.0, 0.5, 0.065)",0.0014736256813167,0.1,3.3,9.872280600644524e-17,50.0,15.470115,8.387993035035688e-05,0.0014736256813167,0.1,3.3,9.872280600644524e-17,50.0,864000
2,"(2.0, 0.5, 0.096)",18.258923,8.203281,104.0303,593.67505,5.3340073,779.429,262144000.0,"(2.0, 0.5, 0.096)",0.0019428252441117,0.1,2.8,1.7589165569948586e-16,100.0,10.703519821166992,8.387993035035688e-05,0.0010873713397014928,0.1,2.6,2.8714206104113477e-16,75.0,1536000
3,"(2.0, 0.5, 0.141)",10.848763,4.4811177,108.21509,1874.3022,7.118456,856.9569,262144000.0,"(2.0, 0.5, 0.141)",0.0025973877433562,0.1,2.1,4.846568316227924e-16,100.0,5.610655,8.387993035035688e-05,0.0025973877433562,0.1,2.1,4.846568316227924e-16,100.0,288000
4,"(2.0, 0.5, 0.208)",6.6134057,1.8025584,46.848503,1015.11694,14.294805,876.53973,262144000.0,"(2.0, 0.5, 0.208)",0.006012581088126,0.1,1.8,3.964813155254141e-16,200.0,1.9071167707443237,8.387993035035688e-05,0.004495307729951659,0.1,2.1,1.6473962478458086e-16,275.0,96000
5,"(2.0, 0.5, 0.306)",0.87283534,0.35302225,8.381213,1746.8813,7.2940626,860.3741,262144000.0,"(2.0, 0.5, 0.306)",0.0050641581553611,0.1,1.8,8.571403647032123e-17,100.0,0.43021219968795776,8.387993035035688e-05,0.00444822397445984,0.11,1.6,8.62118653832461e-15,150.0,96000
6,"(2.0, 0.5, 0.45)",0.7567278,0.2236133,6.795845,1347.0406,11.058815,863.9997,262144000.0,"(2.0, 0.5, 0.45)",0.0045635006287263,0.1,1.7,6.181844668708036e-17,200.0,0.2610147297382355,8.387993035035688e-05,0.004292425188097249,0.09,2.0,1.4961896755939915e-19,175.0,96000
7,"(2.0, 1.0, 0.044)",95.54084,29.056345,1063.495,2448.399,8.085478,921.798,262144000.0,"(2.0, 1.0, 0.044)",0.0030325482263924,0.1,3.1,3.021400918038343e-16,200.0,34.168155670166016,8.387993035035688e-05,0.0026910660854376767,0.09,3.4,6.664061524081698e-19,150.0,256000
8,"(2.0, 1.0, 0.065)",41.442993,14.082063,361.4152,1426.7218,6.772509,859.8617,262144000.0,"(2.0, 1.0, 0.065)",0.0016779425084428,0.1,2.8,3.181154175917118e-16,100.0,18.262276,8.387993035035688e-05,0.0016779425084428,0.1,2.8,3.181154175917118e-16,100.0,648000
9,"(2.0, 1.0, 0.096)",17.597395,9.05255,112.95344,683.67114,5.7443695,796.04504,262144000.0,"(2.0, 1.0, 0.096)",0.0017579316904547,0.1,2.8,1.9318353741717206e-16,100.0,11.500203132629395,8.387993035035688e-05,0.001376984535715997,0.1,2.7,2.4802153319063486e-16,75.0,1024000
