filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,85.23641,28.694447,732.05145,1326.7544,8.5038,845.4875,262144000.0,"(2.0, 0.5, 0.044)"
1,55.11944,16.155226,348.34167,905.3878,7.874421,853.0659,262144000.0,"(2.0, 0.5, 0.065)"
2,22.82442,9.009885,101.607285,555.71906,5.062737,758.95074,262144000.0,"(2.0, 0.5, 0.096)"
3,9.843026,4.6802635,53.98522,570.564,6.635873,714.9852,262144000.0,"(2.0, 0.5, 0.141)"
4,6.0105796,1.7554764,35.83095,694.4357,11.610837,844.96704,262144000.0,"(2.0, 0.5, 0.208)"
5,2.1734369,0.5444698,9.9342,431.17087,24.019732,662.25964,262144000.0,"(2.0, 0.5, 0.306)"
6,0.5414084,0.22092415,4.927081,1347.7365,10.447507,847.3999,262144000.0,"(2.0, 0.5, 0.45)"
7,104.48048,31.121315,1179.8293,2493.7976,8.534616,922.4664,262144000.0,"(2.0, 1.0, 0.044)"
8,47.764854,16.399597,625.0383,3161.9998,6.1063805,912.1242,262144000.0,"(2.0, 1.0, 0.065)"
9,33.97162,12.787334,239.80354,915.1541,10.165865,840.5951,262144000.0,"(2.0, 1.0, 0.096)"
10,21.561584,6.7388945,126.532196,658.5016,10.990568,821.40826,262144000.0,"(2.0, 1.0, 0.141)"
11,5.6215043,2.4797206,37.810867,766.08093,8.551432,797.2113,262144000.0,"(2.0, 1.0, 0.208)"
12,2.5409522,0.8737135,14.63799,588.5841,11.454744,759.3524,262144000.0,"(2.0, 1.0, 0.306)"
13,0.6566615,0.1854376,8.341129,3142.8872,8.204867,912.60724,262144000.0,"(2.0, 1.0, 0.45)"
14,97.28535,26.691683,852.73425,1630.1235,10.1830635,891.0738,262144000.0,"(3.0, 0.5, 0.044)"
15,37.0874,12.448403,323.53873,1453.8331,6.907718,858.5307,262144000.0,"(3.0, 0.5, 0.065)"
16,23.7597,9.833439,121.38706,660.2842,5.935473,757.07355,262144000.0,"(3.0, 0.5, 0.096)"
17,25.57635,6.048724,130.05237,828.93604,11.086547,808.52374,262144000.0,"(3.0, 0.5, 0.141)"
18,4.793636,1.7637331,48.656044,1856.4312,10.271145,879.0006,262144000.0,"(3.0, 0.5, 0.208)"
19,0.86579955,0.33564916,7.62266,1338.6628,9.334315,860.59436,262144000.0,"(3.0, 0.5, 0.306)"
20,0.40613803,0.09893556,5.161299,2948.9316,22.401146,915.843,262144000.0,"(3.0, 0.5, 0.45)"
21,70.56708,28.31137,468.21027,778.71954,7.838819,804.9655,262144000.0,"(3.0, 1.0, 0.044)"
22,64.40502,17.164696,555.12476,1584.1577,10.662445,882.0612,262144000.0,"(3.0, 1.0, 0.065)"
23,29.92623,11.815342,232.35893,1095.1132,8.943178,861.5653,262144000.0,"(3.0, 1.0, 0.096)"
24,9.18067,4.8306675,64.31255,763.9617,6.9302435,793.44794,262144000.0,"(3.0, 1.0, 0.141)"
25,10.392351,2.8060973,80.987175,1103.7694,22.169254,794.3271,262144000.0,"(3.0, 1.0, 0.208)"
26,1.6148978,0.4838567,19.373583,2694.734,12.811835,902.9616,262144000.0,"(3.0, 1.0, 0.306)"
27,0.48520938,0.09928983,8.76012,6179.3696,16.269382,954.9085,262144000.0,"(3.0, 1.0, 0.45)"
28,55.464695,24.58436,421.19693,1034.9902,6.749295,826.68744,262144000.0,"(4.0, 0.5, 0.044)"
29,42.59629,12.519422,321.1322,1243.9209,7.478258,813.10284,262144000.0,"(4.0, 0.5, 0.065)"
30,36.765217,10.771236,294.14343,1228.7406,12.12373,882.5556,262144000.0,"(4.0, 0.5, 0.096)"
31,26.165375,6.3028455,228.85165,1402.98,15.905999,872.1339,262144000.0,"(4.0, 0.5, 0.141)"
32,6.0620213,1.871334,47.846916,1089.707,17.857977,832.26733,262144000.0,"(4.0, 0.5, 0.208)"
33,0.62071776,0.22750421,5.497758,1431.1812,10.009057,854.7493,262144000.0,"(4.0, 0.5, 0.306)"
34,0.16974755,0.047009617,2.961425,5764.832,14.693688,942.02106,262144000.0,"(4.0, 0.5, 0.45)"
35,96.42034,25.12425,1364.9033,3807.4844,8.14837,926.39966,262144000.0,"(4.0, 1.0, 0.044)"
36,35.171085,14.188684,299.79654,1280.7283,6.413817,868.8753,262144000.0,"(4.0, 1.0, 0.065)"
37,33.92649,10.444761,387.0318,2516.5173,8.149941,918.25287,262144000.0,"(4.0, 1.0, 0.096)"
38,28.359837,6.8452954,148.50456,874.2349,17.686235,825.7518,262144000.0,"(4.0, 1.0, 0.141)"
39,8.556268,1.9780042,72.072716,1309.7365,15.419843,857.73224,262144000.0,"(4.0, 1.0, 0.208)"
40,1.3124895,0.32794732,15.29523,2464.961,14.707006,897.9464,262144000.0,"(4.0, 1.0, 0.306)"
41,0.340345,0.05378142,10.546398,18513.248,15.430008,980.4487,262144000.0,"(4.0, 1.0, 0.45)"
